StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,dep_guess_b_I_4,dep_conf_b_I,dep_comp_b_I,indep_guess_a_I_4,indep_conf_a_I,indep_comp_a_I,indep_guess_b_I_4,indep_conf_b_I,indep_comp_b_I,dep_guess_a_I_4,dep_conf_a_I,dep_comp_a_I,dep_guess_b_II_4,dep_conf_b_II,dep_comp_b_II,indep_guess_a_II_4,indep_conf_a_II,indep_comp_a_II,indep_guess_b_II_4,indep_conf_b_II,indep_comp_b_II,dep_guess_a_II_4,dep_conf_a_II,dep_comp_a_II,dep_conf_b_III_4,dep_conf_b_III,dep_comp_b_III,indep_guess_a_III_4,indep_conf_a_III,indep_comp_a_III,indep_guess_b_III_4,indep_conf_b_III,indep_comp_b_III,dep_guess_a_III_4,dep_conf_a_III,dep_comp_a_III,Q2,Q3,Q4,Q5,PROLIFIC_PID,counter
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The survey will take about 5 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","What would you guess is the correct answer, if there is one? - Click to write Choice 1",How confident are you that this answer is at least approximately correct?,"On average, how good do you think the players are at the game?","Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,counter
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1644_4""}","{""ImportId"":""QID1645""}","{""ImportId"":""QID1646""}","{""ImportId"":""QID1494_4""}","{""ImportId"":""QID1485""}","{""ImportId"":""QID1486""}","{""ImportId"":""QID1698_4""}","{""ImportId"":""QID1699""}","{""ImportId"":""QID1700""}","{""ImportId"":""QID1705_4""}","{""ImportId"":""QID1706""}","{""ImportId"":""QID1707""}","{""ImportId"":""QID1725_4""}","{""ImportId"":""QID1726""}","{""ImportId"":""QID1727""}","{""ImportId"":""QID1733_4""}","{""ImportId"":""QID1734""}","{""ImportId"":""QID1735""}","{""ImportId"":""QID1741_4""}","{""ImportId"":""QID1742""}","{""ImportId"":""QID1743""}","{""ImportId"":""QID1749_4""}","{""ImportId"":""QID1750""}","{""ImportId"":""QID1751""}","{""ImportId"":""QID1757_4""}","{""ImportId"":""QID1758""}","{""ImportId"":""QID1759""}","{""ImportId"":""QID1765_4""}","{""ImportId"":""QID1766""}","{""ImportId"":""QID1767""}","{""ImportId"":""QID1773_4""}","{""ImportId"":""QID1774""}","{""ImportId"":""QID1775""}","{""ImportId"":""QID1781_4""}","{""ImportId"":""QID1782""}","{""ImportId"":""QID1783""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""counter""}"
2022-05-02 11:26:36,2022-05-02 11:28:26,0,176.255.80.63,100,109,1,2022-05-02 11:28:26,R_0wcZbNK77Kt5DUJ,,,,,52.0444,1.1273,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1342,8,8,1487,8,8,,,,,,,,,,,,,,2,37,6,594be574ecd509000182c825,2
2022-05-02 11:27:48,2022-05-02 11:30:43,0,51.9.86.239,100,174,1,2022-05-02 11:30:44,R_73ZlBnaoPWMgJ3j,,,,,51.3229,-2.7839,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499,2,5,1693,6,6,,2,23,5,60fd158b17aecbf0aefaf5e9,2
2022-05-02 11:29:05,2022-05-02 11:31:05,0,88.110.249.230,100,119,1,2022-05-02 11:31:06,R_VWHauehUG9hR3YB,,,,,50.368,-4.1329,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1344,6,6,1469,5,4,,,,,,,,,,,,,,,,,,,,1,41,5,5a9bb5bc777df2000160098b,2
2022-05-02 11:27:58,2022-05-02 11:31:21,0,31.50.211.14,100,203,1,2022-05-02 11:31:21,R_2CZEvndzusNg36D,,,,,53.8055,-2.2927,anonymous,EN,1,I pay attention,,,,,,,1410,3,4,1642,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,2,60a546b01830edd7fea03131,2
2022-05-02 11:29:50,2022-05-02 11:32:07,0,86.169.175.73,100,136,1,2022-05-02 11:32:07,R_aXG030BDHcDx6dr,,,,,53.6333,-1.7519,anonymous,EN,1,I pay attention,1435,3,4,1638,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,2,5e4bc0c29b9a2e01310c6506,2
2022-05-02 11:29:39,2022-05-02 11:32:16,0,86.24.97.27,100,157,1,2022-05-02 11:32:16,R_1mjXn14m3w2wcsW,,,,,51.4036,-0.7618,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1320,3,4,1503,5,6,,,,,,,,,,,,,,2,46,2,5ef1961c74d9e67a3bd54818,2
2022-05-02 11:30:20,2022-05-02 11:32:16,0,217.39.50.18,100,115,1,2022-05-02 11:32:16,R_2TAHJvO7Y57EDPt,,,,,52.578,1.0889,anonymous,EN,1,I pay attention,1434,4,5,1624,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,3,579e431a81f331000139d5d0,2
2022-05-02 11:28:58,2022-05-02 11:32:46,0,94.4.189.104,100,228,1,2022-05-02 11:32:46,R_2rx9MVdhYt6Wqu7,,,,,51.5565,-3.3558,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1751,4,2,1258,1,3,,,,,,,,2,61,1,6121428ebc142034b2243727,2
