StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,indep_conv_acc_a_I,indep_conv_comp_a_I,indep_conv_acc_b_I,indep_conv_comp_b_I,indep_div_acc_a_I,indep_div_comp_a_I,indep_div_acc_b_I,indep_div_comp_b_I,confl_conv_acc_a_I,confl_conv_comp_a_I,confl_conv_acc_b_I,confl_conv_comp_b_I,confl_div_acc_a_I,confl_div_comp_a_I,confl_div_acc_b_I,confl_div_comp_b_I,indep_conv_acc_a_II,indep_conv_comp_a_II,indep_conv_acc_b_II,indep_conv_comp_b_II,indep_div_acc_a_II,indep_div_comp_a_II,indep_div_acc_b_II,indep_div_comp_b_II,confl_conv_acc_a_II,confl_conv_comp_a_II,confl_conv_acc_b_II,confl_conv_comp_b_II,confl_div_acc_a_II,confl_div_comp_a_II,confl_div_acc_b_II,confl_div_comp_b_II,Q2,Q3,Q4,Q5,PROLIFIC_PID,counter
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The survey will take about 5 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","On average, how accurate do you think these three predictions are?","On average, how good do you think these three experts are at predicting the value of stocks?","Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,counter
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1485""}","{""ImportId"":""QID1486""}","{""ImportId"":""QID1659""}","{""ImportId"":""QID1660""}","{""ImportId"":""QID1671""}","{""ImportId"":""QID1672""}","{""ImportId"":""QID1677""}","{""ImportId"":""QID1678""}","{""ImportId"":""QID1653""}","{""ImportId"":""QID1654""}","{""ImportId"":""QID1665""}","{""ImportId"":""QID1666""}","{""ImportId"":""QID1683""}","{""ImportId"":""QID1684""}","{""ImportId"":""QID1689""}","{""ImportId"":""QID1690""}","{""ImportId"":""QID1699""}","{""ImportId"":""QID1700""}","{""ImportId"":""QID1705""}","{""ImportId"":""QID1706""}","{""ImportId"":""QID1711""}","{""ImportId"":""QID1712""}","{""ImportId"":""QID1717""}","{""ImportId"":""QID1718""}","{""ImportId"":""QID1723""}","{""ImportId"":""QID1724""}","{""ImportId"":""QID1729""}","{""ImportId"":""QID1730""}","{""ImportId"":""QID1735""}","{""ImportId"":""QID1736""}","{""ImportId"":""QID1741""}","{""ImportId"":""QID1742""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""counter""}"
2022-05-19 10:16:07,2022-05-19 10:18:55,0,146.199.131.28,100,167,1,2022-05-19 10:18:55,R_3effNdwUeEPwZsy,,,,,53.3678,-1.5065,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,5,5,3,3,,1,40,3,5e649eb4666c4a22594d22ca,4
2022-05-19 10:16:33,2022-05-19 10:19:22,0,92.236.101.208,100,168,1,2022-05-19 10:19:22,R_3oRUg7VnRJwKYgT,,,,,51.4675,-0.3552,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,6,5,6,3,5,3,4,,,,,,,,,,2,44,6,6113978215a6811ec98b7416,4
2022-05-19 10:16:31,2022-05-19 10:19:32,0,188.28.249.11,100,180,1,2022-05-19 10:19:32,R_3RvAJqdGkoryABd,,,,,51.529,-0.06,anonymous,EN,1,I pay attention,,,,,,,,,4,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,2,35,7,60e856db69ce8e6c9cab120b,4
2022-05-19 10:17:51,2022-05-19 10:20:46,0,94.13.63.210,100,174,1,2022-05-19 10:20:46,R_2ATF8CXlkRgoEIK,,,,,51.5909,-1.3772,anonymous,EN,1,I pay attention,6,6,8,6,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,73,7,5b12dd2630d562000155d420,4
2022-05-19 10:17:47,2022-05-19 10:21:33,0,86.135.219.234,100,225,1,2022-05-19 10:21:33,R_dmp0K4TwEOuT6XT,,,,,53.4236,-2.3113,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,3,3,3,,2,50,6,60f5a479e224f361f3e646b8,4
2022-05-19 10:20:06,2022-05-19 10:22:10,0,165.225.199.87,100,124,1,2022-05-19 10:22:11,R_2CvKvUrAydyGhSi,,,,,53.5039,-2.1959,anonymous,EN,1,I pay attention,5,5,5,5,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,3,599aa594a7b2400001523523,4
2022-05-19 10:20:48,2022-05-19 10:22:15,0,2.29.242.18,100,87,1,2022-05-19 10:22:16,R_1JLT7ht2ClAjzLN,,,,,51.3992,-0.0527,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,4,5,5,3,4,3,3,,,,,,,,,,2,44,5,5dcedfedcc192001ff8fcaea,4
2022-05-19 10:18:14,2022-05-19 10:22:29,0,195.213.53.168,100,255,1,2022-05-19 10:22:29,R_endEElibXdfmPjX,,,,,51.4451,0.0964,anonymous,EN,1,I pay attention,,,,,,,,,1,5,1,5,4,3,2,5,,,,,,,,,,,,,,,,,,2,50,3,5e3d33b27525e7117bd31778,4
