Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641329386103917062ef0ebf,63e5eb956eab1f2740ac6289,AWAITING REVIEW,2023-03-16T14:36:10.145000Z,2023-03-16T14:39:05.473000Z,,2023-03-16T14:39:05.895871Z,176,5A34BA6B,82,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413293e7ca6a16750a903fd,63065f726908903c75544400,AWAITING REVIEW,2023-03-16T14:35:45.068000Z,2023-03-16T14:37:58.358000Z,,2023-03-16T14:37:58.931802Z,134,5A34BA6B,199,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6413294233f7810799254396,63e51c38b573cd46809e1d72,AWAITING REVIEW,2023-03-16T14:35:49.249000Z,2023-03-16T14:37:42.578000Z,,2023-03-16T14:37:43.128121Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64132942b179758f37ed175e,5cf0220c7211ab00169e801a,AWAITING REVIEW,2023-03-16T14:35:49.611000Z,2023-03-16T14:37:59.161000Z,,2023-03-16T14:37:59.563477Z,130,5A34BA6B,597,33,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641329466fc80763d0f4b724,63d3fac0c5bcb3f6b0d48984,AWAITING REVIEW,2023-03-16T14:35:55.284000Z,2023-03-16T14:38:58.959000Z,,2023-03-16T14:38:59.325599Z,184,5A34BA6B,72,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
64132948bfa53d0ae22c0080,62e16e79326aa8ba7e6edeaf,AWAITING REVIEW,2023-03-16T14:35:57.283000Z,2023-03-16T14:38:41.803000Z,,2023-03-16T14:38:42.173452Z,165,5A34BA6B,187,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64132948d50580415062f868,5ecc35b92004df431a4459e2,AWAITING REVIEW,2023-03-16T14:35:56.458000Z,2023-03-16T14:38:45.379000Z,,2023-03-16T14:38:45.731849Z,169,5A34BA6B,722,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64132948f9deb281533cf7a3,62fb7e1b98b8b882563899ae,AWAITING REVIEW,2023-03-16T14:35:52.255000Z,2023-03-16T14:40:22.810000Z,,2023-03-16T14:40:23.240524Z,271,5A34BA6B,101,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6413294cb179758f37ed175f,5f972e95ea9cc80c17f6f625,AWAITING REVIEW,2023-03-16T14:35:58.985000Z,2023-03-16T14:39:35.504000Z,,2023-03-16T14:39:35.897694Z,217,5A34BA6B,925,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6413294cb3fe29e1dee36c01,5e89ba09ec9b3364b1fc0bd1,AWAITING REVIEW,2023-03-16T14:36:02.670000Z,2023-03-16T14:38:35.513000Z,,2023-03-16T14:38:36.739380Z,153,5A34BA6B,1270,43,Male,White,United States,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413294cf99066723b054360,5f00b3ba50b6780628d9baf3,AWAITING REVIEW,2023-03-16T14:35:59.966000Z,2023-03-16T14:39:24.322000Z,,2023-03-16T14:39:26.215272Z,205,5A34BA6B,493,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6413294d7a0241759fb2167d,5a9e9fc46219a30001f54994,AWAITING REVIEW,2023-03-16T14:36:01.257000Z,2023-03-16T14:39:54.147000Z,,2023-03-16T14:39:54.534064Z,233,5A34BA6B,1561,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413294da0d5e5e581715368,5fbf94f2891c55203896f7dc,AWAITING REVIEW,2023-03-16T14:36:00.399000Z,2023-03-16T14:39:28.098000Z,,2023-03-16T14:39:29.039206Z,208,5A34BA6B,980,43,Male,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,No,Full-Time
6413294e7ef0194ab7fbb1be,582f8bbd4cadc80001b0fbd3,AWAITING REVIEW,2023-03-16T14:36:06.546000Z,2023-03-16T14:43:19.771000Z,,2023-03-16T14:43:20.336276Z,434,5A34BA6B,1616,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6413294f5498f2f4ce3d12bd,5a94d2e989de8200013ecab6,AWAITING REVIEW,2023-03-16T14:36:22.800000Z,2023-03-16T14:39:36.984000Z,,2023-03-16T14:39:37.519747Z,195,5A34BA6B,1786,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
