StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,0_acc_a_1,0_com_a,0_acc_b_1,0_com_b,1_acc_a_1,1_com_a,1_acc_b_1,1_com_b,2_acc_a_1,2_com_a,2_acc_b_1,2_com_b,3_acc_a_1,3_com_a,3_acc_b_1,3_com_b,Q1,gender,age,education,PROLIFIC_PID,counter
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 4 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,counter
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID1211623701""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID71""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""counter""}"
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,,,,,51.6,-0.2167,anonymous,EN,1,i pay attention,10,1,33,5,33,4,52,4,66,5,74,7,100,7,100,7,,1,20,2,63e51c38b573cd46809e1d72,8
2023-03-16 15:35:53,2023-03-16 15:37:54,0,109.148.56.125,100,120,1,2023-03-16 15:37:55,R_Ow1qwDHcCdvzQkx,,,,,52.5674,-2.0333,anonymous,EN,1,I pay attention,21,4,8,4,17,4,34,4,72,4,81,4,70,4,92,5,,2,33,8,5cf0220c7211ab00169e801a,8
2023-03-16 15:35:46,2023-03-16 15:37:56,0,90.196.4.138,100,129,1,2023-03-16 15:37:57,R_ZIDkEoIVwgXobAJ,,,,,52.5127,-1.4509,anonymous,EN,1,I pay attention,28,4,11,3,30,4,30,3,41,4,49,5,70,6,79,6,,2,28,3,63065f726908903c75544400,8
2023-03-16 15:36:15,2023-03-16 15:38:03,0,146.199.203.107,100,108,1,2023-03-16 15:38:04,R_3R8XSSgSK9KRC4b,,,,,51.5927,-2.9637,anonymous,EN,1,I pay attention,20,3,20,3,33,4,33,4,63,6,69,5,85,5,87,7,,1,24,2,5f4412624052727181839e3a,8
2023-03-16 15:36:05,2023-03-16 15:38:04,0,86.145.170.174,100,118,1,2023-03-16 15:38:06,R_3MsxK99aBk7l96Y,,,,,54.5554,-1.5151,anonymous,EN,1,I pay attention,25,3,25,4,33,4,33,4,75,5,40,4,75,5,75,5,,1,38,5,5b88002a7bb9e90001f0703f,8
2023-03-16 15:36:13,2023-03-16 15:38:07,0,86.9.116.224,100,113,1,2023-03-16 15:38:09,R_3mG3dsizitkxLxL,,,,,53.7687,-2.4667,anonymous,EN,1,I pay attention,33,5,35,4,34,4,34,4,34,4,34,5,35,5,34,5,,1,53,2,57d56562a0e8ce00015439c7,8
2023-03-16 15:36:31,2023-03-16 15:38:11,0,2.220.8.21,100,100,1,2023-03-16 15:38:13,R_ufCxOlWbR2sKEgN,,,,,50.9661,-1.3348,anonymous,EN,1,i pay attention,34,3,33,2,33,4,35,4,67,4,66,4,100,7,100,7,,2,32,6,567bdc76b7d79a0012b2738a,8
2023-03-16 15:36:19,2023-03-16 15:38:14,0,86.165.48.206,100,114,1,2023-03-16 15:38:15,R_3hxUDmYtwmq6m5H,,,,,51.3986,-3.2791,anonymous,EN,1,I pay attention,1,1,11,3,29,3,30,4,65,4,53,4,91,4,100,7,,2,29,5,6148a744a4927f58c507b905,8
2023-03-16 15:36:20,2023-03-16 15:38:21,0,109.148.139.29,100,120,1,2023-03-16 15:38:23,R_3lzf6S71VG1h507,,,,,54.8863,-1.5715,anonymous,EN,1,I pay attention,13,2,20,3,26,4,29,4,30,4,50,5,78,5,77,6,,2,28,5,5f2b3b2b4cc04057806945da,8
2023-03-16 15:36:18,2023-03-16 15:38:22,0,92.9.126.79,100,123,1,2023-03-16 15:38:24,R_2QK8IGgdHqkoHf2,,,,,50.7887,-1.1475,anonymous,EN,1,I pay attention,32,4,34,4,34,4,50,4,69,5,60,5,80,5,81,5,,1,38,3,6150354b1b4a698e6ff0d907,8
2023-03-16 15:36:20,2023-03-16 15:38:25,0,87.102.103.41,100,124,1,2023-03-16 15:38:27,R_3OpsBPogK49eEKK,,,,,53.7426,-0.3295,anonymous,EN,1,I pay attention,24,3,25,4,34,3,25,4,50,4,75,4,73,5,75,5,,2,24,5,5c4f4cddb2c84d000130f466,8
2023-03-16 15:36:10,2023-03-16 15:38:29,0,81.152.195.61,100,139,1,2023-03-16 15:38:33,R_1MZmiCltXFGTY21,,,,,53.8466,-1.8416,anonymous,EN,1,I pay attention,20,3,20,3,30,4,20,2,75,6,51,5,90,6,90,6,,1,23,5,63da916f8546f271842efb23,8
2023-03-16 15:36:04,2023-03-16 15:38:33,0,82.0.16.152,100,149,1,2023-03-16 15:38:34,R_yk0rtO0TqM01KfL,,,,,52.9538,-1.1571,anonymous,EN,1,i pay attention,25,3,86,6,32,5,50,4,71,5,71,5,95,6,92,6,,1,43,4,5e89ba09ec9b3364b1fc0bd1,8
2023-03-16 15:35:59,2023-03-16 15:38:39,0,151.228.148.181,100,160,1,2023-03-16 15:38:40,R_123bT4sQC3WwMSz,,,,,51.6766,0.3101,anonymous,EN,1,I pay attention,33,3,36,3,50,4,49,4,68,5,59,5,81,5,85,6,,2,43,2,62e16e79326aa8ba7e6edeaf,8
2023-03-16 15:36:15,2023-03-16 15:38:38,0,90.217.56.37,100,143,1,2023-03-16 15:38:40,R_3oZ4JWBNFvpT52c,,,,,50.9881,-1.3973,anonymous,EN,1,I pay attention,33,3,33,3,33,3,33,3,62,4,61,4,72,5,70,5,,1,39,5,628f7669ee68aabf3930123b,8
2023-03-16 15:36:20,2023-03-16 15:38:40,0,140.228.44.27,100,139,1,2023-03-16 15:38:41,R_sdjOmDwK2Gjfai5,,,,,51.5064,-0.02,anonymous,EN,1,I pay attention,30,3,29,3,30,4,37,4,72,6,67,5,100,7,100,7,,1,31,2,63d811529a14859b7754f737,8
2023-03-16 15:36:06,2023-03-16 15:38:39,0,82.27.49.57,100,153,1,2023-03-16 15:38:41,R_ealghNN3qmPcdtT,,,,,53.3202,-2.1413,anonymous,EN,1,I pay attention,86,6,83,6,91,6,82,6,83,6,100,7,87,6,87,6,,1,25,6,5f0f7fe1d7ad1c000b42d091,8
2023-03-16 15:36:16,2023-03-16 15:38:40,0,90.254.195.208,100,143,1,2023-03-16 15:38:41,R_ujIb5XqeykQZVu1,,,,,53.8109,-1.637,anonymous,EN,1,"I pay attention ",20,3,20,3,33,4,33,4,60,5,50,4,70,3,70,3,,2,39,3,5fde36d50a5e7f57ba491e20,8
2023-03-16 15:35:58,2023-03-16 15:38:43,0,90.201.49.67,100,164,1,2023-03-16 15:38:44,R_AdGN3Tz5gMnjAeR,,,,,51.8186,1.132,anonymous,EN,1,I pay attention,33,4,33,4,33,4,33,4,34,4,33,4,33,4,33,4,,2,43,5,5ecc35b92004df431a4459e2,8
2023-03-16 15:36:14,2023-03-16 15:38:46,0,92.22.48.29,100,152,1,2023-03-16 15:38:46,R_25t2Z3Q5IJ9SRMN,,,,,51.7977,-2.4306,anonymous,EN,1,I pay attention,13,2,18,2,32,3,29,3,68,5,70,5,90,6,91,6,,1,23,4,63d3fa80d876721f1da65306,8
2023-03-16 15:36:09,2023-03-16 15:38:45,0,188.66.77.76,100,155,1,2023-03-16 15:38:47,R_33v5H1YqL13vuKX,,,,,51.2887,-0.7957,anonymous,EN,1,I pay attention,35,5,56,5,34,3,34,3,55,4,63,5,34,3,34,3,,1,51,5,5ecae23b40dae00008174c32,8
2023-03-16 15:36:08,2023-03-16 15:38:48,0,31.53.46.132,100,160,1,2023-03-16 15:38:49,R_2WwKj5hM9kIafwf,,,,,53.5549,-2.0681,anonymous,EN,1,I pay attention,85,6,85,6,85,6,85,6,85,6,85,6,85,6,85,6,,1,41,2,63468c24fb8ba9eb242d2aca,8
2023-03-16 15:36:56,2023-03-16 15:38:50,0,85.255.234.110,100,113,1,2023-03-16 15:38:50,R_2ykYbfB410v0Xf2,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,29,3,27,3,47,4,50,4,64,5,61,5,82,5,85,5,,2,36,5,5f04dc9fb117c31680c1a4f5,8
2023-03-16 15:35:56,2023-03-16 15:38:57,0,151.227.196.125,100,180,1,2023-03-16 15:38:57,R_silKKPo3AeCtAE9,,,,,53.753,-2.359,anonymous,EN,1,I pay attention,10,2,15,2,33,3,33,4,75,5,75,5,95,6,95,6,,1,20,3,63d3fac0c5bcb3f6b0d48984,8
2023-03-16 15:36:08,2023-03-16 15:38:57,0,31.94.16.91,100,169,1,2023-03-16 15:38:58,R_1JVHKXTZ9FUDBzs,,,,,51.5095,-0.0955,anonymous,EN,1,"I pay attention ",30,3,30,3,40,4,40,4,60,5,60,5,100,6,60,4,,2,19,3,5eb930c8934ff2000879df8f,8
2023-03-16 15:36:24,2023-03-16 15:38:57,0,213.205.194.194,100,153,1,2023-03-16 15:38:58,R_24JmrSobXKg7a4S,,,,,51.4412,-0.1833,anonymous,EN,1,I pay attention,32,4,83,5,23,4,25,3,65,5,66,6,92,5,100,6,,1,33,5,63ea4d64095b3286433ed52e,8
2023-03-16 15:36:10,2023-03-16 15:38:58,0,86.129.98.1,100,168,1,2023-03-16 15:38:59,R_3gMCIht8dO4jers,,,,,53.8187,-2.4049,anonymous,EN,1,I pay attention,27,3,29,3,34,4,29,4,50,4,30,4,100,6,100,7,,2,33,8,5e5a97eb8bca2328a1d73434,8
2023-03-16 15:36:03,2023-03-16 15:38:58,0,46.208.149.175,100,175,1,2023-03-16 15:38:59,R_3ENixZryvqmR1gf,,,,,57.5324,-2.3883,anonymous,EN,1,I pay attention,23,3,25,3,33,3,33,3,57,3,57,3,75,4,76,4,,1,40,6,5755c957eb80c4000741a9ce,8
2023-03-16 15:36:26,2023-03-16 15:39:00,0,86.161.61.10,100,153,1,2023-03-16 15:39:00,R_3PpLN9QqhHFxL9H,,,,,55.9694,-4.2967,anonymous,EN,1,I pay attention,10,2,13,3,31,4,35,4,68,5,67,5,85,6,80,6,,2,29,6,5d93ab29efb8550018d5626c,8
2023-03-16 15:36:15,2023-03-16 15:39:00,0,109.158.138.166,100,165,1,2023-03-16 15:39:01,R_qQ7BkykDnikRLpv,,,,,54.6581,-5.9045,anonymous,EN,1,I pay attention,18,4,19,4,35,4,33,4,63,5,59,5,81,6,87,5,,1,40,6,62c8391cd913ab9b5317d5f9,8
2023-03-16 15:36:13,2023-03-16 15:39:02,0,86.155.230.127,100,168,1,2023-03-16 15:39:03,R_AG4deJkVZj7zIJP,,,,,52.5026,-1.7815,anonymous,EN,1,I pay attention,6,1,10,2,20,2,21,3,60,4,70,5,90,5,90,5,,1,29,2,63e5eb956eab1f2740ac6289,8
