term,power,n,iterations,outcome
convergence,1,20,1000,accuracy
convergence:independenceindependent,0.358,20,1000,accuracy
independenceindependent,0.19,20,1000,accuracy
convergence,1,40,1000,accuracy
convergence:independenceindependent,0.645,40,1000,accuracy
independenceindependent,0.337,40,1000,accuracy
convergence,1,60,1000,accuracy
convergence:independenceindependent,0.812,60,1000,accuracy
independenceindependent,0.454,60,1000,accuracy
convergence,1,80,1000,accuracy
convergence:independenceindependent,0.902,80,1000,accuracy
independenceindependent,0.538,80,1000,accuracy
convergence,1,100,1000,accuracy
convergence:independenceindependent,0.959,100,1000,accuracy
independenceindependent,0.664,100,1000,accuracy
convergence,1,120,1000,accuracy
convergence:independenceindependent,0.982,120,1000,accuracy
independenceindependent,0.724,120,1000,accuracy
convergence,1,140,1000,accuracy
convergence:independenceindependent,0.993,140,1000,accuracy
independenceindependent,0.793,140,1000,accuracy
convergence,1,160,1000,accuracy
convergence:independenceindependent,0.997,160,1000,accuracy
independenceindependent,0.841,160,1000,accuracy
convergence,1,180,1000,accuracy
convergence:independenceindependent,0.999,180,1000,accuracy
independenceindependent,0.877,180,1000,accuracy
convergence,1,200,1000,accuracy
convergence:independenceindependent,1,200,1000,accuracy
independenceindependent,0.915,200,1000,accuracy
