StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,0_acc_a_1,0_com_a,0_acc_b_1,0_com_b,1_acc_a_1,1_com_a,1_acc_b_1,1_com_b,2_acc_a_1,2_com_a,2_acc_b_1,2_com_b,3_acc_a_1,3_com_a,3_acc_b_1,3_com_b,Q1,gender,age,education,PROLIFIC_PID,condition,counter
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 4 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,What do you think is the probability of advisor 1 making the best investment recommendation? - Probability of being correct,How competent do you think advisor 1 is regarding such investment recommendations?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,condition,counter
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID1211623701""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID71""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""condition""}","{""ImportId"":""counter""}"
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,,,,,51.279,1.0763,anonymous,EN,1,I pay attention,33,4,33,4,33,4,33,4,33,4,33,4,33,4,33,4,,1,28,6,63d53b38b9e515c80720bb76,conflict of interest,8
2023-04-14 15:28:55,2023-04-14 15:30:37,0,86.132.96.67,100,102,1,2023-04-14 15:30:38,R_2VCrkVCijRodKQY,,,,,53.5197,-2.2109,anonymous,EN,1,I pay attention,10,2,44,4,50,3,51,4,71,6,65,5,100,7,93,1,,1,34,5,63edee4b5034b267d8fad626,conflict of interest,8
2023-04-14 15:28:33,2023-04-14 15:30:42,0,31.104.46.215,100,128,1,2023-04-14 15:30:42,R_1LeacSLXsJV8Fk7,,,,,52.3325,-0.1844,anonymous,EN,1,I pay attention,35,5,20,4,35,5,34,5,77,6,72,6,89,6,91,6,,2,44,5,5e110747dc265f7d25341439,independent,8
2023-04-14 15:28:53,2023-04-14 15:30:50,0,86.144.127.205,100,116,1,2023-04-14 15:30:50,R_bedrzfPTnoPt3AR,,,,,51.6486,0.0495,anonymous,EN,1,"I pay attention ",51,4,50,4,52,3,54,4,53,4,44,4,52,4,53,4,,2,29,5,6154338edbb2b162894aaf9e,conflict of interest,8
2023-04-14 15:29:17,2023-04-14 15:30:57,0,77.100.12.167,100,99,1,2023-04-14 15:30:57,R_2bKnAcdyUOXoTuc,,,,,51.9037,-2.0848,anonymous,EN,1,I pay attention,57,3,55,4,63,4,56,4,60,4,33,4,83,7,78,6,,1,35,3,63207376461ca8b27f375473,conflict of interest,8
2023-04-14 15:29:07,2023-04-14 15:31:02,0,146.199.108.174,100,115,1,2023-04-14 15:31:03,R_9KQP0la3FmZmSDn,,,,,52.9735,-1.3255,anonymous,EN,1,I pay attention,90,6,90,6,40,4,90,6,10,2,10,2,10,2,15,2,,2,25,5,5fbfffc4e214a60ab1b745fd,conflict of interest,8
2023-04-14 15:29:17,2023-04-14 15:31:04,0,195.99.197.66,100,107,1,2023-04-14 15:31:04,R_A0DD8CIXkPxAFnX,,,,,51.9124,-0.3846,anonymous,EN,1,I pay attention,60,5,61,5,66,5,65,6,47,5,68,5,59,5,44,5,,1,31,3,62fbe4c86d484357b6adbc36,conflict of interest,8
2023-04-14 15:29:04,2023-04-14 15:31:06,0,88.109.41.31,100,121,1,2023-04-14 15:31:06,R_1r97Xj8OK7WEb5w,,,,,51.631,-3.4774,anonymous,EN,1,I pay attention,20,3,20,3,40,4,40,4,70,5,70,5,90,6,90,6,,1,21,5,63dd1dab484083017c1b8184,conflict of interest,8
