StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,0_acc_a_1,0_com_a,0_acc_b_1,0_com_b,1_acc_a_1,1_com_a,1_acc_b_1,1_com_b,2_acc_a_1,2_com_a,2_acc_b_1,2_com_b,3_acc_a_1,3_com_a,3_acc_b_1,3_com_b,Q1,gender,age,education,PROLIFIC_PID,number,counter
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 4 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,What do you think is the probability of player 1 being correct? - Probability of being correct,How competent do you think player 1 is in games like these?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,number,counter
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID152""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID107""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID123""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID130""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID151""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""number""}","{""ImportId"":""counter""}"
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,,,,,51.364,-0.392,anonymous,EN,1,I pay attention,35,3,26,3,48,4,28,4,50,5,59,5,83,6,77,6,,1,26,8,5e8d78c5d0f9141480891cee,ten,8
2023-06-06 12:59:28,2023-06-06 13:01:02,0,82.24.25.106,100,94,1,2023-06-06 13:01:03,R_2xIW3a13mlqiyAo,,,,,50.9051,-1.3655,anonymous,EN,1,i pay attention,33,3,34,3,33,4,33,3,33,3,33,3,33,3,39,3,,1,35,3,62ab2034b58fe149d144acf4,three,8
2023-06-06 12:59:31,2023-06-06 13:01:05,0,109.147.202.241,100,93,1,2023-06-06 13:01:06,R_1hFmATQuZHod7kd,,,,,51.6192,-0.3247,anonymous,EN,1,I pay attention,59,5,56,4,33,3,33,4,69,5,66,4,83,6,75,6,,1,27,5,6441795624090301ddeba81e,three,8
2023-06-06 12:59:26,2023-06-06 13:01:12,0,80.4.166.185,100,106,1,2023-06-06 13:01:13,R_3nBs7AtggbjBQg4,,,,,52.4259,-1.4628,anonymous,EN,1,"I pay attention ",67,5,42,4,65,5,46,5,39,5,73,3,56,6,53,5,,2,39,3,5c7288f41384ee000111604a,ten,8
2023-06-06 12:59:44,2023-06-06 13:01:21,0,82.6.194.188,100,97,1,2023-06-06 13:01:22,R_8pNNXgR3O6EbOKJ,,,,,53.7881,-1.6008,anonymous,EN,1,I pay attention,27,3,29,3,40,4,54,5,80,6,81,6,89,6,93,6,,2,26,5,5c43750c26217400018c1d69,ten,8
2023-06-06 12:59:16,2023-06-06 13:01:22,0,159.86.182.6,100,125,1,2023-06-06 13:01:23,R_1Q9p9yNldZhw457,,,,,51.6327,-3.9449,anonymous,EN,1,I pay attention,72,5,49,3,56,4,73,4,50,5,41,2,63,5,50,4,,2,27,4,6128d76bf2f6b1df98035506,three,8
2023-06-06 12:59:27,2023-06-06 13:01:22,0,46.64.171.253,100,115,1,2023-06-06 13:01:23,R_12nYP5m9mdfMTyy,,,,,51.49,-0.6557,anonymous,EN,1,"I pay attention ",35,5,27,4,34,5,63,5,30,4,48,5,81,7,38,4,,2,27,5,5f262b3018c68e27aebdd170,ten,8
2023-06-06 12:59:44,2023-06-06 13:01:23,0,217.179.1.74,100,98,1,2023-06-06 13:01:24,R_9uTtj2grtTDw7tf,,,,,53.7543,-1.5462,anonymous,EN,1,I pay attention,19,2,8,2,33,4,33,4,71,5,77,6,91,7,93,7,,1,26,5,62714f1a980371802eccdfd3,ten,8
