StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,trees_know,trees_accept,water_know,water_accept,Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,Q1,education,comments,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific study. Participation requires that you give your informed consent. Before proceeding, please consider the following information:



The study will take about 7 minutes to complete.



There are no risks involved in this study.



You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).



Your individual privacy will be maintained in all published and written data resulting from the study.

 

Participation in this research study is voluntary. You may choose not to participate.

 

By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","While watching the television, have you ever had a fatal heart attack?","Are electrons smaller, larger, or the same size as atoms?",Do you agree that electrons are smaller than atoms?,Do antibiotics kill viruses as well as bacteria?,"Do you agree that antibiotics kill bacteria, but not viruses?",Have the continents on Earth been moving for millions of years or have they always been where they are now?,Do you agree that the continents on Earth have been moving for millions of years due to plate tectonics?,"What decides whether a baby is a boy or a girl ? Is it the father’s genes, the mother’s genes, or both?",Do you agree that it is the genes in the father's sperm which are decisive on whether a baby is a boy or a girl?,Do lasers work by focusing sound waves?,Do you agree that lasers do not work by focusing sound waves?,"How long does it take for Earth to go around the sun: one day, one month, or one year ?",Do you agree that it takes one year for Earth to go around the sun?,Are diamonds made of carbon?,Do you agree that diamonds are made of carbon?,Which travels faster: light or sound?,Do you agree that light travels faster than sound?,Is common table salt made of calcium carbonate?,"Do you agree that common table salt is not made of calcium carbonate, but is in fact made of sodium chloride?",Where do trees mainly draw the materials with which they create their mass?,"Do you agree that carbon drawn from the air during photosynthesis makes up most of the materials that trees use to build new leaves, stems, and roots?",Is water made of molecules containing one oxygen and two hydrogen atoms?,Do you agree that water is made of molecules containing one oxygen and two hydrogen atoms?,Now we are going to ask some questions about yourself.,"I think that... - ... many very important things happen in the world, which the public is never informed about.",I think that... - ... politicians usually do not tell us the true motives for their decisions.,I think that... - ... government agencies closely monitor all citizens.,I think that... - ... events which superficially seem to lack a connection are often the result of secret activities.,I think that... - ... there are secret organizations that greatly influence political decisions.,"I think that the official version of the events given by the authorities 
very often hides the truth.","There has been much debate about various historical events, suggesting that the 
‘official version’ of the truth of those events is something of a cover-up. Below is a list of events 
for which the official version has been disputed. For each event, we would like you to indicate to
what extent you believe the cover-up version of events is true or false.",The Apollo moon landings never happened and were staged in a Hollywood film studio.,"A cure for cancer was discovered years ago, but this has been suppressed by the pharmaceutical industry and the U.S. Food and Drug Administration (FDA).","The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of vested interests.",The claim that the climate is changing due to emissions from fossil fuels is a hoax perpetrated by corrupt scientists who want to spend more taxpayer money on climate research.,The Earth is flat (not spherical) and this fact has been covered up by scientists and vested interests.,There is a causal link between vaccination and autism that has been covered up by the pharmaceutical industry.,In the 1950s and 1960s more than 100 million Americans received a polio vaccine contaminated with a potentially cancer-causing virus.,Proof of alien contact is being concealed from the public.,Hydroxychloroquine has been demonstrated to be a safe and effective treatment of COVID and this information is being suppressed.,"Dinosaurs never existed, evolution is not real, and scientists have been faking the fossil record.","How much do you trust scientists in this country? Do you trust them a lot, some, not much, or not at all?","In general, would you say that you trust science a lot, some, not much, or not at all?",How much confidence do you have in scientists to act in the best interests of the public?,"Before finishing, please provide the following information. Once you are done with this question, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,Do you have any comments or feedback about the survey?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID188""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID204""}","{""ImportId"":""QID206""}","{""ImportId"":""QID210""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID233""}","{""ImportId"":""QID245""}","{""ImportId"":""QID247""}","{""ImportId"":""QID197""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID193_2""}","{""ImportId"":""QID193_3""}","{""ImportId"":""QID193_4""}","{""ImportId"":""QID193_5""}","{""ImportId"":""QID190""}","{""ImportId"":""QID235""}","{""ImportId"":""QID234""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2024-03-05 18:12:26,2024-03-05 18:14:46,IP Address,75.82.110.65,100,139,True,2024-03-05 18:14:47,R_1F5P1QZtxhmlN9T,,,,,34.1413,-118.6599,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,40,60,40,0,0," 6",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,no,5d654282986878001c2a5db7
2024-03-05 18:12:21,2024-03-05 18:14:53,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,,,,,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,30,70,10,40,60," 6",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 6",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,2-year College Degree,,5ba596467c0ebe0001269842
2024-03-05 18:12:22,2024-03-05 18:15:15,IP Address,204.15.26.160,100,172,True,2024-03-05 18:15:16,R_3EZ6MVqIunTacY9,,,,,43.0812,-89.3845,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,,60,50,30,70,60," 6",," 2",Completely false 1," 3"," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Some College,,65cf88a1a3887a237da61f94
2024-03-05 18:12:56,2024-03-05 18:15:18,IP Address,98.233.89.114,100,141,True,2024-03-05 18:15:18,R_3iycVvsQyqEBb7E,,,,,39.068,-76.9933,anonymous,EN,I give my informed consent to participate in this study.,Never 1,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,No,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,100,100,100,100,100,Completely true 9,,Unsure 5,Completely true 9,Completely true 9,Completely true 9,Completely false 1,Completely true 9,Completely true 9,Completely true 9,Completely true 9,Completely false 1,Not at all 1,Not at all 1,No confidence at all 1,,Some College,,607778a26ff3de83125f50c5
2024-03-05 18:11:20,2024-03-05 18:15:27,IP Address,72.77.81.17,100,246,True,2024-03-05 18:15:27,R_1hXdJLGlWoH60V6,,,,,40.5258,-79.8769,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,,0,10,0,0,0," 2",,Completely false 1," 2",Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,2-year College Degree,,5dda993086c886a06ce9108d
2024-03-05 18:13:04,2024-03-05 18:15:30,IP Address,75.67.206.167,100,146,True,2024-03-05 18:15:31,R_1feBoHxbARbCzyI,,,,,41.7465,-70.5914,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,80,90,80,70,20," 6",,Completely false 1," 2"," 3",Completely false 1,Completely false 1,Completely false 1," 2"," 6",Completely false 1,Completely false 1,Some 3,Some 3," 4",,3- or 4-year College Degree,,5b915c9d22d85d000115c0f5
2024-03-05 18:12:38,2024-03-05 18:15:31,IP Address,73.44.56.52,100,172,True,2024-03-05 18:15:31,R_10Bqx1i2WCPOl4k,,,,,41.7212,-87.7037,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,No,TRUE,Yes,,70,80,100,10,10,Unsure 5,,Completely false 1,Completely false 1,Unsure 5," 3"," 6",Completely true 9," 3",Completely true 9,Completely false 1,Completely false 1,Some 3,A lot 4," 4",,3- or 4-year College Degree,,5c3dfadfef1d0d0001b2870e
2024-03-05 18:10:26,2024-03-05 18:15:33,IP Address,16.98.20.145,100,307,True,2024-03-05 18:15:34,R_7SLrwPlBAenWUOB,,,,,28.9938,-82.4241,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,60,60,50,50,50,Unsure 5,,Unsure 5,Unsure 5,Unsure 5,Unsure 5,Unsure 5,Unsure 5,Unsure 5,Completely true 9,Unsure 5," 3",Some 3,Some 3," 3",,Some College,,5dc474fd45b8f933f16d6241
