Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
660d5a9db4cdf6908186e6c1,5deb638bff7f7126d6fb5142,APPROVED,Not Applicable,2024-04-03T13:34:06.699000Z,2024-04-03T13:39:40.254000Z,2024-04-03T14:35:07.950000Z,2024-04-03T13:39:41.364565Z,334.0,C232A6J3,3801,48,Male,White,United States,United States,United States,English,No,Full-Time
660d5ad97e613a7f936de3dc,6400ed09421b2727c2f7c553,APPROVED,Not Applicable,2024-04-03T13:36:31.954000Z,2024-04-03T13:49:51.906000Z,2024-04-03T14:35:08.371000Z,2024-04-03T13:49:52.699397Z,800.0,C232A6J3,1146,38,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660d5aff26e70ccd463e006f,63faeccd22c0d2a8f1b9759e,APPROVED,Not Applicable,2024-04-03T13:35:24.127000Z,2024-04-03T13:39:18.620000Z,2024-04-03T14:35:08.786000Z,2024-04-03T13:39:19.726639Z,235.0,C232A6J3,3095,40,Male,Black,United States,United States,United States,English,No,Full-Time
660d5b00ed30a4a6febbf581,63ebb22fae90027a0e121582,APPROVED,Not Applicable,2024-04-03T13:34:58.592000Z,2024-04-03T13:42:12.969000Z,2024-04-03T14:35:09.963000Z,2024-04-03T13:42:13.735109Z,435.0,C232A6J3,2397,42,Male,White,United States,United States,United States,English,No,Full-Time
660d5b0064d05a81986b4460,60c7af606ba051b42a91d3ff,APPROVED,Not Applicable,2024-04-03T13:35:01.082000Z,2024-04-03T13:42:49.800000Z,2024-04-03T14:35:09.213000Z,2024-04-03T13:42:50.410690Z,469.0,C232A6J3,6203,54,Male,White,United States,United States,United States,English,No,Full-Time
660d5b0d3f2e5cde47204718,5ffe235ea848b74a3b3ccd07,APPROVED,Not Applicable,2024-04-03T13:35:14.065000Z,2024-04-03T13:44:25.615000Z,2024-04-03T14:35:10.404000Z,2024-04-03T13:44:26.384663Z,552.0,C232A6J3,5052,40,Male,White,United States,United States,United States,English,No,Full-Time
660d5b12eb03a78a69289d4b,5e0fa7e84d6bf16df6f5e1e0,APPROVED,Not Applicable,2024-04-03T13:36:22.440000Z,2024-04-03T13:42:48.813000Z,2024-04-03T14:35:10.829000Z,2024-04-03T13:42:49.491092Z,387.0,C232A6J3,304,42,Male,White,United States,United States,United States,English,No,Full-Time
660d5b25dc0214ebf91ebbe4,62fbeca46caf4abaaf74b5f1,APPROVED,Not Applicable,2024-04-03T13:35:38.048000Z,2024-04-03T13:40:09.016000Z,2024-04-03T14:35:11.409000Z,2024-04-03T13:40:09.839706Z,271.0,C232A6J3,3847,64,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660d5b4d0ad15f946f06f240,63cff43985317bac287a325f,APPROVED,Not Applicable,2024-04-03T13:36:48.222000Z,2024-04-03T13:39:38.059000Z,2024-04-03T14:35:11.841000Z,2024-04-03T13:39:38.939297Z,170.0,C232A6J3,3184,45,Male,White,United States,United States,United States,English,No,Full-Time
660d5b4eabb0d5ae4a5c8de9,5e46aa20caec81000b7d4f93,APPROVED,Not Applicable,2024-04-03T13:36:24.180000Z,2024-04-03T13:45:11.598000Z,2024-04-03T14:35:12.235000Z,2024-04-03T13:45:12.355782Z,528.0,C232A6J3,5234,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
660d5b5609c9763949ed4649,60cbabd69ddfb4d7243a1e38,APPROVED,Not Applicable,2024-04-03T13:36:26.494000Z,2024-04-03T13:41:08.615000Z,2024-04-03T14:35:12.634000Z,2024-04-03T13:41:09.277025Z,283.0,C232A6J3,5179,50,Male,White,United States,United States,United States,English,No,Full-Time
660d5b65bf01f87f3dd23bf6,5da88a6037d42100144928bd,APPROVED,Not Applicable,2024-04-03T13:36:41.785000Z,2024-04-03T13:44:54.499000Z,2024-04-03T14:35:13.037000Z,2024-04-03T13:44:55.390975Z,493.0,C232A6J3,6499,47,Male,White,United States,United States,United States,English,No,Full-Time
660d5b693f2e5cde47204744,5e349833001ff8468fda08c6,APPROVED,Not Applicable,2024-04-03T13:36:44.675000Z,2024-04-03T13:43:45.937000Z,2024-04-03T14:35:13.445000Z,2024-04-03T13:43:46.742997Z,422.0,C232A6J3,1931,33,Male,White,United States,United States,United States,English,No,Full-Time
660d5b75b4c87c8fb96e1937,6107720cff13015082b48f4a,APPROVED,Not Applicable,2024-04-03T13:36:58.707000Z,2024-04-03T13:44:14.688000Z,2024-04-03T14:35:13.913000Z,2024-04-03T13:44:15.530724Z,436.0,C232A6J3,3326,24,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
660d5b7d323685241d7234f1,5ac16e870527ba0001c1f27e,APPROVED,Not Applicable,2024-04-03T13:37:01.226000Z,2024-04-03T14:07:37.275000Z,2024-04-03T14:35:14.605000Z,2024-04-03T14:13:21.066144Z,1837.0,C232A6J3,4204,42,Male,Black,United States,United States,United States,English,No,Full-Time
660d5b8ea1d7568226adf72a,5ecc6ffce3ca77849333e83e,APPROVED,Not Applicable,2024-04-03T13:37:38.968000Z,2024-04-03T13:44:04.436000Z,2024-04-03T14:35:15.112000Z,2024-04-03T13:44:05.288309Z,386.0,C232A6J3,6579,45,Male,Asian,Australia,United States,United States,English,No,Full-Time
660d5b963f2e5cde4720475f,628f76b86068bc13224921ce,APPROVED,Not Applicable,2024-04-03T13:37:30.595000Z,2024-04-03T13:41:51.900000Z,2024-04-03T14:35:15.603000Z,2024-04-03T13:41:52.771484Z,262.0,C232A6J3,4621,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
660d5ba2b6c78ea878dda045,631659ad8e5354f16aef7249,APPROVED,Not Applicable,2024-04-03T13:38:03.127000Z,2024-04-03T13:42:43.345000Z,2024-04-03T14:35:16.200000Z,2024-04-03T13:42:44.102243Z,281.0,C232A6J3,4542,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
660d5ba37d89d312ff4ea951,63f779f8e3d660cb75774fe8,APPROVED,Not Applicable,2024-04-03T13:37:46.140000Z,2024-04-03T13:42:38.532000Z,2024-04-03T14:35:16.690000Z,2024-04-03T13:42:39.256230Z,293.0,C232A6J3,3237,42,Male,White,United States,United States,United States,English,No,Full-Time
660d5ba703b893a5e86bfd6f,63103bd06b5135122e25d6c6,APPROVED,Not Applicable,2024-04-03T13:40:38.991000Z,2024-04-03T14:01:09.812000Z,2024-04-03T14:35:17.116000Z,2024-04-03T14:01:33.318516Z,1231.0,C232A6J3,2821,59,Male,Asian,Bangladesh,United States,United States,English,No,DATA_EXPIRED
660d5baab6c78ea878dda047,63e537a4b33c1c72be91da82,APPROVED,Not Applicable,2024-04-03T13:38:00.183000Z,2024-04-03T13:46:29.104000Z,2024-04-03T14:35:17.544000Z,2024-04-03T13:46:29.895641Z,509.0,C232A6J3,3179,25,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660d5bab6682999fafea6b5f,62fe6312269d0e4ae894297b,APPROVED,Not Applicable,2024-04-03T13:37:49.853000Z,2024-04-03T13:40:47.338000Z,2024-04-03T14:35:17.977000Z,2024-04-03T13:40:48.020526Z,178.0,C232A6J3,2363,34,Male,White,United States,United States,United States,English,No,Full-Time
660d5bbf09c9763949ed4687,5fc3d41149c0c8728f07b95b,APPROVED,Not Applicable,2024-04-03T13:38:13.285000Z,2024-04-03T13:45:27.806000Z,2024-04-03T14:35:18.396000Z,2024-04-03T13:45:28.480820Z,435.0,C232A6J3,7557,32,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
660d5bc0b4cdf6908186e757,637d2fca18a9a474c1032ba2,APPROVED,Not Applicable,2024-04-03T13:38:08.454000Z,2024-04-03T14:02:53.860000Z,2024-04-03T14:35:18.812000Z,2024-04-03T14:05:18.605208Z,1486.0,C232A6J3,2771,50,Male,White,United States,United States,United States,English,Yes,Full-Time
660d5bc1b4c87c8fb96e1953,633c74ad6178784ed5b52104,APPROVED,Not Applicable,2024-04-03T13:38:09.826000Z,2024-04-03T13:42:31.687000Z,2024-04-03T14:35:19.236000Z,2024-04-03T13:42:32.580477Z,262.0,C232A6J3,4164,26,Male,Other,United States,United States,United States,English,DATA_EXPIRED,Full-Time
660d5bc2725d5c9e73694072,641ec1a9d9fe8a0941e39862,APPROVED,Not Applicable,2024-04-03T13:38:15.359000Z,2024-04-03T13:42:49.995000Z,2024-04-03T14:35:19.657000Z,2024-04-03T13:42:52.087594Z,275.0,C232A6J3,495,45,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
660d5bccc79779c264b18e67,6460a5c4be2b393475006c79,APPROVED,Not Applicable,2024-04-03T13:38:28.307000Z,2024-04-03T13:47:36.393000Z,2024-04-03T14:35:20.087000Z,2024-04-03T13:47:37.284006Z,549.0,C232A6J3,352,54,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
660d5bd6f67c6589625e1560,633f13e38809f1f9f5e4365c,APPROVED,Not Applicable,2024-04-03T13:38:35.294000Z,2024-04-03T13:43:58.737000Z,2024-04-03T14:35:20.548000Z,2024-04-03T13:43:59.564024Z,324.0,C232A6J3,827,35,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660d5bdec2fbb8d6f635257d,6085bb66296b0a411198d8fd,APPROVED,Not Applicable,2024-04-03T13:38:43.484000Z,2024-04-03T13:48:09.664000Z,2024-04-03T14:35:20.995000Z,2024-04-03T13:48:12.739577Z,567.0,C232A6J3,2923,37,Male,Black,United States,United States,United States,English,No,Full-Time
660d5be574408563c101556b,60cbe4524cab3b049343d0bd,APPROVED,Not Applicable,2024-04-03T13:38:49.500000Z,2024-04-03T13:44:16.497000Z,2024-04-03T14:35:21.448000Z,2024-04-03T13:44:17.306943Z,327.0,C232A6J3,2029,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
660d5bff2b624cb8e003bfc9,62a0294e78bac60d6f9c49df,APPROVED,Not Applicable,2024-04-03T13:39:20.967000Z,2024-04-03T13:43:16.106000Z,2024-04-03T14:35:21.888000Z,2024-04-03T13:43:16.929260Z,236.0,C232A6J3,1696,67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660d5c0bfab77ef973161bbd,65f48c6de41485ac8b284e83,APPROVED,Not Applicable,2024-04-03T13:39:28.114000Z,2024-04-03T13:45:12.931000Z,2024-04-03T14:35:22.362000Z,2024-04-03T13:45:14.072279Z,345.0,C232A6J3,141,34,Male,White,United States,United States,United States,English,No,Full-Time
660d5c0e612e462420ca7732,65f35b468e3eabcddb6e773f,APPROVED,Not Applicable,2024-04-03T13:39:31.763000Z,2024-04-03T13:45:09.357000Z,2024-04-03T14:35:22.798000Z,2024-04-03T13:45:10.126183Z,338.0,C232A6J3,148,32,Male,White,United States,United States,United States,English,No,Full-Time
