StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,antibiotics,continents,sex,lasers,orbit,diamonds,speed,salt,water,Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,Q1,education,comments,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific study. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 9 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","While watching the television, have you ever had a fatal heart attack?","Are electrons smaller, larger, or the same size as atoms?",Do you agree that electrons are smaller than atoms?,Do antibiotics kill viruses as well as bacteria?,"Do you agree that antibiotics kill bacteria, but not viruses?",Have the continents on Earth been moving for millions of years or have they always been where they are now?,Do you agree that the continents on Earth have been moving for millions of years due to plate tectonics?,"What decides whether a baby is a boy or a girl? Is it the father’s genes, the mother’s genes, or both?",Do you agree that it is the father's genes which are decisive on whether a baby is a boy or a girl?,Do lasers work by focusing sound waves?,"Do you agree that lasers work by focusing light, and not by focusing sound waves?","How long does it take for Earth to go around the sun: one day, one month, or one year?",Do you agree that it takes one year for Earth to go around the sun?,Are diamonds made of carbon?,Do you agree that diamonds are made of carbon?,Which travels faster: light or sound?,Do you agree that light travels faster than sound?,Is common table salt made of calcium carbonate?,"Do you agree that common table salt is not made of calcium carbonate, but is in fact made of sodium chloride?",Is water made of molecules containing one oxygen and two hydrogen atoms?,Do you agree that water is made of molecules containing one oxygen and two hydrogen atoms?,"Are electrons smaller, larger, or the same size as atoms?  Scientific consensus: Electrons are smaller than atoms.    Do you think you could explain why you answered differently?",Do antibiotics kill viruses as well as bacteria?  Scientific consensus: Antibiotics can kill only bacteria.    Do you think you could explain why you answered differently?,Have the continents on Earth been moving for millions of years or have they always been where they are now?  Scientific consensus: Continents have been moving for millions of year due to plate tectonic.    Do you think you could explain why you answered differently?,"What decides whether a baby is a boy or a girl ? Is it the father’s genes, the mother’s genes, or both?  Scientific consensus: It is the genes of the father which are decisive for the sex of a baby.    Do you think you could explain why you answered differently?",Do lasers work by focusing sound waves?  Scientific consensus: Lasers do not work by focusing sound waves.    Do you think you could explain why you answered differently?,"How long does it take for Earth to go around the sun: one day, one month, or one year ?  Scientific consensus: It takes one year for Earth to go around the sun.    Do you think you could explain why you answered differently?",Are diamonds made of carbon?  Scientific consensus: Diamonds are made of carbon.    Do you think you could explain why you answered differently?,Which travel faster: light or sound?  Scientific consensus: Light travels faster than sound.    Do you think you could explain why you answered differently?,"Is common table salt made of calcium carbonate?  Scientific consensus: Common table salt is not made a calcium carbonate, but of sodium chloride.    Do you think you could explain why you answered differently?",Is water made of molecules containing one oxygen and two hydrogen atoms?  Scientific consensus: Water is made of molecules containing one oxygen and two hydrogen atoms.    Do you think you could explain why you answered differently?,Now we are going to ask some questions about yourself.,"I think that... - ... many very important things happen in the world, which the public is never informed about.",I think that... - ... politicians usually do not tell us the true motives for their decisions.,I think that... - ... government agencies closely monitor all citizens.,I think that... - ... events which superficially seem to lack a connection are often the result of secret activities.,I think that... - ... there are secret organizations that greatly influence political decisions.,I think that the official version of the events given by the authorities  very often hides the truth.,"There has been much debate about various historical events, suggesting that the  ‘official version’ of the truth of those events is something of a cover-up. Below is a list of events  for which the official version has been disputed. For each event, we would like you to indicate to what extent you believe the cover-up version of events is true or false.",The Apollo moon landings never happened and were staged in a Hollywood film studio.,"A cure for cancer was discovered years ago, but this has been suppressed by the pharmaceutical industry and the U.S. Food and Drug Administration (FDA).","The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of vested interests.",The claim that the climate is changing due to emissions from fossil fuels is a hoax perpetrated by corrupt scientists who want to spend more taxpayer money on climate research.,The Earth is flat (not spherical) and this fact has been covered up by scientists and vested interests.,There is a causal link between vaccination and autism that has been covered up by the pharmaceutical industry.,In the 1950s and 1960s more than 100 million Americans received a polio vaccine contaminated with a potentially cancer-causing virus.,Proof of alien contact is being concealed from the public.,Hydroxychloroquine has been demonstrated to be a safe and effective treatment of COVID and this information is being suppressed.,"Dinosaurs never existed, evolution is not real, and scientists have been faking the fossil record.","How much do you trust scientists in this country? Do you trust them a lot, some, not much, or not at all?","In general, would you say that you trust science a lot, some, not much, or not at all?",How much confidence do you have in scientists to act in the best interests of the public?,"Before finishing, please provide the following information. Once you are done with this question, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,Do you have any comments or feedback about the survey?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID188""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID204""}","{""ImportId"":""QID206""}","{""ImportId"":""QID210""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID230""}","{""ImportId"":""QID245""}","{""ImportId"":""QID247""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID258_TEXT""}","{""ImportId"":""QID259_TEXT""}","{""ImportId"":""QID261_TEXT""}","{""ImportId"":""QID262_TEXT""}","{""ImportId"":""QID264_TEXT""}","{""ImportId"":""QID265_TEXT""}","{""ImportId"":""QID266_TEXT""}","{""ImportId"":""QID267_TEXT""}","{""ImportId"":""QID197""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID193_2""}","{""ImportId"":""QID193_3""}","{""ImportId"":""QID193_4""}","{""ImportId"":""QID193_5""}","{""ImportId"":""QID190""}","{""ImportId"":""QID235""}","{""ImportId"":""QID234""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2024-04-03 15:35:26,2024-04-03 15:39:15,IP Address,38.178.86.87,100,229,True,2024-04-03 15:39:16,R_1pSvcb8rjfvEADW,,,,,31.2127,-82.3503,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,100,70,40,50,100,Unsure 5,,Completely true 9,Completely true 9,Unsure 5,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely true 9,Completely true 9,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,,63faeccd22c0d2a8f1b9759e
2024-04-03 15:36:49,2024-04-03 15:39:33,IP Address,173.91.216.80,100,163,True,2024-04-03 15:39:34,R_27Jq9elV0Vdh7w2,,,,,41.161,-80.6855,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,50,50,60,10,20," 4",,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1," 3",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,,63cff43985317bac287a325f
2024-04-03 15:34:07,2024-04-03 15:39:38,IP Address,168.220.170.137,100,330,True,2024-04-03 15:39:38,R_72hEuE2svjvrnEa,,,,,34.6546,-80.3681,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,10,20,10,10,0," 2",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,,5deb638bff7f7126d6fb5142
2024-04-03 15:35:39,2024-04-03 15:40:06,IP Address,24.127.180.222,100,267,True,2024-04-03 15:40:07,R_2yMsK3U0wu1B09H,,,,,42.331,-83.3785,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,90,100,90,70,90," 8",," 2"," 2"," 2"," 7",Completely false 1," 2"," 2"," 2",Unsure 5,Completely false 1,Not much 2,Not much 2," 2",,2-year College Degree,,62fbeca46caf4abaaf74b5f1
2024-04-03 15:35:32,2024-04-03 15:40:34,IP Address,75.201.89.19,100,302,True,2024-04-03 15:40:35,R_2P6R4nMMbIxOBbs,,,,,28.1138,-82.3677,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,10,70,20,10,10," 2",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,,660c4f8a1991863eac63ddae
2024-04-03 15:37:51,2024-04-03 15:40:45,IP Address,107.4.76.53,100,174,True,2024-04-03 15:40:45,R_5hqihH4r4Kz12LL,,,,,43.053,-83.7473,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,10,20,10,0,0," 2",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,High School / GED,,62fe6312269d0e4ae894297b
2024-04-03 15:36:33,2024-04-03 15:41:06,IP Address,108.24.85.196,100,273,True,2024-04-03 15:41:07,R_1kG2LjzXceLsayg,,,,,39.8918,-74.8925,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,30,30,30,30,30," 4",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 2",Completely false 1,Unsure 5," 2",Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Some College,,60cbabd69ddfb4d7243a1e38
2024-04-03 15:38:41,2024-04-03 15:41:49,IP Address,216.15.95.5,100,188,True,2024-04-03 15:41:50,R_3w8GGFgtzWRRwhX,,,,,40.595,-75.5289,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,80,80,60,70,80," 7",," 2"," 2"," 6"," 2",Completely false 1,Completely false 1,Unsure 5,Completely true 9," 2",Completely false 1,Some 3,Some 3," 3",,Master's Degree,,628f76b86068bc13224921ce
