StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,antibiotics_accept,continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,electrons_confirm,antibiotics,antibiotics_confirm,continents,continents_confirm,sex,sex_confirm,lasers,lasers_confirm,orbit,orbit_confirm,diamonds,diamonds_confirm,speed,speed_confirm,salt,salt_confirm,water,water_confirm,Q1...60,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,BCTI_autism,BCTI_polio,BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,other_reason_agreement,reason_followup,Q1...84,education,comments,PROLIFIC_PID,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Covid-19 vaccination,Covid-19 vaccine opinions,Vaccine opinions 2,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,gender,duration_mins,id,BCTI_avg,CMQ_avg,avg_acceptance,avg_knowledge,avg_acceptance_initial
2024-04-22T15:52:55Z,2024-04-22T15:55:08Z,IP Address,71.47.10.110,100,132,True,2024-04-22 15:55:09,R_5BJO6i81ISU9utb,NA,NA,NA,NA,29.4843,-81.2042,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,65a14753f34c5e9ccce66538,66266bb10b05a1441862c95a,AWAITING REVIEW,Not Applicable,2024-04-22T13:52:53Z,2024-04-22T13:55:12Z,NA,2024-04-22T13:57:43Z,139,CR9UHRS6,600,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),32,Female,White,United States,United States,United States,English,No,Full-Time,female,2.216666666666667,1,NA,NA,1,0.8,1
2024-04-22T15:48:42Z,2024-04-22T15:55:22Z,IP Address,173.216.123.50,100,400,True,2024-04-22 15:55:23,R_2BfeTKmNcBYsBIH,NA,NA,NA,NA,35.2878,-93.1296,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,9,NA,9,9,9,1,5,7,5,9,9,5,3,3,3,NA,NA,NA,NA,Some College,Interesting,615bb35e52d50aa9a2ae6747,66266a63c3ef2d38baa36ed5,AWAITING REVIEW,Not Applicable,2024-04-22T13:48:39Z,2024-04-22T13:55:27Z,NA,2024-04-22T13:58:07Z,408,CR9UHRS6,5780,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),45,Female,White,United States,United States,United States,English,No,Part-Time,female,6.666666666666667,2,6.8,100,1,0.6,1
2024-04-22T15:52:45Z,2024-04-22T15:56:13Z,IP Address,50.247.192.157,100,207,True,2024-04-22 15:56:13,R_3NJQtxWCyWCuYJB,NA,NA,NA,NA,42.6283,-71.3311,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,90,50,60,70,7,NA,1,1,7,2,1,5,2,7,8,1,NA,NA,NA,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,60ff1981688229d1e3eb43e9,66266ba500108f1b04211173,AWAITING REVIEW,Not Applicable,2024-04-22T13:52:43Z,2024-04-22T13:56:16Z,NA,2024-04-22T13:58:57Z,214,CR9UHRS6,1658,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),59,Female,White,United States,United States,United States,English,No,Full-Time,female,3.466666666666667,3,3.5,70,1,0.7,1
2024-04-22T15:53:15Z,2024-04-22T15:56:42Z,IP Address,98.244.245.115,100,206,True,2024-04-22 15:56:42,R_5dIB2K4uTnel6q5,NA,NA,NA,NA,28.9274,-81.9819,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,70,100,100,8,NA,6,7,8,9,2,8,5,7,8,2,2,2,2,NA,NA,NA,NA,High School / GED,NA,5b6259be5256470001bd0c6d,66266bbb8974da28f5416188,AWAITING REVIEW,Not Applicable,2024-04-22T13:53:13Z,2024-04-22T13:56:43Z,NA,2024-04-22T13:59:13Z,210,CR9UHRS6,7273,No,Against (I feel negatively about the vaccines),2 (DISAGREE),37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),male,3.45,4,6.2,92,1,0.5,1
2024-04-22T15:52:53Z,2024-04-22T15:57:28Z,IP Address,108.6.144.116,100,274,True,2024-04-22 15:57:28,R_377faUp0R7ElU4e,NA,NA,NA,NA,40.7637,-73.7695,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,No,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,It is what I believed I was taught,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,70,90,80,90,8,NA,6,6,7,8,3,5,6,2,6,6,NA,NA,NA,independent verification,NA,By trying to remember,NA,3- or 4-year College Degree,it was interesting thanks so much,60ccbffae161aadb1880ad6c,66266bb3da9ae25bd3568cf1,AWAITING REVIEW,Not Applicable,2024-04-22T13:52:51Z,2024-04-22T13:57:32Z,NA,2024-04-22T14:00:06Z,282,CR9UHRS6,6372,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),35,Female,White,United States,United States,United States,English,No,Full-Time,female,4.583333333333333,5,5.5,82,0.9,0.8,0.9
2024-04-22T15:54:27Z,2024-04-22T15:57:57Z,IP Address,71.56.69.211,100,209,True,2024-04-22 15:57:57,R_7UKOr69FKB5FP1f,NA,NA,NA,NA,33.8983,-84.5893,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,trust in scientists,NA,NA,NA,Some College,NA,655fc066df406c5bd0a94a51,66266b95ead78fd8f8ac7f33,AWAITING REVIEW,Not Applicable,2024-04-22T13:54:26Z,2024-04-22T13:57:58Z,NA,2024-04-22T14:00:25Z,213,CR9UHRS6,1198,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),33,Female,Black,United States,United States,United States,English,No,Part-Time,female,3.5,6,NA,NA,1,0.7,1
2024-04-22T15:54:22Z,2024-04-22T15:59:26Z,IP Address,75.133.155.168,100,303,True,2024-04-22 15:59:26,R_126iLleCv8NMwr7,NA,NA,NA,NA,37.7759,-90.4071,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,9,NA,2,9,9,5,1,9,5,5,9,1,2,2,1,NA,NA,NA,NA,3- or 4-year College Degree,no,62897d2024f826ea90b7efa1,66266bc20b49207ba5398e3e,AWAITING REVIEW,Not Applicable,2024-04-22T13:53:47Z,2024-04-22T13:59:27Z,NA,2024-04-22T14:01:55Z,340,CR9UHRS6,4698,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),70,Female,White,United States,United States,United States,English,No,Part-Time,female,5.066666666666666,7,5.5,100,1,0.9,1
2024-04-22T15:55:41Z,2024-04-22T16:00:27Z,IP Address,174.195.115.175,100,286,True,2024-04-22 16:00:28,R_5JQH6bXJceZPXYl,NA,NA,NA,NA,32.2699,-110.9853,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,trust in scientists,NA,NA,NA,Master's Degree,NA,5685775f333cbd000c4e4c27,66266c4fda9ae25bd3568d15,AWAITING REVIEW,Not Applicable,2024-04-22T13:55:38Z,2024-04-22T14:00:33Z,NA,2024-04-22T14:03:01Z,296,CR9UHRS6,1697,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),62,Male,White,United States,United States,United States,English,No,Other,male,4.766666666666667,8,NA,NA,1,1,1
2024-04-22T15:54:51Z,2024-04-22T16:03:26Z,IP Address,173.59.1.112,100,515,True,2024-04-22 16:03:27,R_7qjxM46r15PvyiR,NA,NA,NA,NA,39.904,-75.5089,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,trust in scientists,NA,NA,NA,High School / GED,No.,5720a9f6fd3a5200113c1891,66266c1f20f66d77d6fd0e2f,AWAITING REVIEW,Not Applicable,2024-04-22T13:54:48Z,2024-04-22T14:03:29Z,NA,2024-04-22T14:05:49Z,521,CR9UHRS6,6296,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),52,Female,White,United States,United States,United States,English,No,Full-Time,female,8.583333333333334,9,NA,NA,1,0.6,1
2024-04-22T15:53:33Z,2024-04-22T16:03:33Z,IP Address,68.212.59.67,100,599,True,2024-04-22 16:03:33,R_3VQ4fKIj8WwjIPi,NA,NA,NA,NA,29.1036,-82.3558,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,80,50,90,100,9,NA,1,7,9,8,1,8,6,1,8,1,NA,NA,NA,independent verification,NA,Curiosity and the internet,NA,High School / GED,Thank you,5cba50bf114fa5001aac5570,66266bbc79ee5a51cd1cc73f,AWAITING REVIEW,Not Applicable,2024-04-22T13:53:27Z,2024-04-22T14:03:38Z,NA,2024-04-22T14:05:50Z,612,CR9UHRS6,1285,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",male,10,10,5,82,1,1,1
