StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,electrons_confirm,antibiotics,antibiotics_confirm,continents,continents_confirm,sex,sex_confirm,lasers,"lasers_confirm ",orbit,"orbit_confirm ",diamonds,"diamonds_confirm ",speed,"speed_confirm ",salt,"salt_confirm ",water,"water_confirm ",Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,reason_agreement_3_TEXT,"reason_followup ",Q1,education,comments,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific study. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 11 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","While watching the television, have you ever had a fatal heart attack?","Are electrons smaller, larger, or the same size as atoms?",Do you agree that electrons are smaller than atoms?,Do antibiotics kill viruses as well as bacteria?,"Do you agree that antibiotics kill bacteria, but not viruses?",Have the continents on Earth been moving for millions of years or have they always been where they are now?,Do you agree that the continents on Earth have been moving for millions of years due to plate tectonics?,"What decides whether a baby is a boy or a girl? Is it the father’s genes, the mother’s genes, or both?",Do you agree that it is the father's genes which are decisive on whether a baby is a boy or a girl?,Do lasers work by focusing sound waves?,"Do you agree that lasers work by focusing light, and not by focusing sound waves?","How long does it take for Earth to go around the sun: one day, one month, or one year?",Do you agree that it takes one year for Earth to go around the sun?,Are diamonds made of carbon?,Do you agree that diamonds are made of carbon?,Which travels faster: light or sound?,Do you agree that light travels faster than sound?,Is common table salt made of calcium carbonate?,"Do you agree that common table salt is not made of calcium carbonate, but is in fact made of sodium chloride?",Is water made of molecules containing one oxygen and two hydrogen atoms?,Do you agree that water is made of molecules containing one oxygen and two hydrogen atoms?,"Are electrons smaller, larger, or the same size as atoms?  Scientific consensus: Electrons are smaller than atoms.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:",Do antibiotics kill viruses as well as bacteria?  Scientific consensus: Antibiotics can kill only bacteria.    Do you think you could explain why you answered differently?,"If you want to, you can now change your previous answer:",Have the continents on Earth been moving for millions of years or have they always been where they are now?  Scientific consensus: Continents have been moving for millions of year due to plate tectonic.    Do you think you could explain why you answered differently?,"If you want to, you can now change your previous answer:","What decides whether a baby is a boy or a girl ? Is it the father’s genes, the mother’s genes, or both?  Scientific consensus: It is the genes of the father which are decisive for the sex of a baby.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","Do lasers work by focusing sound waves?  Scientific consensus: Lasers do not work by focusing sound waves, but light    Do you think you could explain why you answered differently?","If you want, you can now change your previous answer:","How long does it take for Earth to go around the sun: one day, one month, or one year ?  Scientific consensus: It takes one year for Earth to go around the sun.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:",Are diamonds made of carbon?  Scientific consensus: Diamonds are made of carbon.    Do you think you could explain why you answered differently?,"If you want to, you can now change your previous answer:",Which travel faster: light or sound?  Scientific consensus: Light travels faster than sound.    Do you think you could explain why you answered differently?,"If you want to, you can now change your previous answer:","Is common table salt made of calcium carbonate?  Scientific consensus: Common table salt is not made of calcium carbonate, but of sodium chloride.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:",Is water made of molecules containing one oxygen and two hydrogen atoms?  Scientific consensus: Water is made of molecules containing one oxygen and two hydrogen atoms.    Do you think you could explain why you answered differently?,"If you want to, you can now change your previous answer:",Now we are going to ask some questions about yourself.,"I think that... - ... many very important things happen in the world, which the public is never informed about.",I think that... - ... politicians usually do not tell us the true motives for their decisions.,I think that... - ... government agencies closely monitor all citizens.,I think that... - ... events which superficially seem to lack a connection are often the result of secret activities.,I think that... - ... there are secret organizations that greatly influence political decisions.,I think that the official version of the events given by the authorities  very often hides the truth.,"There has been much debate about various historical events, suggesting that the  ‘official version’ of the truth of those events is something of a cover-up. Below is a list of events  for which the official version has been disputed. For each event, we would like you to indicate to what extent you believe the cover-up version of events is true or false.",The Apollo moon landings never happened and were staged in a Hollywood film studio.,"A cure for cancer was discovered years ago, but this has been suppressed by the pharmaceutical industry and the U.S. Food and Drug Administration (FDA).","The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of vested interests.",The claim that the climate is changing due to emissions from fossil fuels is a hoax perpetrated by corrupt scientists who want to spend more taxpayer money on climate research.,The Earth is flat (not spherical) and this fact has been covered up by scientists and vested interests.,There is a causal link between vaccination and autism that has been covered up by the pharmaceutical industry.,In the 1950s and 1960s more than 100 million Americans received a polio vaccine contaminated with a potentially cancer-causing virus.,Proof of alien contact is being concealed from the public.,Hydroxychloroquine has been demonstrated to be a safe and effective treatment of COVID and this information is being suppressed.,"Dinosaurs never existed, evolution is not real, and scientists have been faking the fossil record.","How much do you trust scientists in this country? Do you trust them a lot, some, not much, or not at all?","In general, would you say that you trust science a lot, some, not much, or not at all?",How much confidence do you have in scientists to act in the best interests of the public?,"For the questions in which you agreed with the scientific consensus, would you say that: - Selected Choice","For the questions in which you agreed with the scientific consensus, would you say that: - Other: - Text",Could you please tell us how you independently verified the information?,"Before finishing, please provide the following information. Once you are done with this question, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,Do you have any comments or feedback about the survey?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID188""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID204""}","{""ImportId"":""QID206""}","{""ImportId"":""QID210""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID230""}","{""ImportId"":""QID245""}","{""ImportId"":""QID247""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID271""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID272""}","{""ImportId"":""QID258_TEXT""}","{""ImportId"":""QID273""}","{""ImportId"":""QID259_TEXT""}","{""ImportId"":""QID274""}","{""ImportId"":""QID261_TEXT""}","{""ImportId"":""QID275""}","{""ImportId"":""QID262_TEXT""}","{""ImportId"":""QID276""}","{""ImportId"":""QID264_TEXT""}","{""ImportId"":""QID277""}","{""ImportId"":""QID265_TEXT""}","{""ImportId"":""QID278""}","{""ImportId"":""QID266_TEXT""}","{""ImportId"":""QID279""}","{""ImportId"":""QID267_TEXT""}","{""ImportId"":""QID280""}","{""ImportId"":""QID197""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID193_2""}","{""ImportId"":""QID193_3""}","{""ImportId"":""QID193_4""}","{""ImportId"":""QID193_5""}","{""ImportId"":""QID190""}","{""ImportId"":""QID235""}","{""ImportId"":""QID234""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID287""}","{""ImportId"":""QID287_3_TEXT""}","{""ImportId"":""QID290_TEXT""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2024-04-22 15:52:55,2024-04-22 15:55:08,0,71.47.10.110,100,132,1,2024-04-22 15:55:09,R_5BJO6i81ISU9utb,,,,,29.4843,-81.2042,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,7,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,1,,,,5,,65a14753f34c5e9ccce66538
2024-04-22 15:48:42,2024-04-22 15:55:22,0,173.216.123.50,100,400,1,2024-04-22 15:55:23,R_2BfeTKmNcBYsBIH,,,,,35.2878,-93.1296,anonymous,EN,1,1,6,1,8,1,1,1,9,1,1,1,1,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,9,9,9,1,5,7,5,9,9,5,3,3,3,,,,,3,"Interesting ",615bb35e52d50aa9a2ae6747
2024-04-22 15:52:45,2024-04-22 15:56:13,0,50.247.192.157,100,207,1,2024-04-22 15:56:13,R_3NJQtxWCyWCuYJB,,,,,42.6283,-71.3311,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,80,90,50,60,70,7,,1,1,7,2,1,5,2,7,8,1,,,,1,,,,5,,60ff1981688229d1e3eb43e9
2024-04-22 15:53:15,2024-04-22 15:56:42,0,98.244.245.115,100,206,1,2024-04-22 15:56:42,R_5dIB2K4uTnel6q5,,,,,28.9274,-81.9819,anonymous,EN,1,1,6,1,1,1,1,1,9,1,7,1,10,1,7,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,100,90,70,100,100,8,,6,7,8,9,2,8,5,7,8,2,2,2,2,,,,,2,,5b6259be5256470001bd0c6d
2024-04-22 15:52:53,2024-04-22 15:57:28,0,108.6.144.116,100,274,1,2024-04-22 15:57:28,R_377faUp0R7ElU4e,,,,,40.7637,-73.7695,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,2,10,1,1,1,1,1,11,1,1,1,,,,,,,,,It is what I believed I was taught,5,,,,,,,,,,,,80,70,90,80,90,8,,6,6,7,8,3,5,6,2,6,6,,,,2,,By trying to remember,,5,it was interesting thanks so much,60ccbffae161aadb1880ad6c
2024-04-22 15:54:27,2024-04-22 15:57:57,0,71.56.69.211,100,209,1,2024-04-22 15:57:57,R_7UKOr69FKB5FP1f,,,,,33.8983,-84.5893,anonymous,EN,1,1,1,1,1,1,1,1,9,1,1,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,1,,,,3,,655fc066df406c5bd0a94a51
2024-04-22 15:54:22,2024-04-22 15:59:26,0,75.133.155.168,100,303,1,2024-04-22 15:59:26,R_126iLleCv8NMwr7,,,,,37.7759,-90.4071,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,2,9,9,5,1,9,5,5,9,1,2,2,1,,,,,5,no,62897d2024f826ea90b7efa1
2024-04-22 15:55:41,2024-04-22 16:00:27,0,174.195.115.175,100,286,1,2024-04-22 16:00:28,R_5JQH6bXJceZPXYl,,,,,32.2699,-110.9853,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,1,,,,6,,5685775f333cbd000c4e4c27
