id,question,answer
5,planet,I thought it was fake
6,magnetic,I dont believe the earth has been here 3.7 billion years
10,orbit,I honestly do not know anything about this stuff so i took a guess
10,cloning,I took a guess
12,material,seemed like too long of a time
14,cloning,I didn't think that many mice are actually cloned.
16,orbit,I don't believe the Earth orbits the Sun.
16,material,Nothing but their hypotheses without real evidence.
16,magnetic,I'm not convinced the Earth existed 3.7 billion years ago.
23,vertebrate,"I don't believe in this kind of carbon dating. We can only slightly estimate the age, therefore I highly doubt the exact number of 392 years is accurate."
23,material,"Earth is not billions of years old. At most, maybe 10,000 years. There is absolutely no way anything on Earth is billions of years old."
23,magnetic,"There was no magnetic field 3.7 billion years ago because the Earth was formed only around 6,000-10,000 years ago."
24,cloning,I think it's less than that percentage
26,vertebrate,"no, just a guess"
26,brain,I have no idea.
26,material,No Idea
28,material,I really could not explain this
28,cloning,"No, I could not explain this either"
29,orbit,Not enough science to prove.
29,material,How can anyone put an  that age on something? Humans were not around the track.
29,cloning,Do not believe that anything can be cloned 100%
32,drug,Science is not always accurate.
32,planet,N/A
32,vertebrate,That doesn't seem accurate.
32,brain,No.
32,boson,No.
32,orbit,No.
32,material,No.
32,cloning,No.
32,magnetic,No.
35,vertebrate,"No, because I just guessed."
35,orbit,"No, I just guessed."
35,material,No
41,planet,i guessed
41,vertebrate,i guessed
41,boson,i guessed
41,magnetic,i guessed
42,brain,There was a difference between what wiki said and the other article.
43,vertebrate,I did not see anything to support this answer.
43,brain,I did not feel like this was the correct answer.
43,material,"Based on the article, I did not see this stated."
43,cloning,There was nothing stated to prove this.
44,vertebrate,I don’t see how it is possible to know the oldest vertebrate when there are so many species out there undiscovered
44,brain,I don’t think I can explain it differently because I’m not an expert in science
44,orbit,"I am unsure if I can explain it differently, but how would we know if it never happened?"
44,cloning,"Again, this is a very detailed scientific question. I feel it so I will have to have extensive knowledge to answer this or I would have to have done an experiment on my own to to know this."
45,drug,I am sure I heard it was used for malaria.
45,cloning,I am not sure cloning is a definite technique.
49,material,Religious reasons.
49,magnetic,Religious reasons.
54,vertebrate,did not know the answer
54,brain,did not know the answer
58,cloning,The success rate just seems too high.
59,vertebrate,"The websites I read, seemed to have disagreed, unless I may have misread what I was fact checking."
60,vertebrate,No.
60,orbit,No.
63,planet,"I don't know, but in my opinion when you are talking distance from star that is unknowable."
63,vertebrate,I was guessing.  But knowing age via carbon dating is just guessing as well
63,brain,I was guessing.  Same answer as others.
63,boson,I was guessing.  But same answer.  They pretend to know things that are unknowable.
63,orbit,I was guessing.  Same answer as others.  Unknowable
63,material,I was guessing.  This again is something unknowable.
63,speed,I was guessing.  This is unknowable.
63,magnetic,I was guessing.  This is unknowable.
65,vertebrate,I couldn’t locate the proof
65,speed,The proof wasn’t clear to me
65,cloning,Didn’t see the info to back this up
67,material,"Just a guess, I didn't think it made sense."
67,speed,"Figured it was the speed of light, turns out I was close."
68,orbit,I'm not really able to give an explanation
68,speed,not really
68,cloning,Not really
69,orbit,It didn't make sense to me at the time.
69,cloning,I thought it was easier to clone mice
70,orbit,these were hypothesis on the ones i got wrong.
70,speed,"it was a hypothesis, i had no idea"
70,magnetic,it was a hypothesis i had no clue
72,drug,I do not believe in this consensus since it usually is fabricated
72,vertebrate,This is usually fabricated
72,brain,This is normally a fabricated fact
72,boson,This is probably fabricated
72,orbit,I do not agree with nearly scientific fact since it is made up
72,material,This is probably made up
72,speed,I do think this consensus is faked
72,magnetic,these are all made up terms
74,vertebrate,Because there was not evidence that I understood to support this theory.
74,brain,Because the research that was provided does not fully support this theory.
74,boson,Because the research that I read did not support our object this statement.
74,orbit,The research that was credited does not give a direct amount of time just a formula to get the answer.
74,material,I disagree with this statement because the research that was given says 4.6 GA years old not more than.
74,speed,I disagree because there are not enough facts to support this claim.
75,orbit,"Looking at the website given, I could not find the exact time of how long the Earth would keep orbiting, so I didn't agree."
75,speed,I could not find the answer to that in the given websites
75,cloning,I could not find data that supported that percentage.
78,material,"No, Just a thought."
78,cloning,Just a random thought
79,orbit,N/A
80,vertebrate,"I actually meant to press agree after reading the wikipedia , it had mentioned how the oldest 'recorded' vertebrate was 392 years old"
81,drug,"Malaria sounds more like the answer to this question, since it was developed more recently."
81,brain,This question I have no idea. But I would be willing to answer differently if needed.
81,orbit,The Earth would still keep its orbit if the sun disappeared. I believe it would still take 365 days to do one full orbit on its axis.
83,material,The Bible says the Earth is 6000 years old
84,material,"From a biblical perspective, this is not the case. Other than that, no."
87,vertebrate,"No, I was just guessing."
87,speed,No. I was just guessing.
88,planet,God hasn't created stars that are millions of miles away from Earth or each other.
88,orbit,God created the Earth as flat and stationary!
88,material,"God created the Earth 6,000 years ago."
88,magnetic,"God created the Earth 6,000 years ago."
92,cloning,I feel that they've been cloning people with pretty great success for some time now.
92,magnetic,"Because I don't agree that the earth is billions years old, since I'm a Christian."
93,material,There is no way for man to know if it was actually formed on earth or if it was formed somewhere else and then ended up on earth.
94,boson,I agree
94,cloning,"The articles I read were quite vague but all stated the success of cloning mice has been incredibly low, which made me disagree with the consensus"
96,orbit,I felt if the Sun disappeared than the Earth orbiting would be fast than 8 minutes.
96,speed,I would like to change my answer to agree.
96,cloning,I would like to change my answer to agree.
97,material,How do they know how old anything is?.  Everything we have been told by the powers that be for our whole lives has been a lie.  It is hard to believe anything anymore.
98,speed,I was not able to find that information in the reference material.
98,cloning,"I was not able to find that answer in the reference material. And I guess I have a deep distrust of scientists, as well. Even if I read something that a scientist said on Wikipedia or Google I would not believe it. Remember it was the scientists who said safe and effective. And the Nazis have been cloning people since the 30s, so why believe anything they say about cloning mice."
104,vertebrate,It was just a guess.
104,brain,It was just a guess.
104,boson,It was just a guess.
