Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Covid-19 vaccine opinions,Covid-19 vaccination,Vaccine opinions 2,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66bb6d5672ae5d33fffbd987,663e3d9940afc32fd96653a0,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49.080000Z,2024-08-13T14:33:23.006000Z,,2024-08-13T14:33:23.721524Z,334.0,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e07ea1bc0403b8d5401,5a6b53f3e70ca900017ab75a,AWAITING REVIEW,Not Applicable,2024-08-13T14:30:43.023000Z,2024-08-13T14:37:35.116000Z,,2024-08-13T14:37:45.674223Z,413.0,C3MDUOHD,3179,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),77,Female,White,United States,United States,United States,English,No,Part-Time
66bb6e0b84473a7acb37d9db,66952d5507cd937cf7c2a35d,AWAITING REVIEW,Not Applicable,2024-08-13T14:30:42.010000Z,2024-08-13T14:38:05.770000Z,,2024-08-13T14:38:25.683335Z,444.0,C3MDUOHD,181,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),33,Female,White,United States,United States,United States,English,No,Full-Time
66bb6e16e2fb21e3df235251,662a85fec593cd490a33183c,AWAITING REVIEW,Not Applicable,2024-08-13T14:30:55.967000Z,2024-08-13T14:46:56.291000Z,,2024-08-13T14:47:35.553653Z,961.0,C3MDUOHD,240,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),50,Female,White,United States,United States,United States,English,No,Part-Time
66bb6e1cb71b81b9b931aeeb,669c2e0b5c9a0ab8c37687db,AWAITING REVIEW,Not Applicable,2024-08-13T14:34:42.855000Z,2024-08-13T14:44:40.597000Z,,2024-08-13T14:44:55.979857Z,598.0,C3MDUOHD,148,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),44,Female,White,United States,United States,United States,English,No,Part-Time
66bb6e1e613d7da5d497cfa2,5af1c4dfaec2b600010a96c9,AWAITING REVIEW,Not Applicable,2024-08-13T14:31:50.614000Z,2024-08-13T14:37:54.033000Z,,2024-08-13T14:38:12.051120Z,364.0,C3MDUOHD,1117,Against (I feel negatively about the vaccines),No,2 (DISAGREE),55,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e2c39e58dc9b813a832,668d6f6d41089bfc00f56818,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:59.142000Z,2024-08-13T15:02:16.491000Z,,2024-08-13T15:03:24.855165Z,1698.0,C3MDUOHD,162,Against (I feel negatively about the vaccines),No,2 (DISAGREE),61,Female,Mixed,United States,United States,United States,English,No,Part-Time
66bb6e2ee0a85c776c97d050,6571d0350d34775921b333c5,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:55.914000Z,2024-08-13T14:40:30.429000Z,,2024-08-13T14:40:40.865573Z,395.0,C3MDUOHD,819,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),37,Male,White,United States,United States,United States,English,Yes,Full-Time
66bb6e3427c62d0960db376f,66293c6cb9c4e60d5a2f1c31,AWAITING REVIEW,Not Applicable,2024-08-13T14:31:31.580000Z,2024-08-13T14:39:55.445000Z,,2024-08-13T14:40:16.591569Z,504.0,C3MDUOHD,131,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),41,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e36c59377cba888a008,66b7bb03c65cf1a0421ea91d,AWAITING REVIEW,Not Applicable,2024-08-13T14:31:27.612000Z,2024-08-13T14:36:47.364000Z,,2024-08-13T14:36:51.126758Z,320.0,C3MDUOHD,13,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),41,Female,White,United States,United States,United States,English,Yes,Part-Time
66bb6e3f18828ae09dbd12a9,6685cec5c360283099e5bb29,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:31.652000Z,2024-08-13T14:46:45.074000Z,,2024-08-13T14:47:30.829699Z,854.0,C3MDUOHD,320,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e45d00e90c6be5df301,6680452004dea60c1f984bba,AWAITING REVIEW,Not Applicable,2024-08-13T14:35:47.904000Z,2024-08-13T14:42:07.281000Z,,2024-08-13T14:42:08.035062Z,380.0,C3MDUOHD,300,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),37,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e5c26dfa5543fd7ef77,65fb35ee38c24ea27c017846,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:23.625000Z,2024-08-13T14:44:33.459000Z,,2024-08-13T14:44:46.754730Z,730.0,C3MDUOHD,229,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),43,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e61a52bbdb4f2698bde,66a53f0e7f48598d440de084,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:12.351000Z,2024-08-13T14:53:53.397000Z,,2024-08-13T14:53:54.235510Z,1302.0,C3MDUOHD,102,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),47,Female,Black,United States,United States,United States,English,No,Full-Time
66bb6e6d00f9d910cb791f86,6695c0f382fd54349473da11,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:20.146000Z,2024-08-13T14:37:37.364000Z,,2024-08-13T14:37:49.202056Z,318.0,C3MDUOHD,175,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),29,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e6e513127a47fcb996e,666c88b9d74e89acb4f92aaf,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:53.850000Z,2024-08-13T14:44:28.094000Z,,2024-08-13T14:44:34.392355Z,695.0,C3MDUOHD,274,Against (I feel negatively about the vaccines),No,2 (DISAGREE),40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e7450854c677b992b62,6676d86f1af102d5b24e6f96,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:27.558000Z,2024-08-13T14:41:26.387000Z,,2024-08-13T14:41:29.231725Z,539.0,C3MDUOHD,212,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),33,Female,Black,United States,United States,United States,English,No,Other
66bb6e7593930719a17341ff,62989b11e61bf4363844f0cd,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:42.750000Z,2024-08-13T14:38:27.061000Z,,2024-08-13T14:38:47.305834Z,345.0,C3MDUOHD,939,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),37,Male,White,United States,United States,United States,English,No,Full-Time
66bb6e77b3c5f398f78d7436,669d846e8811774c22aedf92,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:43.230000Z,2024-08-13T14:41:10.029000Z,,2024-08-13T14:41:10.956879Z,507.0,C3MDUOHD,85,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),36,Female,White,Philippines,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e88238d653b6bd105a2,667ac0c9f5f745894f2e4b17,AWAITING REVIEW,Not Applicable,2024-08-13T14:32:46.433000Z,2024-08-13T14:38:28.382000Z,,2024-08-13T14:38:48.571739Z,342.0,C3MDUOHD,260,Against (I feel negatively about the vaccines),No,2 (DISAGREE),33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6e9f4fac0d0697427057,66546836a834424c51b369f7,AWAITING REVIEW,Not Applicable,2024-08-13T14:38:12.360000Z,2024-08-13T14:50:28.031000Z,,2024-08-13T14:50:29.363587Z,736.0,C3MDUOHD,272,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6ea09c2aecece338f267,5c6d7db58f6257000148f61d,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:19.111000Z,2024-08-13T14:36:56.015000Z,,2024-08-13T14:37:00.985406Z,217.0,C3MDUOHD,4065,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),33,Male,White,United States,United States,United States,English,No,Part-Time
66bb6ea415bb5f86cf9c22d4,66318db56f06d4f02a3f22cd,AWAITING REVIEW,Not Applicable,2024-08-13T14:35:21.353000Z,2024-08-13T14:41:45.756000Z,,2024-08-13T14:41:46.374488Z,385.0,C3MDUOHD,490,Against (I feel negatively about the vaccines),No,2 (DISAGREE),38,Female,Black,United States,United States,United States,English,No,Full-Time
66bb6ea9513127a47fcb9983,668eb8b9fe895616056adf08,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:28.634000Z,2024-08-13T15:00:45.022000Z,,2024-08-13T15:02:47.820974Z,1637.0,C3MDUOHD,152,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),26,Female,Black,United States,United States,United States,English,No,Part-Time
66bb6eab8763a19d40c5247d,662d7fba32d6a738b194d893,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:51.067000Z,2024-08-13T14:42:19.328000Z,,2024-08-13T14:42:20.119139Z,509.0,C3MDUOHD,436,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),28,Male,White,United States,United States,United States,English,Yes,Full-Time
66bb6ec52e7a21070159c432,65cd75c66bdcab83d5bd2a58,AWAITING REVIEW,Not Applicable,2024-08-13T14:36:51.536000Z,2024-08-13T14:47:11.502000Z,,2024-08-13T14:47:41.972023Z,620.0,C3MDUOHD,105,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),31,Female,Black,United States,United States,United States,English,No,Full-Time
66bb6ec9f09952b95c1614bf,665dbf6187c7a6928c4ea604,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:55.766000Z,2024-08-13T14:40:35.249000Z,,2024-08-13T14:40:42.422896Z,400.0,C3MDUOHD,318,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),66,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6ecadc944778d885fa44,5bbb88c3a748360001944760,AWAITING REVIEW,Not Applicable,2024-08-13T14:33:50.806000Z,2024-08-13T14:45:18.776000Z,,2024-08-13T14:45:39.811536Z,688.0,C3MDUOHD,4202,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),42,Female,Mixed,United States,United States,United States,English,No,Full-Time
66bb6eda1ac337d51fe0f782,5ccb779b2c4e1f00159333ea,AWAITING REVIEW,Not Applicable,2024-08-13T14:34:07.633000Z,2024-08-13T14:41:55.960000Z,,2024-08-13T14:41:56.858564Z,469.0,C3MDUOHD,7702,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),56,Male,White,United States,United States,United States,English,No,Other
66bb6ee49cb52b39b9982386,5a42c80ddaea400001ac24e0,AWAITING REVIEW,Not Applicable,2024-08-13T14:41:31.837000Z,2024-08-13T14:55:23.207000Z,,2024-08-13T14:55:23.894933Z,832.0,C3MDUOHD,105,Against (I feel negatively about the vaccines),No,2 (DISAGREE),47,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6efb290196956dd42e3b,64ee18fad7ff63875d973306,AWAITING REVIEW,Not Applicable,2024-08-13T14:34:40.822000Z,2024-08-13T14:42:22.910000Z,,2024-08-13T14:44:11.791117Z,463.0,C3MDUOHD,1466,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),35,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
66bb6f1935bdb98e2f6e8653,66a29b577df5bdc73ff9bf94,AWAITING REVIEW,Not Applicable,2024-08-13T14:35:14.446000Z,2024-08-13T14:50:07.200000Z,,2024-08-13T14:50:07.827067Z,893.0,C3MDUOHD,71,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),49,Female,White,United States,United States,United States,English,No,Full-Time
66bb6f19a0fd09908c98238c,66299adc39f876e996234d43,AWAITING REVIEW,Not Applicable,2024-08-13T14:35:16.045000Z,2024-08-13T14:55:18.948000Z,,2024-08-13T14:55:19.537483Z,1203.0,C3MDUOHD,80,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6f5958298746dc1dd5db,65dcdd8a214a774c36a0714b,AWAITING REVIEW,Not Applicable,2024-08-13T14:36:16.520000Z,2024-08-13T14:49:29.567000Z,,2024-08-13T14:49:30.402342Z,794.0,C3MDUOHD,508,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),51,Female,White,United States,United States,United States,English,No,Part-Time
66bb6f70aa44c314371941cf,66523a9615c430c59b94a44c,AWAITING REVIEW,Not Applicable,2024-08-13T14:36:45.965000Z,2024-08-13T14:59:12.240000Z,,2024-08-13T14:59:28.687209Z,1347.0,C3MDUOHD,137,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66bb6f7121647ae53c11945a,5f0c7ea47cf1495f4587f741,AWAITING REVIEW,Not Applicable,2024-08-13T14:36:40.791000Z,2024-08-13T14:42:23.604000Z,,2024-08-13T14:42:24.459682Z,343.0,C3MDUOHD,7895,Against (I feel negatively about the vaccines),No,2 (DISAGREE),48,Female,White,United States,United States,United States,English,No,Full-Time
66bb6f73cf254380dff67bc5,65f362ffea415d878f1f4f1d,AWAITING REVIEW,Not Applicable,2024-08-13T14:36:51.817000Z,2024-08-13T14:48:09.873000Z,,2024-08-13T14:48:10.575046Z,679.0,C3MDUOHD,437,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),57,Female,Mixed,United States,United States,United States,English,No,Full-Time
66bb6fbc958c2904a115a14c,6697d8830251e6415be67276,AWAITING REVIEW,Not Applicable,2024-08-13T14:37:56.200000Z,2024-08-13T14:42:53.090000Z,,2024-08-13T14:42:53.623305Z,297.0,C3MDUOHD,102,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),35,Female,White,United States,United States,United States,English,No,Part-Time
66bb6fc89cc4f009f9370880,66abb285cd1336abed1805f3,AWAITING REVIEW,Not Applicable,2024-08-13T14:38:52.429000Z,2024-08-13T14:43:09.327000Z,,2024-08-13T14:43:10.420713Z,257.0,C3MDUOHD,104,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),32,Male,White,United States,United States,United States,English,No,Full-Time
66bb6ff04b647272fd451296,65ff8f036cb80214304dcec5,AWAITING REVIEW,Not Applicable,2024-08-13T14:38:46.465000Z,2024-08-13T14:45:49.927000Z,,2024-08-13T14:46:14.593305Z,424.0,C3MDUOHD,678,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),58,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66bb6ffc0f108c906f20343d,66af83975ef17db21c7cb98a,AWAITING REVIEW,Not Applicable,2024-08-13T14:38:58.668000Z,2024-08-13T14:44:38.992000Z,,2024-08-13T14:44:55.044765Z,341.0,C3MDUOHD,37,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),70,Female,White,United States,United States,United States,English,No,Part-Time
66bb70046cd9c8d8619a68f4,65f780dfe4aa3357ba290914,AWAITING REVIEW,Not Applicable,2024-08-13T14:40:08.574000Z,2024-08-13T15:27:27.067000Z,,2024-08-13T15:27:47.232472Z,2839.0,C3MDUOHD,289,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),47,Female,Black,United States,United States,United States,English,No,Other
66bb7011504ed296cb137e12,60134392222eb41e037c9fde,AWAITING REVIEW,Not Applicable,2024-08-13T14:39:59.894000Z,2024-08-13T15:03:19.683000Z,,2024-08-13T15:03:59.104795Z,1400.0,C3MDUOHD,143,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),32,Male,Other,United States,United States,United States,English,No,Full-Time
66bb7024bc48669619791ff4,66311dba5aa1ab2311dbe237,AWAITING REVIEW,Not Applicable,2024-08-13T14:39:59.128000Z,2024-08-13T14:54:01.013000Z,,2024-08-13T14:54:01.671568Z,842.0,C3MDUOHD,567,Against (I feel negatively about the vaccines),No,2 (DISAGREE),55,Female,White,United States,United States,United States,English,No,Full-Time
66bb70523f50c749da9a690f,5de831cad4995d000c5fb540,AWAITING REVIEW,Not Applicable,2024-08-13T14:40:55.134000Z,2024-08-13T14:48:15.672000Z,,2024-08-13T14:48:16.984780Z,441.0,C3MDUOHD,6853,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),63,Male,White,United States,United States,United States,Lithuanian,No,Full-Time
66bb705b112783951c1dd619,6665b26a49d9b1071a67babe,AWAITING REVIEW,Not Applicable,2024-08-13T14:44:22.195000Z,2024-08-13T14:52:47.574000Z,,2024-08-13T14:52:48.848612Z,506.0,C3MDUOHD,383,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),39,Female,White,United States,United States,United States,English,No,Full-Time
66bb705eddb5b1e9cfacf9f1,66243beaf0099d1649a7a137,AWAITING REVIEW,Not Applicable,2024-08-13T14:40:38.646000Z,2024-08-13T14:49:20.311000Z,,2024-08-13T14:49:21.027864Z,522.0,C3MDUOHD,152,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),35,Male,White,United States,United States,United States,English,No,Other
66bb70615c9fa35bf99b10e6,6630ec582c82d478b7652f03,AWAITING REVIEW,Not Applicable,2024-08-13T14:41:31.669000Z,2024-08-13T14:59:59.167000Z,,2024-08-13T15:02:14.138639Z,1108.0,C3MDUOHD,154,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),43,Male,Black,United States,United States,United States,English,No,Full-Time
66bb7070b20f262778f5b378,60ccbffae161aadb1880ad6c,AWAITING REVIEW,Not Applicable,2024-08-13T14:40:57.504000Z,2024-08-13T14:58:11.365000Z,,2024-08-13T14:58:14.102308Z,1034.0,C3MDUOHD,7091,Against (I feel negatively about the vaccines),No,3(SOMEWHAT DISAGREE),35,Female,White,United States,United States,United States,English,No,Full-Time
66bb707d238d653b6bd10610,65a7027c88eae2b9a68ae596,AWAITING REVIEW,Not Applicable,2024-08-13T14:42:14.117000Z,2024-08-13T14:52:24.218000Z,,2024-08-13T14:52:24.785887Z,611.0,C3MDUOHD,2684,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),51,Female,White,United States,United States,United States,English,No,Part-Time
66bb708cf4fe2eba326ce873,5c6f64cdcacbc8000113ed19,AWAITING REVIEW,Not Applicable,2024-08-13T14:41:26.376000Z,2024-08-13T14:48:14.065000Z,,2024-08-13T14:48:14.948349Z,408.0,C3MDUOHD,4499,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),57,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66bb7097156591746842c2c3,66ac7ef30276c36fafb066e0,AWAITING REVIEW,Not Applicable,2024-08-13T14:42:01.175000Z,2024-08-13T15:01:45.815000Z,,2024-08-13T15:03:08.578922Z,1185.0,C3MDUOHD,40,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),34,Female,White,United States,United States,United States,English,No,Full-Time
