StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,drug_know,drug_accept,planet_know,planet_accept,vertebrate_know,vertebrate_accept,brain_know,brain_accept,boson_know,boson_accept,orbit_know,orbit_accept,material_know,material_accept,speed_know,speed_accept,cloning_know,cloning_accept,magnetic_know,magnetic_accept,drug,drug_confirm,planet,planet_confirm,vertebrate,vertebrate_confirm,brain,brain_confirm,boson,boson_confirm,orbit,orbit_confirm,material,material_confirm,speed,"speed_confirm ",cloning,cloning_confirm,magnetic,"magnetic_confirm ",Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,reason_agreement_3_TEXT,reason_followup,Q1,education,comments,PROLIFIC_PID,drug_link1,drug_link2,planet_link1,planet_link2,vertebrate_link1,vertebrate_link2,brain_link1,brain_link2,boson_link1,boson_link2,orbit_link1,orbit_link2,material_link1,material_link2,speed_link1,speed_link2,cloning_link1,cloning_link2,magnetic_link1,magnetic_link2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific study. Participation requires that you give your informed consent. Before proceeding, please consider the following information:     The study will take about 10 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","While watching the television, have you ever had a fatal heart attack?","Against which disease is the drug bedaquiline, developed in 2007, a treatment?",Do you agree that bedaquiline is used for tuberculosis disease?,"Kepler-452b is an exoplanet revolving around the star Kepler-452. How far away from the star is it, as established by astronomers in 2015?",Do you agree that the exoplanet Kepler-452b is 97 million mi away from its star?,"Using bomb-pusle dating with carbon 14, what is the age of the oldest known vertebrate, as established in 2016?",Do you agree that the oldest known vertebrate is 392 years old?,"How many glials cells are there in the brain in comparison with neurons, as established in 2016?",Do you agree that there is the same amount of glial cells and of neurons in the brain?,"What is the electric charge of the Higgs Boson, as established in 2012?",Do you agree that the Higgs Boson is electrically neutral?,"As predicted by the general theory of relativity, how many times would the Earth keep orbiting if the Sun disappeared, as established in 2012?",Do you agree that the Earth would keep orbiting for 8 minutes if the Sun disappeared?,"What is the age of the oldest materials formed on Earth, as established in 2020? (Ga stands for giga annum or billions of years)",Do you agree that the oldest material formed on Earth is more than 4.6 Ga years old?,What is the maximum speed a proton can attain in the largest particle collider as to 2015?,Do you agree that the maximum speed a proton has achieved in a particle collider is 99% of the speed of light?,"With the best current cloning techniques, what is the average success rate when operated on mice, as of 2010?",Do you agree that the average success of cloning on mice is 9.4%?,"What was the strength of the Earth magnetic field 3.7 billion years ago, as discovered this year?",Do you agree that the strength of Earth magnetic field 3.7 billion years ago was 15 microtesla?,"Against which disease is the drug bedaquiline, developed in 2007, a treatment?  Scientific consensus: The drug bedaquilibe is used for tuberculosis disease.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","Kepler-452b is an exoplanet revolving around the star Kepler-452. How far away from the star is it, as established by astronomers in 2015?  Scientific consensus: Kepler-452-b is 97 million mi away from its star.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","Using bomb-pusle dating with carbon 14, what is the age of the oldest known vertebrate, as established in 2016?  Scientific consensus: The oldest known vertebrate is 392 years old.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","How many glials cells are there in the brain in comparison with neurons, as established in 2016?  Scientific consensus: There is the same amount of glial celles and neurons in the brain.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","What is the electric charge of the Higgs Boson, as established in 2012?  Scientific consensus: The Higgs Boson is electrically neutral.    Do you think you could explain why you answered differently?","If you want, you can now change your previous answer:","As predicted by the general theory of relativity, how many times would the Earth keep orbiting if the Sun disappeared, as established in 2012?  Scientific consensus: The Earth would keep orbiting for 8 minutes if the Sun disappeared.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","What is the age of the oldest materials formed on Earth, as established in 2020?  Scientific consensus: The oldest material formed on Earth is more than 4.6 Ga years old.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:",What is the maximum speed a proton can attain in the largest particle collider as to 2015?  Scientific consensus: The maximum speed a proton has achieved in a particle collider is 99% of the speed of light.    Do you think you could explain why you answered differently?,"If you want to, you can now change your previous answer:","With the best current cloning techniques, what is the average success rate when operated on mice, as of 2010?  Scientific consensus: The average sucess of cloning on mice with the current best techniques is 9.4%.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:","What was the strength of the Earth magnetic field 3.7 billion years ago, as discovered this year?  Scientific consensus: The strength of Earth magnetic field 3.7 billion years ago was 15 microtesla.    Do you think you could explain why you answered differently?","If you want to, you can now change your previous answer:",Now we are going to ask some questions about yourself.,"I think that... - ... many very important things happen in the world, which the public is never informed about.",I think that... - ... politicians usually do not tell us the true motives for their decisions.,I think that... - ... government agencies closely monitor all citizens.,I think that... - ... events which superficially seem to lack a connection are often the result of secret activities.,I think that... - ... there are secret organizations that greatly influence political decisions.,I think that the official version of the events given by the authorities  very often hides the truth.,"There has been much debate about various historical events, suggesting that the  ‘official version’ of the truth of those events is something of a cover-up. Below is a list of events  for which the official version has been disputed. For each event, we would like you to indicate to what extent you believe the cover-up version of events is true or false.",The Apollo moon landings never happened and were staged in a Hollywood film studio.,"A cure for cancer was discovered years ago, but this has been suppressed by the pharmaceutical industry and the U.S. Food and Drug Administration (FDA).","The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of vested interests.",The claim that the climate is changing due to emissions from fossil fuels is a hoax perpetrated by corrupt scientists who want to spend more taxpayer money on climate research.,The Earth is flat (not spherical) and this fact has been covered up by scientists and vested interests.,There is a causal link between vaccination and autism that has been covered up by the pharmaceutical industry.,In the 1950s and 1960s more than 100 million Americans received a polio vaccine contaminated with a potentially cancer-causing virus.,Proof of alien contact is being concealed from the public.,Hydroxychloroquine has been demonstrated to be a safe and effective treatment of COVID and this information is being suppressed.,"Dinosaurs never existed, evolution is not real, and scientists have been faking the fossil record.","How much do you trust scientists in this country? Do you trust them a lot, some, not much, or not at all?","In general, would you say that you trust science a lot, some, not much, or not at all?",How much confidence do you have in scientists to act in the best interests of the public?,"Regarding the questions on which you agreed with the scientific consensus, would you say that: - Selected Choice","Regarding the questions on which you agreed with the scientific consensus, would you say that: - Other: - Text",Could you please tell us how you independently verified the information?,"Before finishing, please provide the following information. Once you are done with this question, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,Do you have any comments or feedback about the survey?,PROLIFIC_PID,drug_link1,drug_link2,planet_link1,planet_link2,vertebrate_link1,vertebrate_link2,brain_link1,brain_link2,boson_link1,boson_link2,orbit_link1,orbit_link2,material_link1,material_link2,speed_link1,speed_link2,cloning_link1,cloning_link2,magnetic_link1,magnetic_link2
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID188""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID204""}","{""ImportId"":""QID206""}","{""ImportId"":""QID210""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID230""}","{""ImportId"":""QID245""}","{""ImportId"":""QID247""}","{""ImportId"":""QID1216104911_TEXT""}","{""ImportId"":""QID1216104912""}","{""ImportId"":""QID1216104913_TEXT""}","{""ImportId"":""QID1216104914""}","{""ImportId"":""QID1216104915_TEXT""}","{""ImportId"":""QID1216104916""}","{""ImportId"":""QID1216104917_TEXT""}","{""ImportId"":""QID1216104918""}","{""ImportId"":""QID1216104919_TEXT""}","{""ImportId"":""QID1216104920""}","{""ImportId"":""QID1216104921_TEXT""}","{""ImportId"":""QID1216104922""}","{""ImportId"":""QID1216104923_TEXT""}","{""ImportId"":""QID1216104924""}","{""ImportId"":""QID1216104925_TEXT""}","{""ImportId"":""QID1216104926""}","{""ImportId"":""QID1216104927_TEXT""}","{""ImportId"":""QID1216104928""}","{""ImportId"":""QID1216104929_TEXT""}","{""ImportId"":""QID1216104930""}","{""ImportId"":""QID197""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID193_2""}","{""ImportId"":""QID193_3""}","{""ImportId"":""QID193_4""}","{""ImportId"":""QID193_5""}","{""ImportId"":""QID190""}","{""ImportId"":""QID235""}","{""ImportId"":""QID234""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID1216098662""}","{""ImportId"":""QID1216098662_3_TEXT""}","{""ImportId"":""QID1216098663_TEXT""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""drug_link1""}","{""ImportId"":""drug_link2""}","{""ImportId"":""planet_link1""}","{""ImportId"":""planet_link2""}","{""ImportId"":""vertebrate_link1""}","{""ImportId"":""vertebrate_link2""}","{""ImportId"":""brain_link1""}","{""ImportId"":""brain_link2""}","{""ImportId"":""boson_link1""}","{""ImportId"":""boson_link2""}","{""ImportId"":""orbit_link1""}","{""ImportId"":""orbit_link2""}","{""ImportId"":""material_link1""}","{""ImportId"":""material_link2""}","{""ImportId"":""speed_link1""}","{""ImportId"":""speed_link2""}","{""ImportId"":""cloning_link1""}","{""ImportId"":""cloning_link2""}","{""ImportId"":""magnetic_link1""}","{""ImportId"":""magnetic_link2""}"
2024-08-13 16:27:51,2024-08-13 16:32:56,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,,,,,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,80,60,50,90,60," 8",," 7",Unsure 5," 7"," 8",Completely true 9," 8",Completely true 9,Completely true 9,Completely false 1,Completely false 1,A lot 4,Some 3," 3","You mostly agree with the consensus because, on that question, you trust scientists",,,,3- or 4-year College Degree,,663e3d9940afc32fd96653a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-13 16:31:34,2024-08-13 16:36:44,IP Address,172.59.104.72,100,309,True,2024-08-13 16:36:44,R_5ahHbPQ2ICywTW0,,,,,29.9317,-90.1026,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,90,90,90,50,80," 7",,Unsure 5,Unsure 5," 6"," 4"," 6"," 7"," 4"," 7"," 8"," 4",Some 3,Some 3," 2",You mostly agree with the consensus because you have been able to independently verify it,,"Online ,Google, youtube",,Some College,,66b7bb03c65cf1a0421ea91d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-13 16:33:20,2024-08-13 16:36:53,IP Address,207.172.99.66,100,213,True,2024-08-13 16:36:54,R_62Mw8zHrmuCr7nB,,,,,40.6561,-75.2336,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,Completely true 9,,Completely true 9,Completely true 9,Completely true 9,Completely true 9,Completely false 1,Completely true 9,Completely true 9,Completely true 9,Unsure 5,Completely false 1,Some 3,Not much 2," 2",You mostly agree with the consensus because you have been able to independently verify it,,From the source and knowledge,,High School / GED,,5c6d7db58f6257000148f61d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-13 16:30:45,2024-08-13 16:37:31,IP Address,206.85.211.145,100,405,True,2024-08-13 16:37:31,R_7qy441Ljt7KEY9u,,,,,35.8655,-80.8934,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,70,50,80,70,80," 7",,Completely false 1," 3"," 3"," 6",Completely false 1," 7"," 6"," 7"," 7",Completely false 1,Some 3,Some 3," 3","You mostly agree with the consensus because, on that question, you trust scientists",,,,3- or 4-year College Degree,whether or not I trust scientists depends on who is paying them,5a6b53f3e70ca900017ab75a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-13 16:32:22,2024-08-13 16:37:32,IP Address,98.63.22.69,100,309,True,2024-08-13 16:37:32,R_3npH0MSTgmlEG6X,,,,,42.3574,-88.2209,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,No,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,,,I thought it was fake,I agree with the scientific consensus that Kepler-452b is 97 million mi away from its star,,,,,,,,,,,,,,,,,,70,100,10,40,70," 8",," 6",Completely true 9,Completely true 9," 8"," 2",Completely true 9,Completely true 9,Completely true 9,Completely true 9," 3",Not much 2,Not much 2," 2",You mostly agree with the consensus because you have been able to independently verify it,,I compared the articles and their sources for accuracy,,Some College,,6695c0f382fd54349473da11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-13 16:31:54,2024-08-13 16:37:51,IP Address,149.76.142.77,100,357,True,2024-08-13 16:37:52,R_3DMioLnJz9ggSgp,,,,,34.4941,-92.5901,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,No,,,,,,,,,,,,,,,,,,,I dont believe the earth has been here 3.7 billion years,I disagree with the scientific consensus that the strength of Earth magnetic field 3.7 billion years ago was 15 microtesla,,70,90,50,80,90,Completely true 9,,Unsure 5,Unsure 5,Completely true 9,Completely true 9,Completely false 1,Completely true 9,Unsure 5,Completely false 1,Completely true 9,Completely true 9,Not at all 1,Not at all 1,No confidence at all 1,You mostly agree with the consensus because you have been able to independently verify it,,Through research or facts I obtained previously,,High School / GED,,5af1c4dfaec2b600010a96c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-13 16:30:45,2024-08-13 16:38:03,IP Address,68.251.147.211,100,437,True,2024-08-13 16:38:03,R_3ayNZjgc4kIUP84,,,,,28.5588,-81.3495,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,90,90,80,80,70," 8",,Unsure 5," 7"," 8",Unsure 5," 2"," 6",Unsure 5," 8"," 7"," 3",Some 3,Some 3," 4","You mostly agree with the consensus because, on that question, you trust scientists",,,,Master's Degree,,66952d5507cd937cf7c2a35d,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
2024-08-13 16:32:45,2024-08-13 16:38:24,IP Address,74.65.35.63,100,339,True,2024-08-13 16:38:25,R_1lyLLGHs0Qr5ulC,,,,,43.3195,-76.4178,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,100,100,50,40,90," 7",," 3",Completely true 9," 6"," 7",Completely false 1,Unsure 5," 6",Completely true 9,Unsure 5,Unsure 5,Not much 2,Not much 2,No confidence at all 1,Other:,"I didn’t know the answers at all so they could have been either one. ",,,Some College,,62989b11e61bf4363844f0cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
