id,trust,impressiveness,competence,learn,impressed,consensus
1,4,basic,3,3,4,1
1,4,impressive,5,4,3,1
2,4,basic,2,1,4,4
2,4,impressive,4,3,5,3
3,1,basic,2,2,1,1
3,2,impressive,5,4,3,5
4,1,basic,4,5,4,1
4,3,impressive,5,5,3,3
5,3,basic,3,4,2,5
5,5,impressive,3,3,4,3
6,4,basic,3,2,2,4
6,4,impressive,5,5,5,1
7,4,basic,3,3,4,2
7,3,impressive,3,3,5,2
8,1,basic,1,3,2,2
8,2,impressive,4,4,2,5
9,3,basic,2,2,3,5
9,5,impressive,3,4,5,1
10,4,basic,1,2,4,2
10,4,impressive,3,4,4,1
11,4,basic,2,3,4,2
11,5,impressive,5,4,5,2
12,3,basic,3,3,2,4
12,4,impressive,4,5,5,1
13,3,basic,5,4,1,3
13,3,impressive,5,5,2,2
14,3,basic,1,3,2,5
14,4,impressive,2,4,2,4
15,4,basic,4,3,3,4
15,4,impressive,4,4,5,2
16,4,basic,3,3,3,3
16,3,impressive,3,5,5,1
17,2,basic,3,3,3,5
17,4,impressive,4,3,4,1
18,5,basic,1,2,3,4
18,5,impressive,4,2,3,2
19,4,basic,1,5,3,3
19,4,impressive,1,5,3,5
20,4,basic,2,3,1,2
20,4,impressive,3,5,2,4
21,4,basic,2,1,4,4
21,3,impressive,1,5,4,2
22,2,basic,4,1,3,5
22,3,impressive,5,5,4,5
23,4,basic,2,3,4,4
23,5,impressive,2,2,4,4
24,2,basic,4,3,3,3
24,4,impressive,4,3,4,4
25,5,basic,2,2,2,1
25,5,impressive,3,3,2,4
26,4,basic,4,2,5,5
26,5,impressive,5,3,5,2
27,3,basic,3,3,3,5
27,5,impressive,4,4,4,1
28,3,basic,4,2,3,5
28,3,impressive,4,3,5,4
29,4,basic,4,2,3,5
29,5,impressive,4,3,3,2
30,2,basic,2,4,2,2
30,4,impressive,3,5,5,4
31,5,basic,5,1,3,1
31,4,impressive,5,1,3,2
32,5,basic,4,3,4,5
32,5,impressive,4,3,3,1
33,3,basic,3,3,3,3
33,3,impressive,4,3,5,2
34,5,basic,3,1,2,3
34,3,impressive,3,2,2,3
35,3,basic,4,5,3,1
35,2,impressive,2,5,3,3
36,4,basic,4,3,4,3
36,5,impressive,4,4,5,4
37,2,basic,2,3,4,4
37,3,impressive,3,4,5,5
38,4,basic,4,2,3,5
38,5,impressive,4,5,5,2
39,4,basic,2,2,3,1
39,3,impressive,2,4,5,2
40,2,basic,4,3,3,4
40,3,impressive,4,4,5,3
41,2,basic,2,2,5,5
41,2,impressive,2,4,5,1
42,4,basic,3,3,3,4
42,4,impressive,5,4,5,4
43,3,basic,3,3,1,2
43,5,impressive,4,4,3,2
44,1,basic,2,4,3,2
44,1,impressive,4,5,3,5
45,5,basic,3,2,5,3
45,5,impressive,3,4,3,2
46,4,basic,3,3,2,1
46,3,impressive,5,4,4,2
47,3,basic,2,2,4,4
47,2,impressive,3,2,3,4
48,3,basic,2,4,4,2
48,3,impressive,4,4,5,3
49,3,basic,4,3,3,2
49,4,impressive,5,2,5,2
50,3,basic,3,2,4,2
50,4,impressive,4,3,3,1
51,3,basic,3,3,4,5
51,3,impressive,2,4,5,3
52,4,basic,4,4,4,1
52,4,impressive,5,5,5,2
53,4,basic,2,1,3,4
53,5,impressive,2,4,3,4
54,4,basic,2,2,4,5
54,3,impressive,3,3,5,1
55,4,basic,3,2,3,3
55,5,impressive,5,4,3,1
56,2,basic,3,3,4,2
56,2,impressive,3,5,4,3
57,3,basic,3,4,2,2
57,5,impressive,5,2,5,3
58,3,basic,2,4,2,5
58,3,impressive,2,3,4,4
59,4,basic,3,5,3,4
59,4,impressive,4,3,5,1
60,2,basic,2,3,3,4
60,3,impressive,2,4,3,4
61,3,basic,3,1,1,5
61,3,impressive,4,2,4,4
62,3,basic,4,2,2,4
62,4,impressive,4,4,2,1
63,4,basic,1,3,2,4
63,4,impressive,2,5,2,2
64,3,basic,3,4,2,5
64,3,impressive,1,5,4,1
65,2,basic,4,2,3,4
65,3,impressive,4,3,2,3
66,2,basic,3,3,3,1
66,3,impressive,4,3,4,5
67,2,basic,2,2,3,5
67,5,impressive,2,4,3,3
68,5,basic,3,4,2,5
68,3,impressive,4,5,2,5
69,4,basic,4,2,4,5
69,5,impressive,3,2,5,5
70,3,basic,2,3,3,3
70,5,impressive,3,4,4,2
71,2,basic,5,5,3,3
71,3,impressive,5,5,4,4
72,3,basic,3,3,3,4
72,4,impressive,4,5,3,5
73,2,basic,4,3,3,1
73,4,impressive,5,4,5,4
74,5,basic,4,3,3,1
74,5,impressive,4,4,3,1
75,3,basic,4,2,3,4
75,5,impressive,4,5,5,5
76,4,basic,5,3,3,5
76,3,impressive,4,4,3,1
77,2,basic,3,2,1,3
77,4,impressive,5,2,5,1
78,4,basic,4,3,4,1
78,5,impressive,4,5,4,1
79,2,basic,4,2,3,3
79,3,impressive,5,3,4,1
80,4,basic,3,4,3,3
80,5,impressive,3,5,5,1
81,4,basic,4,2,3,4
81,4,impressive,5,2,4,3
82,2,basic,3,3,3,3
82,2,impressive,2,3,3,1
83,3,basic,3,2,3,2
83,3,impressive,5,4,5,3
84,2,basic,3,3,4,2
84,1,impressive,3,4,5,1
85,3,basic,3,1,2,3
85,5,impressive,4,1,2,4
86,4,basic,3,2,2,2
86,5,impressive,3,4,5,4
87,4,basic,3,4,1,4
87,3,impressive,5,3,3,1
88,4,basic,3,3,2,3
88,4,impressive,5,4,5,1
89,4,basic,4,2,4,3
89,5,impressive,4,2,4,5
90,3,basic,2,4,5,4
90,4,impressive,3,5,5,3
91,3,basic,4,2,3,2
91,5,impressive,5,4,5,1
92,3,basic,3,4,3,3
92,2,impressive,3,4,5,1
93,3,basic,2,1,2,3
93,4,impressive,2,3,4,5
94,3,basic,2,3,4,3
94,4,impressive,3,3,4,4
95,2,basic,2,1,1,3
95,4,impressive,3,2,3,5
96,4,basic,4,3,5,1
96,4,impressive,4,4,5,5
97,3,basic,4,2,2,4
97,3,impressive,5,3,2,2
