id,condition,text,cX_archeo1,cX_archeo2,cX_archeo3,cX_archeo4,cX_archeo5,cX_archeo6,cX_archeo7,cX_archeo8,cX_entom1,cX_entom2,cX_entom3,cX_entom4,cX_entom5,cX_entom6,cX_entom7
65,archeo,"Arcaeologists have discovered through various records differences between apes, humans & neanderthals. They have found that humans and neanderthals have a larger nerve centre for breathing. It is thought that this has helped contribute to the use of language. They have also discovered that neanderthals were primarily rights handed & have detemined that ""handedness"" is a contributor to communication.  They have also been able to identify through dental records data points such as when an ancient human stopped drinking their mothers milk.  Archaeology will continue to evolve and grow in order to make further historical scientific breakthroughs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,archeo,"Archaelogists are able to tell, solely from bones, the height, gender and age of a fossil. Using this they are able to tell when the fossil was alive but also what group of humans it belonged to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,archeo,"the text has shown that archaeology can tell that dead people bone can be tested to show the date they died, the age they were, the language they spoke, and also told us that we were very potencal than ages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,archeo,Archaeologist are scientists who study human history and their prehistory and they are able to tell from a humans both if they were female or male how old they were when they died and of they suffered from any diseases  Now Archaeologist can tell when an individual stopped drink their mothers milk just from the composition of their teeth. Also Archaeologists have learnt that human have a nerve that is used to control breathing that is larger than that the nerve apes gave and believe this is due to the control of our breathing when talking/ speaking and they also believe it is larger in neanderthals   Archaeologists also can tell if an neanderthals was right handed or left handed from their bones in which they believe a lot of them were right handed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,archeo,"Archeologists can amazingly determine what sex a person was, what language they used and even whether they were left or right handed. A humans thoat is different to say an ape which is non verbal. The size of the throat helps control breathing which is an important factor in speech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,archeo,"Key points I remember are that archeologists can tell how long someone was breastfed due to the composition of their teeth, also about how we are better able to control our breathing than apes. Archeologists can also tell if you wee right handed or left  handed. Archeologists can tell your gender from the bones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,archeo,Archeologists are able to determine many things about the human and animal form. humans have a bigger throat than apes in order for them to make more complex vocalisations. They are able  to determine many things like calcium and if a baby had mothers milk along with other things in the diet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,archeo,"Archaeologists are scientists who are interested in history and human history. They can tell from remains of a body if they were male or female, age when they died, what they died off and how long they were drinking mothers milk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,archeo,"Archaeologists use remarkable techniques to uncover details about ancient lives. From bones, they can determine sex, age, diseases, and even the age at which individuals stopped breastfeeding by analyzing teeth. They also explore language development, finding that Neanderthals likely had speech capabilities based on anatomical features like larger breathing-control nerves. Tool analysis reveals that most Neanderthals were right-handed, a trait linked to brain lateralization and language. These findings highlight the depth of information archaeologists can extract, offering insights into the health, behavior, and communication of our ancestors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,archeo,"Archaeologist , scientist that study history and discovery from animal bones . With the jobs , they can determine if it a male or female, they can determine the age and also determine what type of disease the particular person has. They can determine the amount of breast milk and the dentition . There is also talk about the Neanderthal and how they function . Also the dentition of human and how it helps in speech / speaking to that of Apes or there difference in advancement .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,archeo,archaeologist they are scientist who study human history and pre-history.From the bone study they can tell if someone was male or female and how long they have been dead.they can also tell if the person suffered from a variety of diseases.They are able to tell the language used by our ancestors.They also tell on the tools they made and their form of language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
