Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65c3b10abd68781d17cfa430,58a229e74d580c0001e0a766,AWAITING REVIEW,Not Applicable,2024-02-07T16:34:20.749000Z,2024-02-07T16:39:26.073000Z,,2024-02-07T16:39:26.679279Z,306.0,C232A6J3,420,34,Male,White,United States,United States,United States,English,No,Full-Time
65c3b12fb8e779f427544dc9,658e66f34a68a13ce2c6ab37,AWAITING REVIEW,Not Applicable,2024-02-07T16:34:57.935000Z,2024-02-07T16:38:22.204000Z,,2024-02-07T16:38:22.745979Z,205.0,C232A6J3,288,23,Male,Asian,Japan,United States,United States,English,No,Full-Time
65c3b1322538df7d79ce7344,57a6891d8eccbc0001f39f89,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:01.709000Z,2024-02-07T16:39:17.596000Z,,2024-02-07T16:39:18.108068Z,256.0,C232A6J3,1801,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
65c3b140d5d2b3a02626b523,5bd4c1d09afb5b00015c5bdd,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:38.232000Z,2024-02-07T16:42:03.637000Z,,2024-02-07T16:42:04.266656Z,386.0,C232A6J3,7774,75,Male,White,United States,United States,United States,English,No,Part-Time
65c3b140d538afd77296ff36,614e4f5af7eba1c013541155,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:12.675000Z,2024-02-07T16:39:52.062000Z,,2024-02-07T16:39:52.690291Z,280.0,C232A6J3,2348,56,Male,Asian,Pakistan,United Kingdom,United Kingdom,English,No,Full-Time
65c3b14860409ea647c87140,60d2c59451b12e36fb281477,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:31.365000Z,2024-02-07T16:41:12.935000Z,,2024-02-07T16:41:14.112676Z,342.0,C232A6J3,1041,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c3b14b16bae4d3e8c7dcae,5ec9112305ac273ed882f22a,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:26.083000Z,2024-02-07T16:37:28.805000Z,,2024-02-07T16:37:29.367452Z,123.0,C232A6J3,335,38,Male,White,United States,United States,United States,English,No,Full-Time
65c3b14b682780fce13b7dff,58d0632c2fc72000011f8c57,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:31.801000Z,2024-02-07T16:41:18.628000Z,,2024-02-07T16:41:19.171505Z,347.0,C232A6J3,3589,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c3b15418554af90e3e0566,5ade558c066c510001d43615,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:35.504000Z,2024-02-07T16:37:57.468000Z,,2024-02-07T16:37:58.060995Z,142.0,C232A6J3,932,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c3b15581d969694909e3fb,5dfdc45e617219a8e2e05c26,AWAITING REVIEW,Not Applicable,2024-02-07T16:35:33.720000Z,2024-02-07T16:38:02.797000Z,,2024-02-07T16:38:03.688252Z,150.0,C232A6J3,5053,27,Male,Black,United States,United States,United States,English,Yes,Full-Time
