StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,ants_basic_learn,ants_basic_impress,ants_basic_comp,ants_basic_trust,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,ants_imp_learn,ants_imp_impress,ants_imp_comp,ants_imp_trust,ants_basic_learn,ants_basic_impress,ants_basic_comp,ants_basic_trust,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,ants_imp_learn,ants_imp_impress,ants_imp_comp,ants_imp_trust,Q1,gender,age,education,PROLIFIC_PID,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:



The study will take about 5 minutes to complete.



There are no risks involved in this study.



You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).



Your individual privacy will be maintained in all published and written data resulting from the study.

 

Participation in this research study is voluntary. You may choose not to participate.

 

By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says: 
 

“I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.” 

 

Do you agree with your friend?",How much do you feel you’ve learnt about ant behavior by reading this text?,How impressive did you find the findings of the myrmecologists (ant experts) described in the text?,How competent do you think myrmecologists are?,How much would you trust the discipline of myrmecology ?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,How competent do you think archeologists are?,How much would you trust the discipline of archeology ?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,How competent do you think archeologists are?,How much would you trust the discipline of archeology ?,How much do you feel you’ve learnt about ant behavior by reading this text?,How impressive did you find the findings of the myrmecologists (ant experts) described in the text?,How competent do you think myrmecologists are?,How much would you trust the discipline of myrmecology ?,How much do you feel you’ve learnt about ant behavior by reading this text?,How impressive did you find the findings of the myrmecologists (ant experts) described in the text?,How competent do you think myrmecologists are?,How much would you trust the discipline of myrmecology ?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,How competent do you think archeologists are?,How much would you trust the discipline of archeology ?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,How competent do you think archeologists are?,How much would you trust the discipline of archeology ?,How much do you feel you’ve learnt about ant behavior by reading this text?,How impressive did you find the findings of the myrmecologists (ant experts) described in the text?,How competent do you think myrmecologists are?,How much would you trust the discipline of myrmecology ?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,condition
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""condition""}"
2024-02-07 17:35:52,2024-02-07 17:37:11,0,51.52.134.194,100,79,1,2024-02-07 17:37:12,R_2MlqXV5KHYFiVjT,,,,,51.5518,-0.1345,anonymous,EN,1,i pay attention,,,,,,,,,,,,,,,,,4,4,3,3,3,3,3,4,,,,,,,,,,1,43,5,5ec135213d32b40417fd9ea3,nolabels
2024-02-07 17:35:27,2024-02-07 17:37:26,0,12.132.70.208,100,119,1,2024-02-07 17:37:27,R_1nvpzrPQ0Zb44ed,,,,,35.1179,-84.8487,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,5,5,5,5,,1,38,8,5ec9112305ac273ed882f22a,nolabels
2024-02-07 17:35:38,2024-02-07 17:37:55,0,82.40.78.111,100,137,1,2024-02-07 17:37:56,R_2oHeh0Z02W6daDH,,,,,53.3972,-2.897,anonymous,EN,1,I pay attention,,,,,,,,,3,4,5,5,4,4,4,4,,,,,,,,,,,,,,,,,,1,40,3,5ade558c066c510001d43615,labels
2024-02-07 17:35:43,2024-02-07 17:38:01,0,71.163.113.7,100,137,1,2024-02-07 17:38:01,R_5SizggX4uCIYJeZ,,,,,38.9206,-76.8787,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,4,5,4,5,5,,1,27,5,5dfdc45e617219a8e2e05c26,nolabels
2024-02-07 17:35:59,2024-02-07 17:38:19,0,86.5.110.47,100,139,1,2024-02-07 17:38:19,R_6dHAN6WRF4xhrGx,,,,,54.9001,-1.4211,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,5,4,4,5,5,,2,28,3,5efdb4266a255121c1bcc531,nolabels
2024-02-07 17:34:59,2024-02-07 17:38:20,0,68.98.85.129,100,201,1,2024-02-07 17:38:20,R_3H5Z5U7cW7M7CGA,,,,,33.6069,-112.2822,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,4,4,5,5,5,4,,,,,,,,,,1,23,5,658e66f34a68a13ce2c6ab37,nolabels
2024-02-07 17:35:50,2024-02-07 17:38:58,0,77.100.13.14,100,188,1,2024-02-07 17:38:59,R_1Rwk3Es1q2eZ7jk,,,,,51.6449,-0.043,anonymous,EN,1,i pay attention,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,2,4,3,,1,38,2,5fd8ea198512a801831f6b85,nolabels
2024-02-07 17:35:53,2024-02-07 17:38:58,0,109.155.8.1,100,185,1,2024-02-07 17:38:59,R_4LGRBO4uJ3VCbxn,,,,,54.7699,-1.559,anonymous,EN,1,"I pay attention ",5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,59,4,63dd4059aafe88137a5f8715,labels
