Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65c4d904bef8006808c804b6,5d49d17b3dad1f0001e2aba1,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:07.993000Z,2024-02-08T13:38:06.636000Z,,2024-02-08T13:38:07.237475Z,59,C232A6J3,1843,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4d9056a743d9a3043d523,5b258c9ba7cee100011d8aad,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:25.241000Z,2024-02-08T13:40:47.057000Z,,2024-02-08T13:40:47.550819Z,202,C232A6J3,1588,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4d90556c86f89ff1db43e,5ecd4b104b4dc408fcf4eb16,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:37.850000Z,2024-02-08T13:39:15.534000Z,,2024-02-08T13:39:15.935249Z,98,C232A6J3,1105,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4d9068a8633831da75030,5ba292385301b80001c71ba2,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:13.722000Z,2024-02-08T13:38:32.773000Z,,2024-02-08T13:38:33.194292Z,80,C232A6J3,7521,50,Male,White,United States,United States,United States,English,No,Full-Time
65c4d9063e962c8f22b6c629,5eaecb0824839e59ed3523eb,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:10.711000Z,2024-02-08T13:39:14.387000Z,,2024-02-08T13:39:14.933263Z,124,C232A6J3,2063,39,Male,White,Poland,United Kingdom,United Kingdom,Polish,No,Full-Time
65c4d9070eb7053bf3ae0343,5e5521580ee1b951df544c3c,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:14.314000Z,2024-02-08T13:40:30.997000Z,,2024-02-08T13:40:31.515247Z,197,C232A6J3,2207,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4d9080ca54643bd674ad0,63468b5809bf04222262bfed,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:23.906000Z,2024-02-08T13:40:04.471000Z,,2024-02-08T13:40:05.551871Z,161,C232A6J3,1560,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4d908f78bbedf045a876a,5c92f797803bff0017fef8dd,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:26.421000Z,2024-02-08T13:40:26.246000Z,,2024-02-08T13:40:26.803271Z,180,C232A6J3,1470,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4d908566c8ceffc864b10,5dbf5fe16849043f135aa2c0,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:16.590000Z,2024-02-08T13:38:45.887000Z,,2024-02-08T13:38:46.420061Z,90,C232A6J3,2192,35,Male,White,United States,United Kingdom,United States,English,No,DATA_EXPIRED
65c4d909816b3e69af8e71b0,56cc78e3ccc0e20006b82a7d,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:25.925000Z,2024-02-08T13:38:12.197000Z,,2024-02-08T13:38:13.207237Z,47,C232A6J3,6013,33,Male,White,United States,United States,United States,English,No,Full-Time
65c4d909546964cdec66582e,572f526c3c27e7000e0b8aaa,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:13.533000Z,2024-02-08T13:42:05.421000Z,,2024-02-08T13:42:05.942678Z,292,C232A6J3,4349,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4d909ce8be6b2fb6658e9,6228f5506248f4f80a39008a,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:17.257000Z,2024-02-08T13:38:44.572000Z,,2024-02-08T13:38:45.202091Z,88,C232A6J3,2813,64,Male,White,United States,United States,United States,English,No,Part-Time
65c4d90ac0ce626fa7bebdcf,629f6b8c65fcae219e245284,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:16.903000Z,2024-02-08T13:39:09.905000Z,,2024-02-08T13:39:10.413930Z,114,C232A6J3,1650,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65c4d90ab3106d5749a2d502,63288c4c7c9cc5e61437b9b0,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:18.505000Z,2024-02-08T13:38:20.251000Z,,2024-02-08T13:38:20.740605Z,62,C232A6J3,830,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65c4d90ad49e5024cbd4e5a9,5654166804212700054a12aa,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:18.225000Z,2024-02-08T13:40:27.051000Z,,2024-02-08T13:40:27.491578Z,189,C232A6J3,2542,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4d90b4c93dc2ec591ba0b,55fc1a7c77f33b0010cb229f,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:15.262000Z,2024-02-08T13:39:02.866000Z,,2024-02-08T13:39:03.469327Z,108,C232A6J3,1146,33,Male,White,United States,United States,United States,English,No,Full-Time
65c4d90c2394cba20f542fa8,58f669cefb4d7500014af69b,AWAITING REVIEW,Not Applicable,2024-02-08T13:38:21.394000Z,2024-02-08T13:41:39.675000Z,,2024-02-08T13:41:40.192487Z,199,C232A6J3,3140,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65c4d90c163f18cb041480a0,63d6c8b398b284a355e65870,AWAITING REVIEW,Not Applicable,2024-02-08T13:38:30.142000Z,2024-02-08T13:40:29.092000Z,,2024-02-08T13:40:29.591426Z,119,C232A6J3,431,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4d90c8b0214317ddb5214,5de7900ceb1b0a6fe754b2c6,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:16.808000Z,2024-02-08T13:41:21.904000Z,,2024-02-08T13:41:22.395837Z,246,C232A6J3,1885,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4d90d163f18cb041480a2,6310a5c786d2abda637997c0,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:21.351000Z,2024-02-08T13:38:49.149000Z,,2024-02-08T13:38:49.655120Z,88,C232A6J3,901,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65c4d90ac0ce626fa7bebdcd,5b2c0994f1ca3c000190196a,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:18.172000Z,2024-02-08T13:41:02.352000Z,,2024-02-08T13:41:02.863391Z,225,C232A6J3,624,40,Female,White,Poland,United Kingdom,United Kingdom,Polish,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65c4d90d0eb7053bf3ae0347,5b2a72f7c293b90001732b89,AWAITING REVIEW,Not Applicable,2024-02-08T13:40:13.869000Z,2024-02-08T13:43:50.678000Z,,2024-02-08T13:43:51.264570Z,217,C232A6J3,1736,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4d90d7118cd22e6d110c4,5ae9cde00335e200019e9eed,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:25.215000Z,2024-02-08T13:40:26.805000Z,,2024-02-08T13:40:27.358024Z,182,C232A6J3,1991,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65c4d90e0e480dc92ab66ec5,60537fdcda0ac05f1c59c57f,AWAITING REVIEW,Not Applicable,2024-02-08T13:37:22.192000Z,2024-02-08T13:38:48.331000Z,,2024-02-08T13:38:49.127164Z,87,C232A6J3,867,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
