StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,Q1,gender,age,education,PROLIFIC_PID,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:



The study will take about 3 minutes to complete.



There are no risks involved in this study.



You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).



Your individual privacy will be maintained in all published and written data resulting from the study.

 

Participation in this research study is voluntary. You may choose not to participate.

 

By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says: 
 

“I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.” 

 

Do you agree with your friend?",How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,Would you agree/disagree that reading this text has made you think of archeologists  as more competent than you thought before?,Would you agree/disagree that you trust the discipline of archeology more than you did before?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,Would you agree/disagree that reading this text has made you think of archeologists  as more competent than you thought before?,Would you agree/disagree that you trust the discipline of archeology more than you did before?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,Would you agree/disagree that reading this text has made you think of archeologists  as more competent than you thought before?,Would you agree/disagree that you trust the discipline of archeology more than you did before?,How much do you feel you’ve learnt about human history by reading this text?,How impressive did you find the findings of the archeologists described in the text?,Would you agree/disagree that reading this text has made you think of archeologists  as more competent than you thought before?,Would you agree/disagree that you trust the discipline of archeology more than you did before?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID,condition
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID95""}","{""ImportId"":""QID128""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""condition""}"
2024-02-08 14:37:15,2024-02-08 14:38:04,0,188.30.120.196,100,49,1,2024-02-08 14:38:05,R_2OU1OrO2HcZIAtz,,,,,52.9538,-1.1571,anonymous,EN,1,I pay attention,,,,,,,,,4,3,3,3,,,,,,1,37,4,5d49d17b3dad1f0001e2aba1,nolabels
2024-02-08 14:37:27,2024-02-08 14:38:09,0,204.111.129.91,100,42,1,2024-02-08 14:38:10,R_6qA7C8YFYN6gyIh,,,,,37.2613,-79.9335,anonymous,EN,1,I pay attention,,,,,2,5,2,2,,,,,,,,,,1,33,3,56cc78e3ccc0e20006b82a7d,labels
2024-02-08 14:37:25,2024-02-08 14:38:15,0,128.243.2.29,100,50,1,2024-02-08 14:38:16,R_7OZaqmnBSmmvbvH,,,,,52.9538,-1.1571,anonymous,EN,1,I pay attention,,,,,,,,,5,5,5,5,,,,,,2,47,7,5fb8dc3c8e8e964121c6aa4c,nolabels
2024-02-08 14:37:20,2024-02-08 14:38:18,0,90.192.142.122,100,57,1,2024-02-08 14:38:18,R_7fx2ywb2AYT3Wak,,,,,53.7601,-1.8021,anonymous,EN,1,I pay attention,4,4,3,4,,,,,,,,,,,,,,1,30,5,63288c4c7c9cc5e61437b9b0,labels
2024-02-08 14:37:16,2024-02-08 14:38:30,0,71.225.178.41,100,74,1,2024-02-08 14:38:31,R_6emWfOKsejheudz,,,,,40.4441,-75.345,anonymous,EN,1,I pay attention,4,4,4,4,,,,,,,,,,,,,,1,50,6,5ba292385301b80001c71ba2,labels
2024-02-08 14:37:19,2024-02-08 14:38:40,0,24.168.226.165,100,81,1,2024-02-08 14:38:41,R_1OlDJngIStO0GPk,,,,,33.8734,-78.6493,anonymous,EN,1,I pay attention,,,,,3,4,4,4,,,,,,,,,,1,64,4,6228f5506248f4f80a39008a,labels
2024-02-08 14:37:18,2024-02-08 14:38:44,0,86.169.134.203,100,86,1,2024-02-08 14:38:45,R_1fy7PfE8O65A7MV,,,,,51.4098,-0.0249,anonymous,EN,1,I pay attention.,3,4,3,3,,,,,,,,,,,,,,1,35,5,5dbf5fe16849043f135aa2c0,labels
2024-02-08 14:37:24,2024-02-08 14:38:45,0,146.198.109.156,100,80,1,2024-02-08 14:38:46,R_3GbnMtIHekHnNCh,,,,,53.8362,-1.7686,anonymous,EN,1,I pay attention,,,,,,,,,,,,,4,4,4,3,,1,42,5,6310a5c786d2abda637997c0,nolabels
