Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65cb812e441de499cbf28e77,63d2b22da2bc79f659e4a4a7,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:18.084000Z,2024-02-13T14:52:35.826000Z,,2024-02-13T14:52:36.315191Z,258,C232A6J3,853,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb812ff0092a0062c939ff,5e70bd5480f43a0009625d4c,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:22.856000Z,2024-02-13T14:49:53.403000Z,,2024-02-13T14:49:53.990937Z,91,C232A6J3,956,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb813421d773bd07acc70a,652ec349c589a18943280477,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:38.400000Z,2024-02-13T14:52:22.981000Z,,2024-02-13T14:52:23.547419Z,225,C232A6J3,1052,40,Male,White,United States,United States,United States,English,No,Full-Time
65cb814a570f9acc8ba4f546,5cba676b16ab74001672d70f,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:46.551000Z,2024-02-13T14:53:44.385000Z,,2024-02-13T14:53:44.935928Z,298,C232A6J3,461,38,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb814ddd1893183b69ba00,5f0f7fe1d7ad1c000b42d091,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:49.335000Z,2024-02-13T14:52:20.761000Z,,2024-02-13T14:52:21.339521Z,212,C232A6J3,2126,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65cb814ef4f6fdfcadc24a4a,57dd186e6598aa0001992616,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:19.827000Z,2024-02-13T14:53:41.163000Z,,2024-02-13T14:53:41.661224Z,262,C232A6J3,6941,30,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65cb814e49c2bea6a7bde7ee,5b22d5a51eef1b00016f3bbf,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:52.577000Z,2024-02-13T15:06:06.267000Z,,2024-02-13T15:06:06.943662Z,1034,C232A6J3,1566,34,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb814fdd72788ad453d697,5a7255c8c2eb6c00017e2dcf,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:01.007000Z,2024-02-13T14:52:07.785000Z,,2024-02-13T14:52:08.394622Z,187,C232A6J3,5708,33,Male,White,United States,United States,United States,English,No,Full-Time
65cb815050a9bb9f66ad4ee5,631610af8e747093cd90e00d,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:50.961000Z,2024-02-13T14:51:31.181000Z,,2024-02-13T14:51:31.831300Z,161,C232A6J3,1321,39,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb8150a1648247a54467a1,62fce494b16fcf89dca570bf,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:09.146000Z,2024-02-13T14:53:33.837000Z,,2024-02-13T14:53:34.442520Z,265,C232A6J3,598,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65cb81501d31d25b90c4dc57,63d79fcd741f9cfb2f87152f,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:56.464000Z,2024-02-13T14:53:42.822000Z,,2024-02-13T14:53:43.374561Z,287,C232A6J3,1340,48,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Other
65cb81515442f87a35158e5c,58954e2dc88c680001dd4b7e,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:55.538000Z,2024-02-13T14:53:33.107000Z,,2024-02-13T14:53:33.743990Z,278,C232A6J3,2606,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65cb8152ecbce4afdd10b601,5d8cb1c93a7d5c00196eae92,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:16.414000Z,2024-02-13T14:56:07.863000Z,,2024-02-13T14:56:09.763932Z,412,C232A6J3,2031,47,Male,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time
65cb8152d7b5fd9b97cf363e,57681fca8e454c000133a203,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:08.225000Z,2024-02-13T14:53:07.591000Z,,2024-02-13T14:53:08.181161Z,240,C232A6J3,1313,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65cb81536c4334da38aac5a0,63e51c0e8c2a74977159635c,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:54.174000Z,2024-02-13T15:08:20.167000Z,,2024-02-13T15:08:20.663776Z,1166,C232A6J3,272,19,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65cb8154726b8525633d7abb,5c3e82e91580e9000122d204,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:44.285000Z,2024-02-13T14:57:32.695000Z,,2024-02-13T14:57:33.254317Z,469,C232A6J3,3821,38,Male,Asian,India,United States,United States,Telugu,No,Full-Time
65cb8154fffb795cb5342683,62d6d87d91cf24a3c1c0f10c,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:55.664000Z,2024-02-13T14:52:16.131000Z,,2024-02-13T14:52:16.681436Z,201,C232A6J3,265,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb8155d88d1d778f6eb5f2,5beb492b5324b10001c26ae8,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:59.759000Z,2024-02-13T14:53:06.678000Z,,2024-02-13T14:53:07.371141Z,247,C232A6J3,936,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb8155df8ff14e2355c718,5707c536374137000ebbbc46,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:59.092000Z,2024-02-13T14:52:16.493000Z,,2024-02-13T14:52:17.065832Z,198,C232A6J3,2510,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb8156ecbce4afdd10b604,58380cb9f1faf8000129673a,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:54.708000Z,2024-02-13T14:56:11.541000Z,,2024-02-13T14:56:12.722017Z,437,C232A6J3,1807,29,Male,White,United States,United States,United States,English,No,Full-Time
65cb813e74a06775088b87b2,65c10f898294498f2342fd89,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:33.213000Z,2024-02-13T14:52:30.466000Z,,2024-02-13T14:52:30.956670Z,238,C232A6J3,12,32,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
65cb814c04a91bf1ecd74163,63a2844c9d6acbec7228a420,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:51.686000Z,2024-02-13T14:54:08.785000Z,,2024-02-13T14:54:09.427622Z,318,C232A6J3,3242,51,Female,Black,Nigeria,United States,United States,English,No,Full-Time
65cb815858bf3ae77ff86239,5f1b3f92f904e61566bc6993,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:02.338000Z,2024-02-13T14:52:09.753000Z,,2024-02-13T14:52:10.247076Z,188,C232A6J3,253,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65cb81597e7981c7adaf9b96,5d55b7ef6a0f930017202336,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:01.348000Z,2024-02-13T14:53:59.193000Z,,2024-02-13T14:53:59.725233Z,298,C232A6J3,2392,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb815b872e344c91befd25,5d696d1c55742f001af29220,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:02.348000Z,2024-02-13T14:54:18.237000Z,,2024-02-13T14:54:18.981094Z,316,C232A6J3,1823,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
65cb815b1b1bfd95c444691e,5b587d897846fa0001fc11c6,AWAITING REVIEW,Not Applicable,2024-02-13T14:48:59.682000Z,2024-02-13T14:56:38.119000Z,,2024-02-13T14:56:38.896591Z,459,C232A6J3,1381,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb815c08213bfb45a0d665,60fcbea9cf08afcb4800c997,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:04.005000Z,2024-02-13T14:51:24.303000Z,,2024-02-13T14:51:24.880629Z,141,C232A6J3,928,21,Female,White,United States,United States,United States,English,Yes,Part-Time
65cb815c29d6670d62263604,5f26b57a60644b4198c9d5e9,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:04.185000Z,2024-02-13T14:54:03.704000Z,,2024-02-13T14:54:04.531426Z,300,C232A6J3,325,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
65cb815d50a9bb9f66ad4eeb,65c50a5d05b32d6f18aef101,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:05.069000Z,2024-02-13T14:53:27.508000Z,,2024-02-13T14:53:28.803858Z,263,C232A6J3,8,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb815d6ba4b9fae7587a90,58642f6cda731b0001049ad5,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:06.048000Z,2024-02-13T14:51:47.526000Z,,2024-02-13T14:51:48.160394Z,162,C232A6J3,678,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65cb815d075e7067a37f1950,5d02a158c8a372001abf3b30,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:01.789000Z,2024-02-13T14:54:12.779000Z,,2024-02-13T14:54:13.244390Z,311,C232A6J3,1888,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65cb815efd21a047064bdd59,5b2ace04a7cee100011e168d,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:07.235000Z,2024-02-13T14:56:03.226000Z,,2024-02-13T14:56:04.494167Z,416,C232A6J3,1311,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65cb815e50a9bb9f66ad4eed,5d1e4f1d51bab90018162332,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:06.181000Z,2024-02-13T14:50:14.105000Z,,2024-02-13T14:50:14.646128Z,68,C232A6J3,1224,31,Female,White,United States,United States,United States,English,Yes,Full-Time
65cb815efffb795cb5342686,5fceb997bc11f516590460ee,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:08.259000Z,2024-02-13T14:51:44.705000Z,,2024-02-13T14:51:45.256416Z,157,C232A6J3,652,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb815f08213bfb45a0d667,5e9679a26b86610fdf2c766a,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:12.346000Z,2024-02-13T15:12:21.439000Z,,2024-02-13T15:12:22.307086Z,1390,C232A6J3,1965,35,Female,Asian,Korea,United States,United States,English,No,Other
65cb815f5615f2e3e4fefb3c,6346e221d4cea480a1a39b52,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:06.623000Z,2024-02-13T14:54:24.400000Z,,2024-02-13T14:54:24.917774Z,318,C232A6J3,487,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65cb8160b1bc5e0379c73348,5d83ed17ea47230019e0ae50,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:08.680000Z,2024-02-13T14:54:03.830000Z,,2024-02-13T14:54:04.392818Z,296,C232A6J3,802,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65cb8161fffb795cb5342689,659d55d8b74f3f97ea13d63e,AWAITING REVIEW,Not Applicable,2024-02-13T14:49:10.070000Z,2024-02-13T14:55:13.912000Z,,2024-02-13T14:55:14.543938Z,364,C232A6J3,286,27,Female,White,United States,United States,United States,English,No,Full-Time
