StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,education,PROLIFIC_PID,version,id,discipline,clear,surprise,know,learn,knowledge1,knowledge2,knowledge3,knowledge4,knowledge5,impressed,competence,trust,n_correct,knowledge_avg
2024-04-11 09:28:05,2024-04-11 09:29:34,0,141.195.163.175,100,89,1,2024-04-11 09:29:35,R_15S0Enm0O9pm70W,NA,NA,NA,NA,51.0075,-3.1015,anonymous,EN,1,I pay attention,NA,5,63ced2f25eb7beb158c802d5,archeology,1,archeo,4,4,5,3,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,4,4,0.8
2024-04-11 09:27:43,2024-04-11 09:29:53,0,109.156.76.209,100,129,1,2024-04-11 09:29:54,R_6QtuN4gZnpLDxiV,NA,NA,NA,NA,51.6485,-0.7801,anonymous,EN,1,I pay attention,NA,2,5e2b7ca12f20ff1d0b611a6b,entomology,2,entom,4,5,3,5,TRUE,TRUE,TRUE,TRUE,TRUE,4,4,4,5,1
2024-04-11 09:27:55,2024-04-11 09:29:57,0,2.126.175.198,100,122,1,2024-04-11 09:29:57,R_2cjRimlgsWfju6D,NA,NA,NA,NA,53.7591,-1.5897,anonymous,EN,1,I pay attention,NA,6,60979bd8bc3e6816ebda7879,entomology,3,entom,5,4,4,4,TRUE,TRUE,FALSE,TRUE,TRUE,4,5,5,4,0.8
2024-04-11 09:27:49,2024-04-11 09:30:03,0,5.68.245.153,100,133,1,2024-04-11 09:30:03,R_6n2GcjnL6ep7qcq,NA,NA,NA,NA,53.3858,-1.4616,anonymous,EN,1,I pay attention,NA,5,5eb6d09db2c9c85dd30dc94e,entomology,4,entom,4,5,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,5,0,0
2024-04-11 09:28:03,2024-04-11 09:30:11,0,86.10.222.111,100,127,1,2024-04-11 09:30:12,R_6UOxvBDRu2nMeYh,NA,NA,NA,NA,53.2797,-2.9128,anonymous,EN,1,I pay attention,NA,7,5cc9bc7031164b00011997fa,archeology,5,archeo,3,3,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,4,4,4,5,1
2024-04-11 09:27:49,2024-04-11 09:30:12,0,90.211.45.185,100,143,1,2024-04-11 09:30:13,R_6AMxpio366nttQt,NA,NA,NA,NA,53.4798,-2.3307,anonymous,EN,1,I pay attention,NA,2,5c60501d767686000100150c,archeology,6,archeo,5,4,3,3,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,4,4,0.8
2024-04-11 09:27:57,2024-04-11 09:30:18,0,148.252.145.241,100,140,1,2024-04-11 09:30:18,R_5NOVCSTX5zucXQt,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,1,I pay attention,NA,5,57ea425e5b88f5000106bb9f,archeology,7,archeo,5,2,3,2,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,4,4,0.8
2024-04-11 09:27:51,2024-04-11 09:30:21,0,90.206.148.128,100,150,1,2024-04-11 09:30:22,R_2xVLfhCAoG207qV,NA,NA,NA,NA,51.3724,1.1561,anonymous,EN,1,I pay attention,NA,3,5f0db498f5e4e102c0f65b67,entomology,8,entom,3,4,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,0,0
2024-04-11 09:28:00,2024-04-11 09:30:26,0,143.52.125.156,100,145,1,2024-04-11 09:30:26,R_2tbxKsEsTufkQCJ,NA,NA,NA,NA,53.3615,-1.507,anonymous,EN,1,I Pay Attention,NA,3,6148bd948f9404442c6b70e9,entomology,9,entom,2,4,4,3,TRUE,FALSE,TRUE,TRUE,FALSE,2,4,4,3,0.6
2024-04-11 09:27:52,2024-04-11 09:30:32,0,84.70.237.226,100,159,1,2024-04-11 09:30:32,R_2KqqEMXWsXPvXS0,NA,NA,NA,NA,53.5534,-2.1119,anonymous,EN,1,I pay attention,NA,5,5aead25562ac0e00010974b1,archeology,10,archeo,4,3,3,3,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,4,4,0.8
