Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
661790e2d85be045d2c23f97,5ee4a14b578f8a000b384376,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:38.907000Z,2024-04-11T07:30:49.767000Z,,2024-04-11T07:30:51.628913Z,191,C232A6J3,1441,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790e3617c09f9f246147c,5f0f7fe1d7ad1c000b42d091,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:35.785000Z,2024-04-11T07:31:44.167000Z,,2024-04-11T07:31:51.453692Z,249,C232A6J3,2311,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
661790e95780ea30b90a329d,60f5df9db9380d875c320307,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:37.989000Z,2024-04-11T07:31:26.848000Z,,2024-04-11T07:31:30.777988Z,229,C232A6J3,2343,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790e9653bca139e80340b,5cbe1e098f939c0015c0b9d8,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:44.111000Z,2024-04-11T07:31:03.518000Z,,2024-04-11T07:31:08.801988Z,200,C232A6J3,437,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
661790ea653bca139e80340c,5eb6d09db2c9c85dd30dc94e,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:42.600000Z,2024-04-11T07:30:05.822000Z,,2024-04-11T07:30:09.837787Z,144,C232A6J3,1350,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
661790ec12d0e4b105960cfb,5e2b7ca12f20ff1d0b611a6b,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:42.683000Z,2024-04-11T07:29:54.439000Z,,2024-04-11T07:30:08.877834Z,132,C232A6J3,932,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790ec1824cc47fe7b286d,5d8cb1c93a7d5c00196eae92,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:43.502000Z,2024-04-11T07:34:16.598000Z,,2024-04-11T07:35:42.341618Z,394,C232A6J3,2156,47,Male,Asian,China,United Kingdom,United Kingdom,Chinese,DATA_EXPIRED,Full-Time
661790edaeef1c6c1fe44737,5d1c9d39ff67e3000140ca87,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:53.092000Z,2024-04-11T07:31:05.806000Z,,2024-04-11T07:31:07.888430Z,193,C232A6J3,2137,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
661790eed4841a81db9209ef,57d5ab3a722df500017f3622,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:50.572000Z,2024-04-11T07:31:24.127000Z,,2024-04-11T07:31:27.983291Z,214,C232A6J3,5156,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f029d63b5d1e803a0e,5f0db498f5e4e102c0f65b67,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:47.549000Z,2024-04-11T07:30:22.692000Z,,2024-04-11T07:30:25.233867Z,156,C232A6J3,266,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f12d61ac4543dbf717,5eca536f9aa4f658d641a7d9,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:48.399000Z,2024-04-11T07:34:33.811000Z,,2024-04-11T07:35:54.083342Z,406,C232A6J3,1522,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f1a58f12b581dbd92c,57ea425e5b88f5000106bb9f,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:55.170000Z,2024-04-11T07:30:19.936000Z,,2024-04-11T07:30:20.743826Z,145,C232A6J3,2866,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
661790f263a8d49ef54a2f57,60979bd8bc3e6816ebda7879,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:52.493000Z,2024-04-11T07:29:59.882000Z,,2024-04-11T07:30:01.784187Z,128,C232A6J3,894,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f2930682ea90c907dd,5dd05d80b2204f1487f7812c,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:51.988000Z,2024-04-11T07:31:07.084000Z,,2024-04-11T07:31:10.918629Z,196,C232A6J3,2555,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
661790f35780ea30b90a329f,62e02b26e879244a99e852fa,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:51.699000Z,2024-04-11T07:30:37.850000Z,,2024-04-11T07:30:45.436436Z,167,C232A6J3,1398,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f3617c09f9f2461481,5c60501d767686000100150c,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:47.587000Z,2024-04-11T07:30:14.363000Z,,2024-04-11T07:30:19.487921Z,147,C232A6J3,2267,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
661790f3acce08e196714eae,5aead25562ac0e00010974b1,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:47.203000Z,2024-04-11T07:30:34.641000Z,,2024-04-11T07:30:38.376807Z,168,C232A6J3,1350,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
661790f4ea63bde1ad7fa013,5cec03804a66db00017bb054,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:52.739000Z,2024-04-11T07:31:02.445000Z,,2024-04-11T07:31:05.713054Z,190,C232A6J3,352,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f57132a63f7049359a,5c950bf3bdf5eb0001ced58e,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:59.434000Z,2024-04-11T07:30:37.108000Z,,2024-04-11T07:30:39.195904Z,158,C232A6J3,1762,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f5d9af9c3aa9c62acb,5c4a061161db8c00015e4fb0,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:49.615000Z,2024-04-11T07:32:56.172000Z,,2024-04-11T07:32:59.321051Z,307,C232A6J3,3084,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f63ccdfc0c8119e14b,5d384c97285d1400199a2886,AWAITING REVIEW,Not Applicable,2024-04-11T07:31:36.485000Z,2024-04-11T07:35:14.558000Z,,2024-04-11T07:36:07.617915Z,219,C232A6J3,2223,44,Female,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time
661790f71824cc47fe7b2871,6070388ecc8d1f63c6349b7b,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:54.902000Z,2024-04-11T07:30:47.832000Z,,2024-04-11T07:30:51.132898Z,173,C232A6J3,1506,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f8f201fd46ff574af0,5fa25b62caca4241e07002ef,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:59.956000Z,2024-04-11T07:30:36.592000Z,,2024-04-11T07:30:43.667503Z,157,C232A6J3,472,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
661790f8fac4f39b327dedfc,63da614b401b0405635e3289,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:55.085000Z,2024-04-11T07:31:58.284000Z,,2024-04-11T07:32:00.716151Z,244,C232A6J3,224,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790f923056ded9be93a1c,5c5cad3e4ee81200018eafe2,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:53.272000Z,2024-04-11T07:32:40.232000Z,,2024-04-11T07:32:42.792798Z,287,C232A6J3,4349,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790faa0ba5edae590cfbb,5c8b65c3e65fc600177b4a1a,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:54.227000Z,2024-04-11T07:31:41.175000Z,,2024-04-11T07:31:41.957788Z,227,C232A6J3,1882,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
661790faa58f12b581dbd92d,6148bd948f9404442c6b70e9,AWAITING REVIEW,Not Applicable,2024-04-11T07:27:58.781000Z,2024-04-11T07:30:27.211000Z,,2024-04-11T07:30:29.416262Z,149,C232A6J3,45,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
661790fb7be8b76dac29e896,5cc9bc7031164b00011997fa,AWAITING REVIEW,Not Applicable,2024-04-11T07:28:00.604000Z,2024-04-11T07:30:13.040000Z,,2024-04-11T07:30:15.651372Z,133,C232A6J3,1833,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790fdfac4f39b327dedfe,63ced2f25eb7beb158c802d5,AWAITING REVIEW,Not Applicable,2024-04-11T07:28:03.196000Z,2024-04-11T07:29:36.673000Z,,2024-04-11T07:29:40.755221Z,94,C232A6J3,37,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
661790fed4841a81db9209f4,654fad6bf1d74c86f20dbd99,AWAITING REVIEW,Not Applicable,2024-04-11T07:28:06.372000Z,2024-04-11T07:31:36.229000Z,,2024-04-11T07:31:41.298239Z,210,C232A6J3,241,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
