StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,"entom_clear ",entom_surprise,entom_know,entom_learn,entom_imp,entom_comp,entom_trust,entom_knowledge1,entom_knowledge2,entom_knowledge3,entom_knowledge4,entom_knowledge5,archeo_clear,archeo_surprise,archeo_know,archeo_learn,archeo_knowledge1,archeo_knowledge2,archeo_knowledge3,archeo_knowledge4,archeo_knowledge5,archeo_imp,archeo_comp,archeo_trust,Q1,education,PROLIFIC_PID,discipline
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 4 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",How clear was the text ?,Did the text present any new or surprising information to you?,"After reading this text, do you now think that entomologists have more knowledge than you thought they did before?",How much do you feel you’ve learnt about insects by reading this text?,How impressive did you find the findings of the entomologists described in the text ?,How competent do you think entomologists are?,How much would you trust the discipline of entomologists ?,Which techniques have entomologists used to study flies' visual perception?,What is the order or magnitude of the shorter displays flies can perceive?,Where are the sensitive hairs found on crickets located?,What technique did entomologists use to study the sensitivity of cricket hairs?,"According to the passage, how sensitive are the cricket hairs to air motion changes?",How clear was the text ?,Did the text present any new or surprising information to you?,"After reading this text, do you now think that archeologists have more knowledge than you thought they did before?",How much do you feel you’ve learnt about human history by reading this text?,"According to the text, what can archaeologists determine from examining bones?","According to the text, how do archaeologists determine at what age someone stopped drinking their mother’s milk?","The text mentions nerves that are particularly enlarged in humans compared to apes, which are they?",Why is the canal containing a nerve going from the brain to the thorax enlarged in Neanderthals?,"According to the text, what evidence suggests that most Neanderthals were right-handed?",How impressive did you find the findings of the archaeologists described in the text ?,How competent do you think archaeologists are?,How much would you trust the discipline of archaeologists ?,"Before finishing, please provide the following information. Once you are done, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,PROLIFIC_PID,discipline
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID228""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID147""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID1215358043""}","{""ImportId"":""QID1215358046""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""discipline""}"
2024-04-11 09:28:05,2024-04-11 09:29:34,0,141.195.163.175,100,89,1,2024-04-11 09:29:35,R_15S0Enm0O9pm70W,,,,,51.0075,-3.1015,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,4,4,5,3,0,1,1,1,1,4,4,4,,5,63ced2f25eb7beb158c802d5,archeology
2024-04-11 09:27:43,2024-04-11 09:29:53,0,109.156.76.209,100,129,1,2024-04-11 09:29:54,R_6QtuN4gZnpLDxiV,,,,,51.6485,-0.7801,anonymous,EN,1,I pay attention,4,5,3,5,4,4,4,1,1,1,1,1,,,,,,,,,,,,,,2,5e2b7ca12f20ff1d0b611a6b,entomology
2024-04-11 09:27:55,2024-04-11 09:29:57,0,2.126.175.198,100,122,1,2024-04-11 09:29:57,R_2cjRimlgsWfju6D,,,,,53.7591,-1.5897,anonymous,EN,1,"I pay attention ",5,4,4,4,4,5,5,1,1,0,1,1,,,,,,,,,,,,,,6,60979bd8bc3e6816ebda7879,entomology
2024-04-11 09:27:49,2024-04-11 09:30:03,0,5.68.245.153,100,133,1,2024-04-11 09:30:03,R_6n2GcjnL6ep7qcq,,,,,53.3858,-1.4616,anonymous,EN,1,"I pay attention ",4,5,4,5,4,5,5,0,0,0,0,0,,,,,,,,,,,,,,5,5eb6d09db2c9c85dd30dc94e,entomology
2024-04-11 09:28:03,2024-04-11 09:30:11,0,86.10.222.111,100,127,1,2024-04-11 09:30:12,R_6UOxvBDRu2nMeYh,,,,,53.2797,-2.9128,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,3,3,4,2,1,1,1,1,1,4,4,4,,7,5cc9bc7031164b00011997fa,archeology
2024-04-11 09:27:49,2024-04-11 09:30:12,0,90.211.45.185,100,143,1,2024-04-11 09:30:13,R_6AMxpio366nttQt,,,,,53.4798,-2.3307,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,4,3,3,0,1,1,1,1,4,4,4,,2,5c60501d767686000100150c,archeology
2024-04-11 09:27:57,2024-04-11 09:30:18,0,148.252.145.241,100,140,1,2024-04-11 09:30:18,R_5NOVCSTX5zucXQt,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,2,3,2,0,1,1,1,1,4,4,4,,5,57ea425e5b88f5000106bb9f,archeology
2024-04-11 09:27:51,2024-04-11 09:30:21,0,90.206.148.128,100,150,1,2024-04-11 09:30:22,R_2xVLfhCAoG207qV,,,,,51.3724,1.1561,anonymous,EN,1,I pay attention,3,4,4,5,4,4,4,0,0,0,0,0,,,,,,,,,,,,,,3,5f0db498f5e4e102c0f65b67,entomology
