Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
673756d0dac6c2599d5b268f,66855ff6755a311dada39b28,AWAITING REVIEW,Not Applicable,2024-11-15T14:13:42.193000Z,2024-11-15T14:17:22.339000Z,,2024-11-15T14:17:23.124244Z,221.0,C128HNCS,71,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
673756d562794befce3dc348,64137cf15dfe79e9ff198054,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:42.664000Z,2024-11-15T14:21:35.219000Z,,2024-11-15T14:21:35.977438Z,533.0,C128HNCS,1072,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
673756d5962b334302baa2b4,64f3036a5b5f2feae0b1f51b,AWAITING REVIEW,Not Applicable,2024-11-15T14:13:27.736000Z,2024-11-15T14:18:18.340000Z,,2024-11-15T14:18:19.399735Z,291.0,C128HNCS,900,33,Female,Other,Saint Helena,United Kingdom,United Kingdom,English,No,Other
673756d7136cfc9d0cc46e44,63468b5809bf04222262bfed,AWAITING REVIEW,Not Applicable,2024-11-15T14:13:07.430000Z,2024-11-15T14:21:36.730000Z,,2024-11-15T14:21:37.537372Z,510.0,C128HNCS,2456,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
673756d795aa6be76e37803b,609911e00dd4843e39cb88ac,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:48.942000Z,2024-11-15T14:15:53.756000Z,,2024-11-15T14:15:56.073543Z,185.0,C128HNCS,1530,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
673756d8dbf94da2cb56bec9,55cdc77f34e90600128d237f,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:49.642000Z,2024-11-15T14:15:01.687000Z,,2024-11-15T14:15:34.111969Z,133.0,C128HNCS,1275,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
673756d922c98a1c533bc675,58660808db3e720001e228d9,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:50.242000Z,2024-11-15T14:34:01.725000Z,,2024-11-15T14:34:03.298585Z,1272.0,C128HNCS,1506,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
673756db592039c80e7a118b,5955578c868d3100010cfa1a,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:47.618000Z,2024-11-15T14:16:16.065000Z,,2024-11-15T14:16:16.779638Z,209.0,C128HNCS,2157,41,Female,White,Hungary,United Kingdom,United Kingdom,Hungarian,No,Part-Time
673756dbc31c071c98c88bab,639f294882a3797f77a3dd81,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:57.274000Z,2024-11-15T14:15:37.162000Z,,2024-11-15T14:15:48.673565Z,160.0,C128HNCS,1627,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
673756dc09cfbe3cc17f92cd,665b1c70895ff62a86e1483e,AWAITING REVIEW,Not Applicable,2024-11-15T14:12:59.057000Z,2024-11-15T14:16:22.251000Z,,2024-11-15T14:16:23.670220Z,204.0,C128HNCS,420,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
