StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent1,consent2,attention,archeo_physcomp_t0,archeo_phystrust_t0,archeo_immucomp_t0,archeo_immutrust_t0,archeo_comp_t0,archeo_trust_t0,archeo_recall_t1,archeo_physcomp_t1,archeo_phystrust_t1,archeo_immucomp_t1,archeo_immutrust_t1,archeo_comp_t1,archeo_trust_t1,archeo_impress_t1,entom_physcomp_t0,entom_phystrust_t0,entom_immucomp_t0,entom_immutrust_t0,entom_comp_t0,entom_trust_t0,entom_recall_t1,entom_physcomp_t1,entom_phystrust_t1,entom_immucomp_t1,entom_immutrust_t1,entom_comp_t1,entom_trust_t1,entom_impress_t1,Q1,education,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    This study is divided in two parts. The first part is happening now and will take about 8 minutes. The second part will open on Thursday and will last approximately 5 minutes.   You will be paid for your participation at the posted rate, at the end of each part of the study (provided that you complete the whole questionnaire each time, including demographic questions).  There are no risks involved in this study.    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",Please note that you need to be available on Thursday to complete the second part of the study. Your participation in both parts is essential for the validity of our experiment.,Please answer 'Strongly agree' to this question to show you are paying attention.,How competent do you think molecular physicists are?,How much do you trust the discipline of molecular physicists?,How competent do you think immunologists are?,How much do you trust the discipline of immunologists?,How competent do you think archaeologists are?,How much do you trust the discipline of archaeologists?,"Please write down what you remember from the text you have read on scientific discoveries in archaeology. Don't worry about exact wording, just try to include all the information you can recall.",How competent do you think molecular physicists are?,How much do you trust the discipline of molecular physicists?,How competent do you think immunologists are?,How much do you trust the discipline of immunologists?,How competent do you think archaeologists are?,How much do you trust the discipline of archaeologists?,How impressive did you find the findings of the archaeologists described in the text you have read?,How competent do you think molecular physicists are?,How much do you trust the discipline of molecular physicists?,How competent do you think immunologists are?,How much do you trust the discipline of immunologists?,How competent do you think entomologists are?,How much do you trust the discipline of entomologists?,"Please write down what you remember from the text you have read on scientific discoveries in entomology. Don't worry about exact wording, just try to include all the information you can recall.",How competent do you think molecular physicists are?,How much do you trust the discipline of molecular physicists?,How competent do you think immunologists are?,How much do you trust the discipline of immunologists?,How competent do you think entomologists are?,How much do you trust the discipline of entomologists?,How impressive did you find the findings of the entomologists described in the text you have read?,"Before finishing, please provide the following information. Once you are done, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID313""}","{""ImportId"":""QID314""}","{""ImportId"":""QID311""}","{""ImportId"":""QID312""}","{""ImportId"":""QID291""}","{""ImportId"":""QID292""}","{""ImportId"":""QID315_TEXT""}","{""ImportId"":""QID318""}","{""ImportId"":""QID319""}","{""ImportId"":""QID321""}","{""ImportId"":""QID322""}","{""ImportId"":""QID324""}","{""ImportId"":""QID325""}","{""ImportId"":""QID220""}","{""ImportId"":""QID328""}","{""ImportId"":""QID329""}","{""ImportId"":""QID331""}","{""ImportId"":""QID332""}","{""ImportId"":""QID334""}","{""ImportId"":""QID335""}","{""ImportId"":""QID344_TEXT""}","{""ImportId"":""QID337""}","{""ImportId"":""QID338""}","{""ImportId"":""QID339""}","{""ImportId"":""QID340""}","{""ImportId"":""QID341""}","{""ImportId"":""QID342""}","{""ImportId"":""QID343""}","{""ImportId"":""QID1215358043""}","{""ImportId"":""QID1215358046""}","{""ImportId"":""PROLIFIC_PID""}"
2024-11-26 13:14:57,2024-11-26 13:15:02,0,100,4,1,2024-11-26 13:15:03,R_2Rm5KPYmYcN8WKu,anonymous,EN,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}}
2024-11-26 13:19:28,2024-11-26 13:20:39,0,100,70,1,2024-11-26 13:20:39,R_2rkmqnWGqq7yfxY,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,6,6,6,6,6,,6,6,6,6,6,6,4,,7,6544fdd3809e0919e1ed8deb
2024-11-26 13:19:26,2024-11-26 13:20:50,0,100,83,1,2024-11-26 13:20:51,R_8GkTCM5nKCEYr3x,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,6,6,6,6,6,"a tenths of a second,  ",6,6,6,6,6,6,4,,5,5f4538b6ffe9f50c3cbe3ae1
2024-11-26 13:19:40,2024-11-26 13:21:02,0,100,81,1,2024-11-26 13:21:02,R_82GnD0oiCpGawva,anonymous,EN,1,4,5,7,7,7,7,7,6,,7,7,7,7,7,6,4,,,,,,,,,,,,,,,,6,5f30fff39031820144a7b83f
2024-11-26 13:19:34,2024-11-26 13:21:18,0,100,103,1,2024-11-26 13:21:19,R_8CkfnDKs9Cx4mYh,anonymous,EN,1,4,5,6,4,5,3,4,6,,6,7,4,6,7,6,5,,,,,,,,,,,,,,,,5,66e6d8bf8abc39a66dccd262
2024-11-26 13:19:17,2024-11-26 13:21:21,0,100,124,1,2024-11-26 13:21:22,R_8jeLe5MNzQ21cbH,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,6,6,6,6,6,,6,6,6,6,6,6,4,,5,5eb561131434b1053a77d85d
2024-11-26 13:19:51,2024-11-26 13:21:59,0,100,127,1,2024-11-26 13:22:00,R_8TSNQJ76ZSQsoI5,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,5,6,6,6,5,,6,5,6,6,6,5,4,,5,66bbafb05de7e549455aa4ff
2024-11-26 13:19:55,2024-11-26 13:22:07,0,100,131,1,2024-11-26 13:22:07,R_8pQpMbYN6vbrq4O,anonymous,EN,1,4,5,,,,,,,,,,,,,,,7,7,7,7,7,7,They have conducted research into the sensitivity of the hairs of crickets and the visual perception of flies.,7,7,7,7,7,7,5,,5,5eb7094fbb8ed70b61398cff
2024-11-26 13:20:46,2024-11-26 13:22:12,0,100,86,1,2024-11-26 13:22:13,R_84nKh9lgKN7TvVL,anonymous,EN,1,4,5,6,7,6,7,5,6,,6,7,6,7,6,7,5,,,,,,,,,,,,,,,,5,6320815455d02d8d3d1f9378
2024-11-26 13:20:21,2024-11-26 13:22:22,0,100,120,1,2024-11-26 13:22:22,R_8ogVG9BEU5dHzSp,anonymous,EN,1,4,5,6,6,7,6,6,6,,7,6,7,6,6,6,5,,,,,,,,,,,,,,,,5,63d16bb09fbf6b74afb1a010
2024-11-26 13:20:19,2024-11-26 13:22:59,0,100,160,1,2024-11-26 13:23:00,R_8uKEFarfRI6XF9p,anonymous,EN,1,4,5,,,,,,,,,,,,,,,7,7,7,7,7,7,,7,7,7,7,7,7,5,,2,669d7d04ec742963733a5b35
2024-11-26 13:20:13,2024-11-26 13:23:24,0,100,191,1,2024-11-26 13:23:25,R_8RrjWDDzmt5L4pX,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,5,6,5,6,5,,6,5,6,5,6,5,4,,5,5f47d8f1e974b12169221876
2024-11-26 13:20:12,2024-11-26 13:23:26,0,100,194,1,2024-11-26 13:23:27,R_8zMc3GxashBwpGc,anonymous,EN,1,4,5,7,6,6,6,6,5,,7,6,6,6,6,6,5,,,,,,,,,,,,,,,,2,59e7eb5d62637600014a7db2
2024-11-26 13:19:36,2024-11-26 13:23:41,0,100,244,1,2024-11-26 13:23:41,R_8d0yUiedeQD6I8N,anonymous,EN,1,4,5,6,5,6,5,6,5,"Archaeologists can uncover details like sex, age, and diseases from ancient bones. They can determine when individuals stopped drinking their mother's milk from their teeth. By studying the size of the nerve canal used for breathing, they infer that Neanderthals likely had a form of language, as this canal is larger in humans and Neanderthals than in apes. Tool analysis shows most Neanderthals were right-handed, linking handedness to the evolution of language, suggesting they had communication abilities.",6,5,5,4,6,5,4,,,,,,,,,,,,,,,,4,66b8e2fd7ed9ec6e6bb94a9d
2024-11-26 13:19:55,2024-11-26 13:23:42,0,100,226,1,2024-11-26 13:23:42,R_8N8jSQG9nP31Bna,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,4,6,5,6,4,"how flies brains work,there vision ",6,5,6,6,6,6,5,,3,5cb0d94aff629100171b05b1
2024-11-26 13:20:14,2024-11-26 13:23:52,0,100,218,1,2024-11-26 13:23:53,R_2iaDVOSkN8nUmRy,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,5,6,5,4,4,"Scientists have looked at the microscopic hairs on crickets and have found they are very sensitive, likely the most sensitive organ in the known animal kingdom.",6,5,6,5,4,4,3,,3,672df806e7c2f55e8e2bf477
2024-11-26 13:21:30,2024-11-26 13:24:14,0,100,164,1,2024-11-26 13:24:15,R_8SEF5jpWMfv6LVD,anonymous,EN,1,4,5,5,6,6,6,6,4,,6,5,6,6,5,3,2,,,,,,,,,,,,,,,,7,5aa28d786219a30001f57655
