StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent1,attention,recall_t2,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This is the second part of the study you took part in two days ago. Participation requires that you give your informed consent. Before proceeding, please consider the following information:     This study lasts approximately 5 minutes.   You will be paid for your participation at the posted rate (provided that you complete the whole questionnaire).   There are no risks involved in this study.    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",Please answer 'Somewhat disagree' to this question to show you are paying attention.,"During the first part of the study, two days ago, you read a text on some scientific discoveries.   Please write down what you remember from the information given in the text. Don't worry about exact wording, just try to include all the information you can recall.",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID302""}","{""ImportId"":""QID315_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2024-11-28 13:16:15,2024-11-28 13:17:49,0,100,94,1,2024-11-28 13:17:49,R_2bNnnnafo7n7NNn,anonymous,EN,1,2,"I remember reading about some entomologists, and molecular physicists; the question gave some information about detailed and complex experiments the entomologists had done, and asked if I thought more highly of them afterwards (nice try, entolomologists)",6544fdd3809e0919e1ed8deb
2024-11-28 13:16:35,2024-11-28 13:18:00,0,100,85,1,2024-11-28 13:18:01,R_8zu8MmIIUuOHzsR,anonymous,EN,1,2,"I believe it was to do with a discovery on saturn - to do with some discoveries surrounding geysers, and also some ancient texts",60154af277ec314fd8fe1449
2024-11-28 13:21:36,2024-11-28 13:21:55,0,100,18,1,2024-11-28 13:21:55,R_82fpVoWfFQfsfz8,anonymous,EN,1,1,,667a9bdad0e1a943ee3d04bb
2024-11-28 13:20:56,2024-11-28 13:24:31,0,100,215,1,2024-11-28 13:24:32,R_8pPITTdjUUWNztT,anonymous,EN,1,2,"I am really not sure because I don't actually remember which study it was (sorry!). There is one I remember about some recent discoveries made by entomologists (excuse my spelling!) such as being able to measure the speed at which flies can perceive movement, and also it was either grasshoppers or crickets, and something about how the hairs on their legs could detect extremely small movements in the air.",5e132349b199e49599de669e
2024-11-28 13:21:57,2024-11-28 13:25:25,0,100,207,1,2024-11-28 13:25:25,R_8n6gJiq4b28xcIt,anonymous,EN,1,2,That archaeology can determine from the teeth of a person dead for thousands of years when that person stopped drinking mothers milk and the development of speech from that person's throat muscles. They can also tell from the tools weather people were left or right handed.,66718b56365fa9f7aa5a330b
2024-11-28 13:24:15,2024-11-28 13:25:58,0,100,102,1,2024-11-28 13:25:58,R_2HwEfnzdbdHj03v,anonymous,EN,1,2,I can only remember that it was something to do with insects I think. Really sorry I can't think of anything else.,5eb561131434b1053a77d85d
2024-11-28 13:24:44,2024-11-28 13:26:56,0,100,132,1,2024-11-28 13:26:57,R_8i5mkDYlZEy7mQj,anonymous,EN,1,2,"There was something about insects, but I can't remember any of the details.  I can't remember anything else about the texts that I read.",5f47d8f1e974b12169221876
2024-11-28 13:31:23,2024-11-28 13:32:54,0,100,91,1,2024-11-28 13:32:55,R_2FaWv7UmV0rg5oZ,anonymous,EN,1,2,"I can't remember much at all if I'm honest! I think this might have been the things where scientists had studying the eyes of a fly, in order to understand how much they can actually see?",5eadaff848b26f4483ae62d9
2024-11-28 13:31:45,2024-11-28 13:33:25,0,100,100,1,2024-11-28 13:33:26,R_2EMB5slNBovr7wF,anonymous,EN,1,2,Crickets have microscopic hairs and they are what is believe to be the most senstitive organ in the animal kingdom.,672df806e7c2f55e8e2bf477
2024-11-28 13:31:39,2024-11-28 13:33:53,0,100,134,1,2024-11-28 13:33:53,R_8wMmD4nXlN8nT04,anonymous,EN,1,2," I don't remember anything else except that bugs having a shorter time sense than us? I think the fraction used was 1/24",5f4538b6ffe9f50c3cbe3ae1
2024-11-28 13:33:47,2024-11-28 13:36:04,0,100,137,1,2024-11-28 13:36:04,R_2NEqfiW1OicDEaZ,anonymous,EN,1,2,the interests of how flies see and think and the meanings to them also what different scientists do and how they are persived,5cb0d94aff629100171b05b1
2024-11-28 13:22:35,2024-11-28 13:38:30,0,100,955,1,2024-11-28 13:38:31,R_8VyGfeCVsTepdrJ,anonymous,EN,1,2,"Sorry but to be honest, I now don't remember the text or the details of that specific study. I didn't know I will be asked this in the second round after 2 days. I complete many studies to it's hard to remember once you have done else I would have noted those details.   As far as I remember or recall, it was related to Atom learning and discoveries. There was something about DNA tests as well.   If this doesn't help I would request you to please ask me to return my study rather than rejecting any. It really impacts our accounts even with 1 rejection and I don't get any studies after that. I've got 0 rejections so far in my 483 submissions that suggests I do all my studies honestly and never failed but this one I truly don't remember apart from 2 points I mentioned above. I appreciate your understanding on this matter.   Thank you",66a17da1bbd16ce87902e439
2024-11-28 13:37:20,2024-11-28 13:38:48,0,100,88,1,2024-11-28 13:38:49,R_8QzpobaJH56HGqU,anonymous,EN,1,2,it was about the difference between male and female animals such as their size and strength.  I am not completely sure if this was relating to this study or not,647869e6f69318bacc341d53
2024-11-28 13:36:46,2024-11-28 13:39:41,0,100,175,1,2024-11-28 13:39:42,R_8gqTKdY407SMLjX,anonymous,EN,1,2,"I don't remember much apart from details about what scientists, archaeologists and scientists who study about dna do in their respective fields. The survey asked me to vote of my trust in these scientists before and after reading what they do in their respective fields. ",6320815455d02d8d3d1f9378
2024-11-28 13:37:47,2024-11-28 13:47:24,0,100,576,1,2024-11-28 13:47:24,R_8cXI07Gxx6NtjF7,anonymous,EN,1,2,"Archaeologists can extract information from human bones and teeth. For example teeth can inform us at what age and individual stopped receiving mothers milk.  The  nerve that controls breathing is larger in  Humans and Neanderthals than other mammals. Archaeologists postulate that this is related to development of speech, and that Neanderthals also evolved speech.  Handedness can be inferred by the design and wear  of artefacts and tools used by Neanderthals. Handedness itself is thought to be connected to the evolution of language and Archaeologists propose that Neanderthals like Humans were mostly right handed and hence that they had also developed language.  ",66d9cd06e207a93377f7820e
2024-11-28 13:47:49,2024-11-28 13:48:59,0,100,70,1,2024-11-28 13:49:00,R_2w0a3VXjeOsNQbv,anonymous,EN,1,2,"Discoveries about health, can’t remember what is was specifically as I’ve been busy at work since and forgot.",63d16bb09fbf6b74afb1a010
2024-11-28 13:49:37,2024-11-28 13:51:57,0,100,139,1,2024-11-28 13:51:57,R_8KeGzjY8uXpfOOb,anonymous,EN,1,2,"I cannot remember. Possibly something to do with geology, or I could be getting mixed up with a different survey.",59e7eb5d62637600014a7db2
2024-11-28 13:59:47,2024-11-28 14:04:32,0,100,284,1,2024-11-28 14:04:33,R_2bHqiCSRhyuiI4X,anonymous,EN,1,2,"I apologise but I cannot remember exactly what the scientific discoveries were in the study done on Tuesday. ",5ea0516dee594a000932857a
