Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6745bcb7a5422d9e10d2b832,5eb561131434b1053a77d85d,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:14.129000Z,2024-11-26T12:21:24.758000Z,,2024-11-26T12:21:25.501076Z,131.0,CG5J2383,1877,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6745bcc4d85d2cbd55c047f1,5f4538b6ffe9f50c3cbe3ae1,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:24.723000Z,2024-11-26T12:20:55.173000Z,,2024-11-26T12:20:56.019116Z,91.0,CG5J2383,558,24,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcc8928ae3118a70338a,5f30fff39031820144a7b83f,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:38.001000Z,2024-11-26T12:21:12.957000Z,,2024-11-26T12:21:13.713447Z,95.0,CG5J2383,1236,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6745bcc9270f05a53b508b6d,667a9bdad0e1a943ee3d04bb,AWAITING REVIEW,Not Applicable,2024-11-26T12:21:32.629000Z,2024-11-26T12:30:22.936000Z,,2024-11-26T12:30:23.692442Z,531.0,CG5J2383,469,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcc9313bc03f80d2b89a,66718b56365fa9f7aa5a330b,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:32.003000Z,2024-11-26T12:27:00.275000Z,,2024-11-26T12:27:02.072789Z,449.0,CG5J2383,396,62,Male,White,Canada,United Kingdom,United Kingdom,English,No,Part-Time
6745bccaece801914d44b043,6544fdd3809e0919e1ed8deb,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:27.299000Z,2024-11-26T12:20:42.774000Z,,2024-11-26T12:20:43.331182Z,76.0,CG5J2383,331,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bccb1765952646768778,5eadaff848b26f4483ae62d9,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:35.077000Z,2024-11-26T12:24:40.802000Z,,2024-11-26T12:25:31.352199Z,306.0,CG5J2383,4179,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bccc1f704ff46b67c583,66d9cd06e207a93377f7820e,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:55.192000Z,2024-11-26T12:29:29.282000Z,,2024-11-26T12:29:29.914513Z,575.0,CG5J2383,257,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6745bccdadf09cb78b51a12e,66b8e2fd7ed9ec6e6bb94a9d,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:33.548000Z,2024-11-26T12:23:45.438000Z,,2024-11-26T12:25:28.287617Z,252.0,CG5J2383,253,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcced5198599fec4bea2,66e6d8bf8abc39a66dccd262,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:32.961000Z,2024-11-26T12:21:21.103000Z,,2024-11-26T12:21:21.873459Z,109.0,CG5J2383,45,18,Male,White,Italy,United Kingdom,United Kingdom,Italian,Yes,Due to start a new job within the next month
6745bcd51d4a3a8f80ac5792,63cd461c5f597e27b2a054fb,AWAITING REVIEW,Not Applicable,2024-11-26T12:20:08.173000Z,2024-11-26T12:25:11.260000Z,,2024-11-26T12:25:40.717219Z,304.0,CG5J2383,1734,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6745bcd52420b5d227679de4,671bee185e23f895f7fa6b7d,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:33.568000Z,2024-11-26T12:31:02.396000Z,,2024-11-26T12:31:02.979444Z,689.0,CG5J2383,57,32,Male,White,Kenya,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6745bcd7c7784c7fc2d47ecf,5e132349b199e49599de669e,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:44.190000Z,2024-11-26T12:24:51.005000Z,,2024-11-26T12:25:31.944647Z,307.0,CG5J2383,2203,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6745bcd7ece801914d44b049,5cb0d94aff629100171b05b1,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:51.941000Z,2024-11-26T12:23:46.439000Z,,2024-11-26T12:25:28.297673Z,235.0,CG5J2383,1182,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6745bcd86ba61bd53ec1c8d0,63d16bb09fbf6b74afb1a010,AWAITING REVIEW,Not Applicable,2024-11-26T12:20:17.908000Z,2024-11-26T12:22:24.704000Z,,2024-11-26T12:25:22.801757Z,127.0,CG5J2383,1723,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcd9350546d20dd72fb7,66a17da1bbd16ce87902e439,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:53.644000Z,2024-11-26T12:28:15.241000Z,,2024-11-26T12:28:15.754742Z,502.0,CG5J2383,355,43,Female,Asian,India,United Kingdom,United Kingdom,English,No,Full-Time
6745bcda8192d6a0625d5786,5f47d8f1e974b12169221876,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:55.638000Z,2024-11-26T12:23:29.301000Z,,2024-11-26T12:25:27.097444Z,214.0,CG5J2383,1498,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcdac9694f8f0a1d98af,5c5844d8dd470300014ee3f1,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:46.178000Z,2024-11-26T12:29:58.925000Z,,2024-11-26T12:29:59.609231Z,613.0,CG5J2383,1075,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6745bcdc2170b3e92d107819,5ea0516dee594a000932857a,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:40.986000Z,2024-11-26T12:28:46.275000Z,,2024-11-26T12:28:47.276161Z,546.0,CG5J2383,1939,63,Female,White,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
6745bcdcdb4cd0af0d6125d3,60154af277ec314fd8fe1449,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:48.520000Z,2024-11-26T12:24:27.870000Z,,2024-11-26T12:25:31.261213Z,280.0,CG5J2383,223,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcdd462b738831679e94,5f01ea96d68caf0539cc6967,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:51.179000Z,2024-11-26T12:25:37.808000Z,,2024-11-26T12:25:50.495555Z,347.0,CG5J2383,1401,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcdf016d8a207e1e34e3,59e7eb5d62637600014a7db2,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:43.375000Z,2024-11-26T12:23:30.130000Z,,2024-11-26T12:25:27.408002Z,227.0,CG5J2383,1517,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6745bce035e0105bfa28710e,5eb7094fbb8ed70b61398cff,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:53.703000Z,2024-11-26T12:22:12.694000Z,,2024-11-26T12:25:21.824652Z,139.0,CG5J2383,2612,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6745bce055c36c15b54ddb95,672df806e7c2f55e8e2bf477,AWAITING REVIEW,Not Applicable,2024-11-26T12:20:06.798000Z,2024-11-26T12:23:55.799000Z,,2024-11-26T12:25:28.845056Z,230.0,CG5J2383,69,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6745bce17934cf8479d730ac,5aa28d786219a30001f57655,AWAITING REVIEW,Not Applicable,2024-11-26T12:20:11.565000Z,2024-11-26T12:24:17.250000Z,,2024-11-26T12:25:30.289220Z,246.0,CG5J2383,1302,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bce21ff912505cc69631,66b77018a67f089ba7d23581,AWAITING REVIEW,Not Applicable,2024-11-26T12:26:12.354000Z,2024-11-26T12:45:07.855000Z,,2024-11-26T12:45:08.816088Z,1136.0,C13O88EG,63,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bce267f2179b15bc951e,66bbafb05de7e549455aa4ff,AWAITING REVIEW,Not Applicable,2024-11-26T12:19:46.672000Z,2024-11-26T12:22:03.335000Z,,2024-11-26T12:25:21.270448Z,137.0,CG5J2383,377,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bcefcdbce8f15c57b37f,669d7d04ec742963733a5b35,AWAITING REVIEW,Not Applicable,2024-11-26T12:20:16.979000Z,2024-11-26T12:23:03.899000Z,,2024-11-26T12:25:25.586716Z,167.0,CG5J2383,308,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6745bd09b682d77d36a411e1,6320815455d02d8d3d1f9378,AWAITING REVIEW,Not Applicable,2024-11-26T12:20:44.802000Z,2024-11-26T12:22:14.985000Z,,2024-11-26T12:25:21.789691Z,91.0,CG5J2383,372,24,Male,Asian,Hong Kong,United Kingdom,United Kingdom,Cantonese,No,Full-Time
6745c9ece120f689deeb3c46,647869e6f69318bacc341d53,AWAITING REVIEW,Not Applicable,2024-11-26T13:15:39.482000Z,2024-11-26T13:17:42.304000Z,,2024-11-26T13:17:44.600475Z,123.0,CG5J2383,1239,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
