paperID,reference,ref,intervention_study,comments_intervention_selection,comments,peer_reviewed,sampleID, country,design,online,pre_test,details_pretest,recycled_news,recycled_news_reference,news_selection,selection_fake_news,selection_true_news,news_family,newsID,n_news,n_news_pool,share_true_news,news_format,news_source,accuracy_measure,accuracy_measure_detailed,symetry,perfect_symetry,accuracy_scale,condition,treatment_intention,intervention,intervention_detail,experimentID,correlates,correlates_detail,n,mean_fake_as_accurate,SD_fake_as_accurate,mean_true_as_accurate,SD_true_as_accurate,values_from,panel
1,"Altay, S., de Araujo, E., & Mercier, H. (2022). “If This account is True, It is Most Enormously Wonderful”: Interestingness-If-True and the Sharing of True and False News. Digital Journalism, 10(3), 373–394. https://doi.org/10.1080/21670811.2021.1941163",Altay 2022,,,"data correspond to experiment 1
did not entirely rely on the news of Pennycook et al. (2020) because some of them were outdated.",yes,1,United States,within,yes,no,,recycled,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention. 11.",researchers,fact_checking,mainstream,covid,1,10,,0.5,title_picture_pitch,nosource,accuracy,"we measured how accurate participants deemed the headlines using
the same accuracy question as Pennycook and Rand (2018): “To the best of your knowledge,
how accurate is the claim in the above headline?” (1[Not at all accurate], 2[Not very accurate],
3[Somewhat accurate], 4[Very accurate])",1,0,4,control,,,,,,,299,1.99,0.89,2.71,0.88,paper,no
1,"Altay, S., de Araujo, E., & Mercier, H. (2022). “If This account is True, It is Most Enormously Wonderful”: Interestingness-If-True and the Sharing of True and False News. Digital Journalism, 10(3), 373–394. https://doi.org/10.1080/21670811.2021.1941163",Altay 2022,,,"data correspond to experiment 2
did not entirely rely on the news of Pennycook et al. (2020) because some of them were outdated.",yes,2,United States,within,yes,no,,recycled,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention. 11.",researchers,fact_checking,mainstream,covid,2,10,,0.5,title_picture_pitch,nosource,accuracy,"we measured how accurate participants deemed the headlines using
the same accuracy question as Pennycook and Rand (2018): “To the best of your knowledge,
how accurate is the claim in the above headline?” (1[Not at all accurate], 2[Not very accurate],
3[Somewhat accurate], 4[Very accurate])",1,0,4,control,,,,,,,299,2.04,0.88,2.74,0.83,paper,no
1,"Altay, S., de Araujo, E., & Mercier, H. (2022). “If This account is True, It is Most Enormously Wonderful”: Interestingness-If-True and the Sharing of True and False News. Digital Journalism, 10(3), 373–394. https://doi.org/10.1080/21670811.2021.1941163",Altay 2022,,,"data correspond to experiment 3
did not entirely rely on the news of Pennycook et al. (2020) because some of them were outdated.",yes,3,United States,within,yes,no,,recycled,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention. 11.",researchers,fact_checking,mainstream,covid,3,10,,0.5,title_picture_pitch,nosource,accuracy,"we measured how accurate participants deemed the headlines using
the same accuracy question as Pennycook and Rand (2018): “To the best of your knowledge,
how accurate is the claim in the above headline?” (1[Not at all accurate], 2[Not very accurate],
3[Somewhat accurate], 4[Very accurate])",1,0,4,control,,,,,,,299,1.98,0.88,2.76,1.99,paper,no
2,"Lutzke, L., Drummond, C., Slovic, P., & Árvai, J. (2019). Priming critical thinking: Simple interventions limit the influence of fake news about climate change on Facebook. Global Environmental Change, 58, 101964. https://doi.org/10.1016/j.gloenvcha.2019.101964",Lutzke 2019,yes,"We merge both the treatment conditions (literacy and enhanced literacy), since they are sufficiently similar","values for  taken from Table 2; 
sample size aggregated by condition, values from Table 1;
Regarding False news selection: We confirmed that the Breitbart (Now 400 scientific papers in 2017 say “global warming” is a myth) and Natural News (NASA confirms sea levels have been falling across the planet for two years...media silent) posts contained falsehoods by cross-checking them with an independent fact-checking database (snopes.com). The post from InfoWars (Al Gore insists global warming causes global cooling) was confirmed as false by tracing the sources and information it cited; specifically, we located the blog post shared by Mr. Gore (from The Climate Reality Project) which explained that climate change may in some cases lead to colder weather, but not a cooler climate overall.",yes,1,United States,between,yes,no,,original,,researchers,hyper_partisan_sites,mainstream,environment_climate,1,6,,0.5,title_picture_pitch,source,trust,"After reviewing their randomly assigned post, participants were
asked to rate its trustworthiness on a 10-point scale from 1 (not at all
trustworthy) to 10 (very trustworthy). Participants also rated each post
in terms of perceived accuracy on a 10-point scale from 1 (not at all
accurate) to 10 (very accurate). Judged trustworthiness and accuracy
were combined to create a single item index variable for trust
(Cronbach’s α=0.93).",1,0,10,control,,,,1,,,934,4.28,2.55,6.38,2.34,paper,no
2,"Lutzke, L., Drummond, C., Slovic, P., & Árvai, J. (2019). Priming critical thinking: Simple interventions limit the influence of fake news about climate change on Facebook. Global Environmental Change, 58, 101964. https://doi.org/10.1016/j.gloenvcha.2019.101964",Lutzke 2019,yes,"We merge both the treatment conditions (literacy and enhanced literacy), since they are sufficiently similar","values for  taken from Table 2; 
sample size aggregated by condition, values from Table 1;
Regarding False news selection: We confirmed that the Breitbart (Now 400 scientific papers in 2017 say “global warming” is a myth) and Natural News (NASA confirms sea levels have been falling across the planet for two years...media silent) posts contained falsehoods by cross-checking them with an independent fact-checking database (snopes.com). The post from InfoWars (Al Gore insists global warming causes global cooling) was confirmed as false by tracing the sources and information it cited; specifically, we located the blog post shared by Mr. Gore (from The Climate Reality Project) which explained that climate change may in some cases lead to colder weather, but not a cooler climate overall.",yes,2,United States,between,yes,no,,original,,researchers,hyper_partisan_sites,mainstream,environment_climate,1,6,,0.5,title_picture_pitch,source,trust,"After reviewing their randomly assigned post, participants were
asked to rate its trustworthiness on a 10-point scale from 1 (not at all
trustworthy) to 10 (very trustworthy). Participants also rated each post
in terms of perceived accuracy on a 10-point scale from 1 (not at all
accurate) to 10 (very accurate). Judged trustworthiness and accuracy
were combined to create a single item index variable for trust
(Cronbach’s α=0.93).",1,0,10,treatment,positive,literacy,"In the Guidelines condition, participants were informed that they
would view a Facebook post about climate change. Next, they were
asked to consider a series of four questions (i.e., the guidelines) that
would help them to evaluate the credibility of news online. The questions
were: (1) Do I recognize the news organization that posted the story?;
(2) Does the information in the post seem believable?; (3) Is the post written
in a style that I expect from a professional news organization?; and (4) Is the
post politically motivated? These guidelines reflected common recommendations
for identifying fake news",1,,,917,3.93,2.6,6.69,2.4,paper,no
2,"Lutzke, L., Drummond, C., Slovic, P., & Árvai, J. (2019). Priming critical thinking: Simple interventions limit the influence of fake news about climate change on Facebook. Global Environmental Change, 58, 101964. https://doi.org/10.1016/j.gloenvcha.2019.101964",Lutzke 2019,yes,"We merge both the treatment conditions (literacy and enhanced literacy), since they are sufficiently similar","values for  taken from Table 2; 
sample size aggregated by condition, values from Table 1;
Regarding False news selection: We confirmed that the Breitbart (Now 400 scientific papers in 2017 say “global warming” is a myth) and Natural News (NASA confirms sea levels have been falling across the planet for two years...media silent) posts contained falsehoods by cross-checking them with an independent fact-checking database (snopes.com). The post from InfoWars (Al Gore insists global warming causes global cooling) was confirmed as false by tracing the sources and information it cited; specifically, we located the blog post shared by Mr. Gore (from The Climate Reality Project) which explained that climate change may in some cases lead to colder weather, but not a cooler climate overall.",yes,3,United States,between,yes,no,,original,,researchers,hyper_partisan_sites,mainstream,environment_climate,1,6,,0.5,title_picture_pitch,source,trust,"After reviewing their randomly assigned post, participants were
asked to rate its trustworthiness on a 10-point scale from 1 (not at all
trustworthy) to 10 (very trustworthy). Participants also rated each post
in terms of perceived accuracy on a 10-point scale from 1 (not at all
accurate) to 10 (very accurate). Judged trustworthiness and accuracy
were combined to create a single item index variable for trust
(Cronbach’s α=0.93).",1,0,10,treatment,positive,literacy,"In the Enhanced Guidelines condition, participants were also informed that they would view a Facebook post about climate change, 
and they were also asked to consider the same four questions from the Guidelines condition. But, participants in this condition 
were also asked to rate the importance of each guideline (on a 1–10 scale from not at all important to very important) in terms 
of its ability to help them evaluate the credibility of news online.",1,,,899,4.03,2.44,6.6,2.27,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  control condition here: Novel (i.e. no familiarized) politically concordant news with no warning of 3rd fact checker sites",yes,1,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_concordant,1,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,control,,,,1,,,474.5,1.78,0.6,2.83,0.7,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  control condition here: Novel (i.e. no familiarized) politically discordant news with no warning of 3rd fact checker sites",yes,1,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_discordant,2,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,control,,,,2,,,474.5,1.6,0.5,2.39,0.6,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  treatment condition here: Familiarized politically concordant news with no warning of 3rd fact checker sites",yes,1,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_concordant,3,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,treatment,neutral,familiarization,"""In the familiarization stage, participants engaged with the news headlines in an ecologically valid way: they indicated whether they would share each headline on social media. Specifically, participants were asked “Would you consider sharing this story online (for example, through Facebook or Twitter)?"" The participants then advanced to the distractor stage, in which they completed a set of filler demographic questions.”;
as far as we can tell, participants have not been given any feedback in the first wave - hence we code treatment_intention as neutral",,,,474.5,1.93,0.7,2.98,0.6,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  treatment condition here: Familiarized politically discordant news with no warning of 3rd fact checker sites",yes,1,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_discordant,4,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,treatment,neutral,familiarization,"""In the familiarization stage, participants engaged with the news headlines in an ecologically valid way: they indicated whether they would share each headline on social media. Specifically, participants were asked “Would you consider sharing this story online (for example, through Facebook or Twitter)?"" The participants then advanced to the distractor stage, in which they completed a set of filler demographic questions.”;
as far as we can tell, participants have not been given any feedback in the first wave - hence we code treatment_intention as neutral",,,,474.5,1.72,0.6,2.5,0.6,paper,no
