reference,screening,extent,Reason,Additional Reason,Additional remarks
"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",full text,partly,criterion_5,,experiment 1 and 3 rejected
"Pennycook, G., & Rand, D. G. (2020). Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. Journal of Personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476",full text,partly,criterion_4.1,,experiment 1 rejected because measures fake news only
"Pennycook, G., & Rand, D. G. (2019). Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning. Cognition, 188, 39–50. https://doi.org/10.1016/j.cognition.2018.06.011",full text,partly,criterion_1,,data from experiment 1 has already been used reported a in Pennycook and Rand (2020) 'Who falls for fake news' and hence taken into account here already. It's therefore rejected.
"Pennycook, G., Bear, A., Collins, E. T., & Rand, D. G. (2020). The Implied Truth Effect: Attaching Warnings to a Subset of Fake News Headlines Increases Perceived Accuracy of Headlines Without Warnings. Management Science, 66(11), 4944–4957. https://doi.org/10.1287/mnsc.2019.3478",full text,fully,criterion_1,criterion_4,"data from experiment 1 has already been used reported a in Pennycook and Rand (2019) 'Lazy, not biased', study 2, and hence taken into account here already. It's therefore rejected.

experiment two focuses on sharing intentions, hence rejected"
"Mena, P., Barbe, D., & Chan-Olmsted, S. (2020). Misinformation on Instagram: The Impact of Trusted Endorsements on Message Credibility. Social Media + Society, 6(2), 205630512093510. https://doi.org/10.1177/2056305120935102",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those
"Kluck, J. P. ., Schaewitz, L., & Krämer, N. C. . (2019). Doubters are more convincing than advocates. The impact of user comments and ratings on credibility perceptions of false news stories on social media. Studies in Communication and Media, 8(4), 446–470. https://doi.org/10.5771/2192-4007-2019-4-446",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those
"Schaewitz, L., Kluck, J. P., Klösters, L., & Krämer, N. C. (2020). When is Disinformation (In)Credible? Experimental Findings on Message Characteristics and Individual Differences. Mass Communication and Society, 23(4), 484–509. https://doi.org/10.1080/15205436.2020.1716983",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those
"Kim, A., & Dennis, A. R. (2019). Says Who? The Effects of Presentation Format and Source Rating on Fake News in Social Media. MIS Quarterly, 43(3), 1025–1039. https://doi.org/10.25300/MISQ/2019/15188",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those
"Jones-Jang, S. M., Mortensen, T., & Liu, J. (2021). Does Media Literacy Help Identification of Fake News? Information Literacy Helps, but Other Literacies Don’t. American Behavioral Scientist, 65(2), 371–388. https://doi.org/10.1177/0002764219869406",full text,fully,criterion_2,criterion_4.1,"does not measure accuracy for fake and true news seperatly;
also doesn't provide relevant descriptive stats"
"Fernández-López, M., & Perea, M. (2020). Language does not modulate fake news credibility, but emotion does. Psicológica Journal, 41(2), 84–102. https://doi.org/10.2478/psicolj-2020-0005",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those
