screening,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
,1001,"G Pennycook, TD Cannon, DG Rand",Prior exposure increases perceived accuracy of fake news.,2018,Journal of experimental …,psycnet.apa.org,https://psycnet.apa.org/record/2018-46919-001,"https://scholar.google.com/scholar?cites=5449145933178933069&as_sdt=2005&sciodt=0,5&hl=en",1,3/2/23 10:43,,,,,,,,,1001,200.20,334,3,5,"… We next sought to assess the robustness of our finding that repetition increases perceptions of fake news accuracy by making two important changes to the design of Study 2. First, we …",https://psycnet.apa.org/manuscript/2018-46919-001.pdf,"https://scholar.google.com/scholar?q=related:TQ9l_FpBn0sJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,239,N Rochlin,Fake news: belief in post-truth,2017,Library hi tech,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/LHT-03-2017-0062/full/html,"https://scholar.google.com/scholar?cites=16721427312942353642&as_sdt=2005&sciodt=0,5&hl=en",2,3/2/23 10:43,,10.1108/LHT-03-2017-0062,,,,,,,239,39.83,239,1,6,"… combat the epidemic of fake news – compiling lists of fake news sites, flagging … fake news – show a fundamental misunderstanding of the issue. The misunderstanding is that fake news …",,"https://scholar.google.com/scholar?q=related:6oxxFYxxDugJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,227,"C Martel, G Pennycook, DG Rand",Reliance on emotion promotes belief in fake news,2020,Cognitive research: principles and …,Springer,https://link.springer.com/article/10.1186/s41235-020-00252-3,"https://scholar.google.com/scholar?cites=15276658714213199970&as_sdt=2005&sciodt=0,5&hl=en",3,3/2/23 10:43,HTML,10.1186/s41235-020-00252-3,,,,,,,227,75.67,76,3,3,"… of fake news on the average Americans’ overall media consumption, fake news may still impact the belief in … Here, we explore the psychology underlying belief in blatantly false (and …",https://link.springer.com/article/10.1186/s41235-020-00252-3,"https://scholar.google.com/scholar?q=related:YrCNTymYAdQJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,41,"K Bryanov, V Vziatysheva",Determinants of individuals' belief in fake news: A scoping review determinants of belief in fake news,2021,PLoS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253717,"https://scholar.google.com/scholar?cites=3674502151914498338&as_sdt=2005&sciodt=0,5&hl=en",4,3/2/23 10:43,HTML,,,,,,,,41,20.50,21,2,2,… to fake news can … accuracy-promoting interventions such as warnings or nudges priming individuals to think about information veracity can impact judgements about fake news credibility…,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253717,"https://scholar.google.com/scholar?q=related:IqlFIz10_jIJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,21,"JP Baptista, E Correia, A Gradim, V Piñeiro-Naval",The influence of political ideology on fake news belief: The Portuguese case,2021,Publications,mdpi.com,https://www.mdpi.com/1127140,"https://scholar.google.com/scholar?cites=15611168029088398493&as_sdt=2005&sciodt=0,5&hl=en",5,3/2/23 10:43,,,,,,,,,21,10.50,5,4,2,"… persuasion with the belief and spread of fake news is the object of … The results show the belief and dissemination of (fake) news … fake news, regardless of whether it is pro-left or pro-right …",https://www.mdpi.com/2304-6775/9/2/23/pdf,"https://scholar.google.com/scholar?q=related:nby_ZpwCptgJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,309,"AM Guess, M Lerner, B Lyons, ...",A digital media literacy intervention increases discernment between mainstream and false news in the United States and India,2020,Proceedings of the …,National Acad Sciences,https://www.pnas.org/doi/abs/10.1073/pnas.1920498117,"https://scholar.google.com/scholar?cites=18184641724017888888&as_sdt=2005&sciodt=0,5&hl=en",6,3/2/23 10:43,,10.1073/pnas.1920498117,,,,,,,309,103.00,77,4,3,… “tips” on how to spot false news to people in 14 countries. Our … perceived accuracy of both mainstream and false news head… improved discernment between mainstream and false news …,https://www.pnas.org/syndication/doi/10.1073/pnas.1920498117,"https://scholar.google.com/scholar?q=related:eE7VN03TXPwJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,70,"N Sitaula, CK Mohan, J Grygiel, X Zhou, ...",Credibility-based fake news detection,2020,… fake news in social media …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-42699-6_9,"https://scholar.google.com/scholar?cites=12037902865198137871&as_sdt=2005&sciodt=0,5&hl=en",7,3/2/23 10:43,,10.1007/978-3-030-42699-6_9,,,,,,,70,23.33,14,5,3,"… analysis of credibility based on the source of the news and Sect. 5 details credibility factors … on source and content credibility, we build predictive models to detect fake news, which we …",https://arxiv.org/pdf/1911.00643,"https://scholar.google.com/scholar?q=related:D8LKWOA4D6cJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,38,"B Bharali, AL Goswami","Fake news: Credibility, cultivation syndrome and the new age media",2017,Media watch,indianjournals.com,https://www.indianjournals.com/ijor.aspx?target=ijor:mw&volume=9&issue=1&article=009,"https://scholar.google.com/scholar?cites=9159136970975786693&as_sdt=2005&sciodt=0,5&hl=en",8,3/2/23 10:43,,,,,,,,,38,6.33,19,2,6,"… , attempts have been made by theorists to define the fake news syndrome. We call it as syndrome, as fake news has certain associated characteristics like short life span of fake news …",https://hcommons.org/deposits/view/hc:39744/CONTENT/fake-news-credibility-cultivation-syndrome.pdf/,"https://scholar.google.com/scholar?q=related:xbYoRIzKG38J:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,12,"T Diehl, S Lee","Testing the cognitive involvement hypothesis on social media:'News finds me'perceptions, partisanship, and fake news credibility",2022,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563221004441,"https://scholar.google.com/scholar?cites=1431723486743753003&as_sdt=2005&sciodt=0,5&hl=en",9,3/2/23 10:43,,,,,,,,,12,12.00,6,2,1,"… a role in one's ability to correctly identify fake news. Since high NFMP individuals lack the … the credibility of fake news headlines, b) the NFMP and credibility assessments of fake news, …",,"https://scholar.google.com/scholar?q=related:K_Hx8-yA3hMJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,339,"B Bago, DG Rand, G Pennycook","Fake news, fast and slow: Deliberation reduces belief in false (but not true) news headlines.",2020,Journal of experimental …,psycnet.apa.org,https://psycnet.apa.org/doiLanding?doi=10.1037/xge0000729,"https://scholar.google.com/scholar?cites=754969678274595315&as_sdt=2005&sciodt=0,5&hl=en",10,3/2/23 10:43,,10.1037/xge0000729,,,,,,,339,113.00,113,3,3,"… Our data suggest that, in the context of fake news, deliberation facilitates accurate belief … that promotes belief in fake news, while deliberation results in greater truth discernment (…",https://dspace.mit.edu/bitstream/handle/1721.1/130414/manuscript_fake_new_fast_slow_01.07.pdf?sequence=2&isAllowed=y,"https://scholar.google.com/scholar?q=related:84m_IewwegoJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
