paperID,reference
1,"altay, s., de araujo, e., & mercier, h. (2022). “if this account is true, it is most enormously wonderful”: interestingness-if-true and the sharing of true and false news. digital journalism, 10(3), 373–394. https://doi.org/10.1080/21670811.2021.1941163"
2,"lutzke, l., drummond, c., slovic, p., & árvai, j. (2019). priming critical thinking: simple interventions limit the influence of fake news about climate change on facebook. global environmental change, 58, 101964. https://doi.org/10.1016/j.gloenvcha.2019.101964"
3,"pennycook, g., cannon, t. d., & rand, d. g. (2018). prior exposure increases perceived accuracy of fake news. journal of experimental psychology: general, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465"
4,"pennycook, g., & rand, d. g. (2020). who falls for fake news? the roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. journal of personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476"
5,"bronstein, m. v., pennycook, g., bear, a., rand, d. g., & cannon, t. d. (2019). belief in fake news is associated with delusionality, dogmatism, religious fundamentalism, and reduced analytic thinking. journal of applied research in memory and cognition, 8(1), 108–117. https://doi.org/10.1016/j.jarmac.2018.09.005"
6,"pennycook, g., & rand, d. g. (2019). lazy, not biased: susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning. cognition, 188, 39–50. https://doi.org/10.1016/j.cognition.2018.06.011"
7,"guess, a. m., lerner, m., lyons, b., montgomery, j. m., nyhan, b., reifler, j., & sircar, n. (2020). a digital media literacy intervention increases discernment between mainstream and false news in the united states and india. proceedings of the national academy of sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117"
8,"pennycook, g., mcphetres, j., zhang, y., lu, j. g., & rand, d. g. (2020). fighting covid-19 misinformation on social media: experimental evidence for a scalable accuracy-nudge intervention. 11."
9,"clayton, k., blair, s., busam, j. a., forstner, s., glance, j., green, g., kawata, a., kovvuri, a., martin, j., morgan, e., sandhu, m., sang, r., scholz-bright, r., welch, a. t., wolff, a. g., zhou, a., & nyhan, b. (2020). real solutions for fake news? measuring the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media. political behavior, 42(4), 1073–1095. https://doi.org/10.1007/s11109-019-09533-0"
10,"luo, m., hancock, j. t., & markowitz, d. m. (2022). credibility perceptions and detection accuracy of fake news headlines on social media: effects of truth-bias and endorsement cues. communication research, 49(2), 171–195. https://doi.org/10.1177/0093650220921321"
11,"bago, b., rand, d. g., & pennycook, g. (2020). fake news, fast and slow: deliberation reduces belief in false (but not true) news headlines. journal of experimental psychology: general, 149(8), 1608–1613. https://doi.org/10.1037/xge0000729"
12,"bago, b., rosenzweig, l. r., berinsky, a. j., & rand, d. g. (2022). emotion may predict susceptibility to fake news but emotion regulation does not seem to help. cognition and emotion, 1–15. https://doi.org/10.1080/02699931.2022.2090318"
13,"martel, c., pennycook, g., & rand, d. g. (2020). reliance on emotion promotes belief in fake news. cognitive research: principles and implications, 5(1), 47. https://doi.org/10.1186/s41235-020-00252-3"
14,"roozenbeek, j., schneider, c. r., dryhurst, s., kerr, j., freeman, a. l. j., recchia, g., van der bles, a. m., & van der linden, s. (2020). susceptibility to misinformation about covid-19 around the world. royal society open science, 7(10), 201199. https://doi.org/10.1098/rsos.201199"
15,"rosenzweig, l. r., bago, b., berinsky, a. j., & rand, d. g. (2021). happiness and surprise are associated with worse truth discernment of covid-19 headlines among social media users in nigeria. harvard kennedy school misinformation review. https://doi.org/10.37016/mr-2020-75"
16,"brashier, n. m., pennycook, g., berinsky, a. j., & rand, d. g. (2021). timing matters when correcting fake news. proceedings of the national academy of sciences, 118(5), e2020043118. https://doi.org/10.1073/pnas.2020043118"
18,"altay, s., nielsen, r. k., & fletcher, r. (2022). the impact of news media and digital platform use on awareness of and belief in covid-19 misinformation [preprint]. psyarxiv. https://doi.org/10.31234/osf.io/7tm3s"
19,"badrinathan, s. (2021). educative interventions to combat misinformation: evidence from a field experiment in india. american political science review, 115(4), 1325–1341. https://doi.org/10.1017/s0003055421000459"
20,"pennycook, g., binnendyk, j., newton, c., & rand, d. g. (2021). a practical guide to doing behavioral research on fake news and misinformation. collabra: psychology, 7(1), 25293. https://doi.org/10.1525/collabra.25293"
21,"roozenbeek, j., maertens, r., herzog, s. m., geers, m., kurvers, r., & sultan, m. (2022). susceptibility to misinformation is consistent across question framings and response modes and better explained by myside bias and partisanship than analytical thinking. judgment and decision making, 17(3), 27."
22,"maertens, r., götz, f. m., schneider, c. r., roozenbeek, j., kerr, j. r., stieger, s., mcclanahan, w. p., drabot, k., & linden, s. van der. (2021). the misinformation susceptibility test (mist): a psychometrically validated measure of news veracity discernment [preprint]. psyarxiv. https://doi.org/10.31234/osf.io/gk68h"
23,"ross, r. m., rand, d. g., & pennycook, g. (2021). beyond “fake news”: analytic thinking and the detection of false and hyperpartisan news headlines. judgment and decision making, 16(2), 22."
24,"dias, n., pennycook, g., & rand, d. g. (2020). emphasizing publishers does not effectively reduce susceptibility to misinformation on social media. harvard kennedy school misinformation review. https://doi.org/10.37016/mr-2020-001"
25,"chen, c. x., pennycook, g., & rand, d. g. (2021). what makes news sharable on social media? [preprint]. psyarxiv. https://doi.org/10.31234/osf.io/gzqcd"
26,"basol, m., roozenbeek, j., berriche, m., uenal, f., mcclanahan, w. p., & linden, s. van der. (2021). towards psychological herd immunity: cross-cultural evidence for two prebunking interventions against covid-19 misinformation. big data & society, 8(1), 205395172110138. https://doi.org/10.1177/20539517211013868"
27,"sultan, m., tump, a. n., geers, m., lorenz-spreen, p., herzog, s., & kurvers, r. (2022). time pressure reduces misinformation discrimination ability but not response bias. psyarxiv. https://doi.org/10.31234/osf.io/brn5s"
28,"rathje, s., roozenbeek, j., van bavel, j.j. et al. accuracy and social motivations shape judgements of (mis)information. nat hum behav (2023). https://doi.org/10.1038/s41562-023-01540-w"
29,"pehlivanoglu, d., lin, t., deceus, f., heemskerk, a., ebner, n. c., & cahill, b. s. (2021). the role of analytical reasoning and source credibility on the evaluation of real and fake full-length news articles. cognitive research: principles and implications, 6(1), 24. https://doi.org/10.1186/s41235-021-00292-3"
30,"arechar, a. a., allen, j., berinsky, a. j., cole, r., epstein, z., garimella, k., gully, a., lu, j. g., ross, r. m., stagnaro, m. n., zhang, y., pennycook, g., & rand, d. g. (2023). understanding and combatting misinformation across 16 countries on six continents. nature human behaviour, 7(9), 1502–1513. https://doi.org/10.1038/s41562-023-01641-6"
31,"hlatky, r. (n.d.). much ado about a little? russian disinformation and public opinion in central europe. 56."
32,"lyons, b. (2022). partisanship, not illiteracy: explaining older americans’ vulnerability to dubious news."
33,"an international effort using behavioural science to tackle the spread of misinformation (oecd public governance policy papers no. 21; oecd public governance policy papers, vol. 21). (2022). https://doi.org/10.1787/b7709d4f-en"
34,"orosz, g., paskuj, b., faragó, l., & krekó, p. (2022). a prosocial fake news intervention with durable effects [preprint]. open science framework. https://doi.org/10.31219/osf.io/9utyg"
35,"muda, r., pennycook, g., pieńkosz, d., & bialek, m. (2021). people are worse at detecting fake news in their foreign language [preprint]. open science framework. https://doi.org/10.31219/osf.io/p8su6"
36,"gottlieb, j., adida, c. l., & moussa, r. (2022). reducing misinformation in a polarized context: experimental evidence from côte d’ivoire."
37,"erlich, a., & garner, c. (2023). is pro-kremlin disinformation effective? evidence from ukraine. the international journal of press/politics, 28(1), 5–28. https://doi.org/10.1177/19401612211045221"
38,"ali, a., & qazi, i. a. (2022). digital literacy and vulnerability to misinformation: evidence from facebook users in pakistan. journal of quantitative description: digital media, 2."
39,"altay, s., lyons, b., & modirrousta-galian, a. (2023). exposure to higher rates of false news erodes media trust and fuels skepticism in news judgment. https://doi.org/10.31234/osf.io/t9r43"
40,"faragó, l., krekó, p., & orosz, g. (2023). hungarian, lazy, and biased: the role of analytic thinking and partisanship in fake news discernment on a hungarian representative sample. scientific reports, 13(1), 178. https://doi.org/10.1038/s41598-022-26724-8"
41,"eun-ju lee & jeong-woo jang (2023): how political identity and misinformation priming affect truth judgments and sharing intention of partisan news, digital journalism, doi: 10.1080/21670811.2022.2163413"
43,"fazio, l., rand, d., lewandowsky, s., susmann, m., berinsky, a. j., guess, a., kendeou, p., lyons, b., miller, j., newman, e., pennycook, g., & swire-thompson, b. (2024). combating misinformation: a megastudy of nine interventions designed to reduce the sharing of and belief in false and misleading headlines. osf. https://doi.org/10.31234/osf.io/uyjha"
44,"kirill bryanov, reinhold kliegl, olessia koltsova, tetyana lokot, alex miltsov, sergei pashakhin, alexander porshnev, yadviga sinyavskaya, maksim terpilovskii & victoria vziatysheva (2023) what drives perceptions of foreign news coverage credibility? a cross- national experiment including kazakhstan, russia, and ukraine, political communication, 40:2, 115-146, doi: 10.1080/10584609.2023.2172492"
45,"smelter, t. j., & calvillo, d. p. (2020). pictures and repeated exposure increase perceived accuracy of news headlines. applied cognitive psychology, 34(5), 1061–1071. https://doi.org/10.1002/acp.3684"
46,"ross, b., heisel, j., jung, a.-k., & stieglitz, s. (2018). fake news on social media: the (in)effectiveness of warning messages."
47,luhring et al. (2023) emotions in misinformation studies: distinguishing affective state from emotional response and misinformation recognition from acceptance
48,"clemm von hohenberg, b. (2023). truth and bias, left and right: testing ideological asymmetries with a realistic news supply. public opinion quarterly, nfad013."
49,"modirrousta-galian, a., higham, p. a., & seabrooke, t. (2023, may 9). wordless wisdom: the dominant role of tacit knowledge in true and fake news discrimination. retrieved from psyarxiv.com/2gubk"
50,"peren arin, k., mazrekaj, d., & thum, m. (2023). ability of detecting and willingness to share fake news. scientific reports, 13(1), 7298."
52,"hoes, e., altay, s. (2023)"
53,"altay, s., & gilardi, f. (2023). headlines labeled as ai-generated are less likely to be believed and shared, even when true or human-generated."
54,"espina mairal, s., bustos, f., solovey, g., & navajas, j. (2023). interactive crowdsourcing to fact-check politicians. journal of experimental psychology: applied. https://doi.org/10.1037/xap0000492"
55,"gawronski, b., ng, n. l., & luke, d. m. (2023). truth sensitivity and partisan bias in responses to misinformation. journal of experimental psychology: general, 152(8), 2205–2236. https://doi.org/10.1037/xge0001381"
56,"garrett, r. k., & bond, r. m. (2021). conservatives’ susceptibility to political misperceptions. science advances, 7(23), eabf1234. https://doi.org/10.1126/sciadv.abf1234"
57,"hameleers, m., tulin, m., de vreese, c., aalberg, t., van aelst, p., cardenal, a. s., corbu, n., van erkel, p., esser, f., gehle, l., halagiera, d., hopmann, d., koc‐michalska, k., matthes, j., meltzer, c., mihelj, s., schemer, c., sheafer, t., splendore, s., … zoizner, a. (2023). mistakenly misinformed or intentionally deceived? mis‐ and disinformation perceptions on the russian war in ukraine among citizens in 19 countries. european journal of political research, 1475-6765.12646. https://doi.org/10.1111/1475-6765.12646"
58,"lyons, b., modirrousta-galian, a., altay, s., & salovich, n. a. (2024). reduce blind spots to improve news discernment? performance feedback reduces overconfidence but does not improve subsequent discernment. https://doi.org/10.31219/osf.io/kgfrb"
59,"pereira, f. b., bueno, n. s., nunes, f., & pavão, n. (2023). inoculation reduces misinformation: experimental evidence from multidimensional interventions in brazil. journal of experimental political science, 1–12. https://doi.org/10.1017/xps.2023.11"
60,"winter, s., valenzuela, s., santos, m., schreyer, t., iwertowski, l., & rothmund, t. (2024). (don’t) stop believing: a signal detection approach to risk and protective factors for engagement with politicized (mis)information in social media."
61,"epstein, z., sirlin, n., arechar, a., pennycook, g., & rand, d. (2023). the social media context interferes with truth discernment. science advances, 9(9), eabo6169. https://doi.org/10.1126/sciadv.abo6169"
62,"koetke, j., schumann, k., porter, t., & smilo-morgan, i. (2023). fallibility salience increases intellectual humility: implications for people’s willingness to investigate political misinformation. personality and social psychology bulletin, 49(5), 806–820. https://doi.org/10.1177/01461672221080979"
63,"aslett, k., sanderson, z., godel, w., persily, n., nagler, j., & tucker, j. a. (2024). online searches to evaluate misinformation can increase its perceived veracity. nature, 625(7995), 548–556. https://doi.org/10.1038/s41586-023-06883-y"
64,"guess, a., mcgregor, s., pennycook, g., & rand, d. (2024). unbundling digital media literacy tips: results from two experiments. osf. https://doi.org/10.31234/osf.io/u34fp"
65,"modirrousta-galian, a., higham, p. a., & seabrooke, t. (2023). effects of inductive learning and gamification on news veracity discernment. journal of experimental psychology: applied, 29(3), 599–619. https://doi.org/10.1037/xap0000458"
66,"allen, j., arechar, a. a., pennycook, g., & rand, d. g. (2021). scaling up fact-checking using the wisdom of crowds. science advances, 7(36), eabf4393."
67,"kreps, s. e., & kriner, d. l. (2023). assessing misinformation recall and accuracy perceptions: evidence from the covid-19 pandemic. harvard kennedy school misinformation review. https://doi.org/10.37016/mr-2020-123"
68,"stagnaro, m., pink, s., rand, d. g., & willer, r. (2023). increasing accuracy motivations using moral reframing does not reduce republicans’ belief in false news. harvard kennedy school misinformation review. https://doi.org/10.37016/mr-2020-128"
69,"shirikov, a. (2024). fake news for all: how citizens discern disinformation in autocracies. political communication, 41(1), 45–65. https://doi.org/10.1080/10584609.2023.2257618"
70,"lyons, b., king, a. j., & kaphingst, k. (2024). a health media literacy intervention increases skepticism of both inaccurate and accurate cancer news among u.s. adults. https://doi.org/10.31219/osf.io/hm9ty"
