DOI,Title,Abstract,include
10.1145/3555096,understanding effects of algorithmic vs. community label on perceived accuracy of hyper-partisan misinformation,… more effective in reducing the perceived accuracy and believability of fake conservative … belief in liberal posts. Our results shed light on the differing effects of various misinformation …,no
10.1002/wcs.1573,the effects of repeating false and misleading information on belief,"… We can also see the direct impact of misinformation on the January 6th insurrection at the US Capitol (Williamson, 2021), an event that led to numerous injuries and deaths. Thus, there …",no
10.1007/978-3-030-77626-8_23,"effects of conspiracy thinking style, framing and political interest on accuracy of fake news recognition by social media users: evidence from russia, kazakhstan and …",… fake news … ’ accuracy in detecting fake news. The results of the study confirm the important role of conspiracy thinking style in false news recognition (leading to a decrease in accuracy) …,yes
10.1145/3555611,who's in the crowd matters: cognitive factors and beliefs predict misinformation assessment accuracy,… that predict worker accuracy in misinformation judgments: … We find the same factors predict accuracy on the evaluation … to more accurately predict crowd worker accuracy on both metrics. …,no
10.1080/0144929X.2020.1829708,the effect of web add-on correction and narrative correction on belief in misinformation depending on motivations for using social media,"… have grappled with misinformation-related issues and investigated what reinforces belief in misinformation, all in an effort to combat the spread of misinformation. Much research has …",no
10.1186/s12889-022-14431-y,what predicts people's belief in covid-19 misinformation? a retrospective study using a nationwide online survey among adults residing in the united states,… We created binary variables to represent four misinformation categories related to COVID-19… identified the important predictors of belief in each type of misinformation. Nested vector …,no
10.1080/10810730.2022.2130479,a comprehensive examination of association between belief in vaccine misinformation and vaccination intention in the covid-19 context,"… In our model, misinformation belief had significant but distant relationships with intention … Namely, our model suggested that misinformation belief was not a primary determinant of …",no
10.1080/10447318.2022.2158263,reducing younger and older adults' engagement with covid-19 misinformation: the effects of accuracy nudge and exogenous cues,"… Therefore, this study designed an accuracy nudge intervention to induce people to discern misinformation and adopted exogenous cues to reinforce their discernment ability. The two …",yes
10.1002/wmh3.544,public trust in sources and channels on judgment accuracy in food safety misinformation with the moderation effect of self‐affirmation: evidence from the hints‐china …,"This paper describes the developmentand introduction of an important new international health survey research program, HINTS‐China, which builds upon HINTS, the established …",yes
10.1177/20563051231179694,"studying the downstream effects of fact-checking on social media: experiments on correction formats, belief accuracy, and media trust","… Repeated exposure to misinformation not only reduces the accuracy of people’s beliefs, but it also decreases confidence in institutions such as the news media. Can fact-checking—…",yes
10.1111/pops.12494,political attitudes and the processing of misinformation corrections,"… social norm belief, then a compromise between a person’s true belief and the norm belief may no longer be possible. If a person then decides postcorrection to express their true belief—…",no
10.1002/gch2.201600008,inoculating the public against misinformation about climate change,"… climate change through organized “disinformation campaigns,” … the spread of influential misinformation about climate change. … about climate change against real‐world misinformation. …",yes
10.3758/mc.38.8.1087,explicit warnings reduce but do not eliminate the continued influence of misinformation,"… event model and do not replace the misinformation with alternative information, even when … the source of the misinformation. In the WMD studies discussed earlier, belief in the existence …",yes
10.1145/3313831.3376232,will the crowd game the algorithm? using layperson judgments to combat misinformation on social media by downranking distrusted sources,"… Critically, in this work we find that layperson discernment is unaffected by informing participants that their responses will influence ranking algorithms: While this knowledge does indeed …",yes
10.1186/s41235-020-00241-6,can corrections spread misinformation to new audiences? testing for the elusive familiarity backfire effect,"… in belief. They, too, failed to observe any familiarity backfire effects: post-correction belief in misinformation was always lower than pre-correction belief. This reduction in false-claim …",yes
10.1080/21645515.2021.1950504,covid-19 vaccine hesitancy: misinformation and perceptions of vaccine safety,… had a significant association with belief in COVID-19 vaccine … Belief in COVID-19 vaccine safety was also associated with … it becomes available by belief in COVID-19 vaccine safety. …,no
10.1007/s10339-019-00919-w,parents' beliefs in misinformation about vaccines are strengthened by pro-vaccine campaigns,… facts” format can be considered an effective tool to counter vaccines misinformation. Sixty … Efforts to counter vaccine misinformation should take into account the many variables that …,no
