Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
150,"M Luo, JT Hancock…","Credibility perceptions and detection accuracy of fake news headlines on social media: Effects of truth-bias and endorsement cues",2022,"Communication …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0093650220921321","https://scholar.google.com/scholar?cites=17215003709517279767&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-03-22 09:49:39","","10.1177/0093650220921321","","",,,,,150,75.00,50,3,2,"… from social media may affect detection accuracy of news. Drawing on a … accuracy. We evaluate how these cues might change credibility ratings and accuracy for real versus fake news …","","https://scholar.google.com/scholar?q=related:FzLPMKr65-4J:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
1306,"G Pennycook, TD Cannon, DG Rand","Prior exposure increases perceived accuracy of fake news.",2018,"Journal of experimental …","psycnet.apa.org","https://psycnet.apa.org/record/2018-46919-001","https://scholar.google.com/scholar?cites=5449145933178933069&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-03-22 09:49:39","","","","",,,,,1306,217.67,435,3,6,"… We next sought to assess the robustness of our finding that repetition increases perceptions of fake news accuracy by making two important changes to the design of Study 2. First, we …","https://psycnet.apa.org/manuscript/2018-46919-001.pdf","https://scholar.google.com/scholar?q=related:TQ9l_FpBn0sJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
786,"G Pennycook, Z Epstein, M Mosleh, AA Arechar…","Shifting attention to accuracy can reduce misinformation online",2021,"Nature","nature.com","https://www.nature.com/articles/s41586-021-03344-2","https://scholar.google.com/scholar?cites=2162994934965967059&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-03-22 09:49:39","HTML","","","",,,,,786,262.00,157,5,3,"… Here we test three competing theories of why people share misinformation, based … over accuracy, and (iii) inattention to accuracy. Disconnect between sharing and accuracy …","https://www.nature.com/articles/s41586-021-03344-2","https://scholar.google.com/scholar?q=related:05id7W6ABB4J:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
289,"N Rochlin","Fake news: belief in post-truth",2017,"Library hi tech","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/LHT-03-2017-0062/full/html","https://scholar.google.com/scholar?cites=16721427312942353642&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-03-22 09:49:39","","10.1108/LHT-03-2017-0062","","",,,,,289,41.29,289,1,7,"… combat the epidemic of fake news – compiling lists of fake news sites, flagging … fake news – show a fundamental misunderstanding of the issue. The misunderstanding is that fake news …","","https://scholar.google.com/scholar?q=related:6oxxFYxxDugJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
618,"UKH Ecker, S Lewandowsky, J Cook…","The psychological drivers of misinformation belief and its resistance to correction",2022,"Nature Reviews …","nature.com","https://www.nature.com/articles/s44159-021-00006-y","https://scholar.google.com/scholar?cites=9176054224633304526&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-03-22 09:49:39","HTML","","","",,,,,618,309.00,155,4,2,"… Thus, in this Review we do not draw a sharp distinction between misinformation and disinformation, or different types of misinformation. We use the term misinformation as an umbrella …","https://www.nature.com/articles/s44159-021-00006-y","https://scholar.google.com/scholar?q=related:zpX9UrPkV38J:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
116,"K Bryanov, V Vziatysheva","Determinants of individuals' belief in fake news: A scoping review determinants of belief in fake news",2021,"PLoS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253717","https://scholar.google.com/scholar?cites=3674502151914498338&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-03-22 09:49:39","HTML","","","",,,,,116,38.67,58,2,3,"… On a more general note, the latter finding could suggest that the results of all experiments that include false news discernment tasks could be biased in the direction of more accuracy …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253717","https://scholar.google.com/scholar?q=related:IqlFIz10_jIJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
392,"C Martel, G Pennycook, DG Rand","Reliance on emotion promotes belief in fake news",2020,"Cognitive research: principles and …","Springer","https://link.springer.com/article/10.1186/s41235-020-00252-3","https://scholar.google.com/scholar?cites=15276658714213199970&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-03-22 09:49:39","HTML","10.1186/s41235-020-00252-3","","",,,,,392,98.00,131,3,4,"… state of knowledge regarding belief in fake news in three … belief in fake news. Looking at these effects will help us determine whether the potential effect(s) of emotion on fake news belief …","https://link.springer.com/article/10.1186/s41235-020-00252-3","https://scholar.google.com/scholar?q=related:YrCNTymYAdQJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
473,"K Clayton, S Blair, JA Busam, S Forstner, J Glance…","Real solutions for fake news? Measuring the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media",2020,"Political behavior","Springer","https://link.springer.com/article/10.1007/s11109-019-09533-0","https://scholar.google.com/scholar?cites=2040923492784418243&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-03-22 09:49:39","","10.1007/s11109-019-09533-0","","",,,,,473,118.25,79,6,4,"… Drawing on previous research identifying the importance of political preferences on belief in misinformation, we investigate whether the effect of warnings on the perceived accuracy of …","https://www.researchgate.net/profile/Katherine-Clayton-3/publication/331030636_Real_Solutions_for_Fake_News_Measuring_the_Effectiveness_of_General_Warnings_and_Fact-Check_Tags_in_Reducing_Belief_in_False_Stories_on_Social_Media/links/5f18ce4492851cd5fa3ed536/Real-Solutions-for-Fake-News-Measuring-the-Effectiveness-of-General-Warnings-and-Fact-Check-Tags-in-Reducing-Belief-in-False-Stories-on-Social-Media.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D","https://scholar.google.com/scholar?q=related:wy0qeRrRUhwJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
504,"B Bago, DG Rand, G Pennycook","Fake news, fast and slow: Deliberation reduces belief in false (but not true) news headlines.",2020,"Journal of experimental …","psycnet.apa.org","https://psycnet.apa.org/journals/xge/149/8/1608/","https://scholar.google.com/scholar?cites=754969678274595315&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-03-22 09:49:39","","","","",,,,,504,126.00,168,3,4,"… Our data suggest that, in the context of fake news, deliberation facilitates accurate belief … susceptible to misinformation, given that the baseline levels of belief in fake news we observed …","https://dspace.mit.edu/bitstream/handle/1721.1/130414/manuscript_fake_new_fast_slow_01.07.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:84m_IewwegoJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
189,"NM Brashier, G Pennycook…","Timing matters when correcting fake news",2021,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.2020043118","https://scholar.google.com/scholar?cites=6916370046556313799&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-03-22 09:49:39","","10.1073/pnas.2020043118","","",,,,,189,63.00,63,3,3,"… In two nearly identical experiments (total N = 2,683), we tested whether the timing of corrections to fake news impacts discernment 1 wk later. Participants were exposed to 18 true and …","https://www.pnas.org/doi/full/10.1073/pnas.2020043118?doi=10.1073/pnas.2020043118","https://scholar.google.com/scholar?q=related:xxgksOnh-18J:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
