DOI,Title,Abstract,include
NA,implausibility and illusory truth: prior exposure increases perceived accuracy of fake news but has no effect on entirely implausible statements,"… We next sought to assess the robustness of our finding that repetition increases perceptions of fake news accuracy by making two important changes to the design of Study 2. First, we …",
10.1287/opre.2019.1897,optimal signaling of content accuracy: engagement vs. misinformation,… The optimal (in terms of engagement/ misinformation) … In the case where the platform seeks only to minimize misinformation (… We also study the frontier of the engagement/misinformation …,
NA,individual differences in belief in fake news about election fraud after the 2020 us election,"… Having a college degree was not significantly related to belief in fake news. Many of the … To examine the unique variance in belief in false news explained by each predictor, we …",
10.2478/ers-2021-0007,weighted accuracy algorithmic approach in counteracting fake news and disinformation,"… Subject and purpose of work: Fake news and disinformation are polluting information environment. Hence, this paper proposes a methodology for fake news detection through the …",
NA,"psychological inoculation for credibility assessment, sharing intention, and discernment of misinformation: systematic review and meta-analysis","… between misinformation and real information. Objective: To reduce the potential risk of misinformation … inoculation in countering misinformation with a focus on several factors, including …",
10.1145/3555096,understanding effects of algorithmic vs. community label on perceived accuracy of hyper-partisan misinformation,… more effective in reducing the perceived accuracy and believability of fake conservative … belief in liberal posts. Our results shed light on the differing effects of various misinformation …,
NA,perceived accuracy of fake news on social media,"… accuracy of fake news on the spread of fake news, this paper aims to find out what variables affect the perceived accuracy of fake news. … accuracy of fake news in this study is fake news …",
NA,reducing the spread of fake news by shifting attention to accuracy: meta-analytic evidence of replicability and generalizability,… estimate (via random effects meta-analysis) of the effect of accuracy prompts on sharing of false news across the 20 experiments analyzed in this paper. The coefficient on the condition …,
NA,the effects of exposure to differing amounts of misinformation and source credibility perception on source monitoring and memory accuracy.,"… misinformation to memory accuracy: a direct path between provision of misinformation and susceptibility to misinformation … On the one hand, receiving high proportions of misinformation …",
NA,when truthiness trumps truth: epistemic beliefs predict the accurate discernment of fake news.,… distinguish less between fake news and accurate news (fake news discernment). … fake news discernment and further explain the link between D and impaired fake news discernment…,
NA,confidence–accuracy resolution in the misinformation paradigm is influenced by the availability of source cues,"… In summary, source monitoring appears to play a central role in the production of misinformation errors. Participants will make fewer misinformation errors if they are encouraged to …",
NA,source credibility and belief in fake news: i'll believe you if you agree with me,"… , it might be possible to decrease the members’ belief in the fake news. For example, … This study suggests that politicians can help reduce belief in fake news if they are willing to make …",
NA,modeling and measuring expressed (dis) belief in (mis) information,"… Some of these studies adopted the recent (yet controversial) term “fake news”, while we choose to use the term “misinformation” as it covers a broader spectrum of information veracity (…",
NA,the role of familiarity in correcting inaccurate information.,"… However, we are far from perfect at performing this task, as corrected misinformation often … Even if participants were successfully discounting misinformation in the direct belief ratings, …",
NA,emphasizing publishers does not effectively reduce susceptibility to misinformation on social media,… accuracy rating greater than or equal to 2.5 on our 4-point accuracy scale) and were published by a fake-news or hyperpartisan source. Another 144 were likewise published by a …,
10.1002/wcs.1573,the effects of repeating false and misleading information on belief,"… We can also see the direct impact of misinformation on the January 6th insurrection at the US Capitol (Williamson, 2021), an event that led to numerous injuries and deaths. Thus, there …",
10.1007/s13278-023-01028-5,"fake news, disinformation and misinformation in social media: a review","… However, we think it is crucial to note that fake news, misinformation and disinformation are indeed parts of the larger landscape of online deception (Hage et al. 2021). …",
NA,belief in or identification of false news according to the elaboration likelihood model.,"… Because social media platforms have been specifically blamed for the dissemination of false news, we compared the predictive factors for belief in or identification of false messages in …",
NA,comparative approaches to mis/disinformation| belief in or identification of false news according to the elaboration likelihood model,"… Because social media platforms have been specifically blamed for the dissemination of false news, we compared the predictive factors for belief in or identification of false messages in …",
10.1023/b:mind.0000021683.28604.5b,disinformation: the use of false information,… Rationality of Belief occurs when we distribute our strength of belief in proportion to degrees … Disinformation may often appear to violate this principle and qualify as irrationality of belief. …,
