DOI,Title,include
NA,implausibility and illusory truth: prior exposure increases perceived accuracy of fake news but has no effect on entirely implausible statements,Yes
10.1287/opre.2019.1897,optimal signaling of content accuracy: engagement vs. misinformation,No
NA,individual differences in belief in fake news about election fraud after the 2020 us election,Yes
10.2478/ers-2021-0007,weighted accuracy algorithmic approach in counteracting fake news and disinformation,No
NA,"psychological inoculation for credibility assessment, sharing intention, and discernment of misinformation: systematic review and meta-analysis",No
10.1145/3555096,understanding effects of algorithmic vs. community label on perceived accuracy of hyper-partisan misinformation,Yes
NA,perceived accuracy of fake news on social media,Yes
NA,reducing the spread of fake news by shifting attention to accuracy: meta-analytic evidence of replicability and generalizability,No
NA,the effects of exposure to differing amounts of misinformation and source credibility perception on source monitoring and memory accuracy.,Yes
NA,when truthiness trumps truth: epistemic beliefs predict the accurate discernment of fake news.,Yes
NA,confidence–accuracy resolution in the misinformation paradigm is influenced by the availability of source cues,Yes
NA,source credibility and belief in fake news: i'll believe you if you agree with me,Yes
NA,modeling and measuring expressed (dis) belief in (mis) information,Yes
NA,the role of familiarity in correcting inaccurate information.,Yes
NA,emphasizing publishers does not effectively reduce susceptibility to misinformation on social media,yes
10.1002/wcs.1573,the effects of repeating false and misleading information on belief,yes
10.1007/s13278-023-01028-5,"fake news, disinformation and misinformation in social media: a review",no
NA,belief in or identification of false news according to the elaboration likelihood model.,yes
NA,comparative approaches to mis/disinformation| belief in or identification of false news according to the elaboration likelihood model,no
10.1023/b:mind.0000021683.28604.5b,disinformation: the use of false information,no
NA,examining partisan asymmetries in fake news sharing and the efficacy of accuracy prompt interventions,yes
NA,"who falls for fake news? the roles of analytic thinking, motivated reasoning, political ideology, and bullshit receptivity",yes
10.3758/s13421-013-0300-2,the relationship between drm and misinformation false memories,no
NA,"who believes in fake news? study on the relationship between media use and perceived accuracy of fake news about covid-19 in nuevo leon, mexico",yes
NA,associations between covid-19 misinformation exposure and belief with covid-19 knowledge and preventive behaviors: cross-sectional online study,no
NA,effects of misinformation on covid-19 individual responses and recommendations for resilience of disastrous consequences of misinformation,no
NA,when classification accuracy is not enough: explaining news credibility assessment,yes
10.2105/AJPH.2014.302437,when advocacy obscures accuracy online: digital pandemics of public health misinformation through an antifluoride case study,no
