StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CONSENT,DEM_GENDER,DEM_GENDER_2_TEXT,DEM_AGE,education,ATTCHECK_NUMBER,SCIINFO_newspapersmags,SCIINFO_tvradio,SCIINFO_newswebsitesapps,SCIINFO_videospodcasts,SCIINFO_filmsseries,SCIINFO_books,SCIINFO_socialmedia,SCIINFO_messengers,SCIINFO_museumszoos,SCIINFO_rlconversations,SCIENGAGE_conversations,SCIENGAGE_messengers,SCIENGAGE_socialmedia,SCIENGAGE_publicprotests,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_ONESELF,BENEFIT_REGION_MOST,BENEFIT_REGION_LEAST,GOALS_PRIO_health,GOALS_PRIO_energy,GOALS_PRIO_poverty,GOALS_PRIO_defense,GOALS_TACKLE_health,GOALS_TACKLE_energy,GOALS_TACKLE_poverty,GOALS_TACKLE_defense,influence_integrate,influence_advocate,influence_communicate,influence_involved,NORMPERC_outreach,influence_independent,WILLVUL_gov,WILLVUL_you,competence_expert,integrity_honest,benevolence_concerned,TRUST_SCI_open,competence_intelligent,integrity_ethical,benevolence_improve,TRUST_SCI_trans,competence_qualified,integrity_sincere,benevolence_otherinterest,TRUST_SCI_otherviews,trust_method,TRUST_PEW,OUTSPOKEN_othersthink,OUTSPOKEN_isolate,OUTSPOKEN_against,SCIPOP_common,SCIPOP_good,SCIPOP_advantage,SCIPOP_cahoots,SCIPOP_influence,SCIPOP_involved,SCIPOP_lifeexp,SCIPOP_rely,ATTCHECK_RES,SDO_allgroupsconsider,SDO_notpushequality,SDO_equalityideal,SDO_superiordominate,CLIM_TRUST,CLIM_EMO_helpless,CLIM_EMO_anxious,CLIM_EMO_optimistic,CLIM_EMO_angry,CLIM_EMO_guilty,CLIM_EMO_ashamed,CLIM_EMO_depressed,CLIM_EMO_pessimistic,CLIM_EMO_indifferent,CLIM_GOV_concerns,CLIM_GOV_doingenough,CLIM_GOV_dismisspeople,CLIM_GOV_science,CLIM_GOV_futuregens,CLIM_GOV_trustworthy,CLIM_GOV_lying,CLIM_POLSUPPORT_fueltax,CLIM_POLSUPPORT_publictransport,CLIM_POLSUPPORT_sustenergy,CLIM_POLSUPPORT_protection,CLIM_POLSUPPORT_foodtax,CLIM_WEATHERPAST_floods,CLIM_WEATHERPAST_heatwaves,CLIM_WEATHERPAST_heavystorms,CLIM_WEATHERPAST_wildfires,CLIM_WEATHERPAST_heavyrain,CLIM_WEATHERPAST_droughts,CLIM_WEATHERFUTU_floods,CLIM_WEATHERFUTU_heatwaves,CLIM_WEATHERFUTU_heavystorms,CLIM_WEATHERFUTU_wildfires,CLIM_WEATHERFUTU_heavyrain,CLIM_WEATHERFUTU_droughts,DEM_INCOME,DEM_POL_conservative,DEM_POL_right,DEM_RELIGIOUS,DEM_RESIDENCE,disciplines_trust_general,disciplines_trust_biology,disciplines_trust_physics,disciplines_trust_climate,disciplines_trust_economics,disciplines_trust_sociology,disciplines_consensus_general,disciplines_consensus_biology,disciplines_consensus_physics,disciplines_consensus_climate,disciplines_consensus_economics,disciplines_consensus_sociology,disciplines_precision_general,disciplines_precision_biology,disciplines_precision_physics,disciplines_precision_climate,disciplines_precision_economics,disciplines_precision_sociology,CT_climate...140,CT_vaccine...141,CT_lantian...142,VJS_1,VJS_2,subjective_status,CT_climate...146,Q122_5...147,CT_vaccine...148,Q122_6...149,CT_climate...150,Q122_5...151,CT_vaccine...152,Q122_6...153,CT_climate...154,Q122_5...155,CT_vaccine...156,Q122_6...157,ATT_AI _P1...158,ATT_AI _P2...159,ATT_AI _P3...160,ATT_AI _N1...161,ATT_AI _N2...162,ATT_AI _N3...163,ATT_TRUST_AI_11,ATT_TRUST_AI_12,ATT_AI _P1...166,ATT_AI _P2...167,ATT_AI _P3...168,ATT_AI _N1...169,ATT_AI _N2...170,ATT_AI _N3...171,CT_lantian...172,ID,attcheck_number,attcheck_res,benevolence,competence,integrity,influence_policy,influence_lifestyle,trust_composite,income,income_log,id
2023-02-21 13:03:18,2023-02-21 13:06:31,0,100,193,1,2023-02-21 13:06:31,R_2qz59JCKVZvXd79,anonymous,FR,1,1,NA,25,4,213,1,3,4,6,7,5,6,4,2,5,1,4,6,5,NA,fdgdfgf,4,3,4,1,2,3,5,4,3,1,4,4,5,2,2,1,3,4,3,2,4,2,5,2,4,5,3,2,4,4,3,2,3,1,3,5,2,3,1,1,4,2,2,1,1,6,2,9,7,4,1,1,3,5,2,4,4,2,3,4,3,2,1,2,3,4,4,3,2,1,2,3,2,1,2,3,4,4,3,2,1,2,3,NA,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,2,4,5,1,4,1,4,4,3,2,2,1,2,3,2,4,3,4,4,3,3,1,5,4,236576590931116,213,1,3.6666666666666665,2,4,3.2,3,2.8333333333333335,NA,NA,1
2023-02-21 15:19:13,2023-02-21 15:29:14,0,100,600,1,2023-02-21 15:29:14,R_32VXnZ71AvC7qlT,anonymous,FR,1,1,NA,38,4,213,5,5,5,4,4,2,3,3,2,5,5,4,2,2,les scientifiques à travers leurs publications et leurs travails,NA,4,4,3,4,4,3,4,4,3,3,3,4,4,4,5,5,3,4,5,4,5,4,3,4,5,4,4,4,4,3,4,4,4,4,3,5,4,3,4,2,4,3,1,4,1,7,5,8,9,4,4,4,2,5,2,1,3,4,1,2,3,4,3,2,2,4,3,4,2,3,2,2,4,4,4,2,5,5,5,5,5,5,5,68000,4,4,1,2,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,1,1,1,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981817036,213,1,3.6666666666666665,4,4.666666666666667,4,4,3.8333333333333335,68000,11.127262984158243,2
2023-02-21 15:22:45,2023-02-21 15:35:17,0,100,752,1,2023-02-21 15:35:18,R_3jUTjvs0sRurHFo,anonymous,FR,1,1,NA,39,4,213,2,5,4,5,4,4,4,4,4,4,6,6,1,3,le secteur privé afin de créer du profit,NA,3,4,1,5,5,5,1,3,2,2,5,5,5,5,5,3,5,4,4,4,1,3,4,3,2,2,2,4,3,2,2,3,2,1,5,5,2,2,5,4,5,4,3,3,1,10,6,8,1,4,5,5,1,5,5,5,5,5,1,1,1,5,1,1,1,5,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,50000,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,1,7,5,1,5,1,3,3,3,5,1,1,5,3,5,1,1,5,1,1,5,5,1,7,236591981828257,213,1,2.3333333333333335,3.6666666666666665,2,5,3,3,50000,10.819778284410283,3
2023-02-21 15:42:49,2023-02-21 16:02:29,0,100,1179,1,2023-02-21 16:02:29,R_2z7sBx5c5R5OtZS,anonymous,FR,1,0,NA,35,3,213,2,3,1,2,1,1,3,1,2,2,3,3,3,3,NA,Il faut que son idée a fait ses preuves,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,5,1,1,10,10,10,10,5,5,1,1,1,1,1,1,5,1,5,5,1,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,18000,1,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,9,7,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981683919,213,1,5,5,4.666666666666667,5,5,5,18000,9.798127036878302,4
2023-02-21 15:45:57,2023-02-21 16:05:01,0,100,1144,1,2023-02-21 16:05:01,R_2fv5bJGvgceMZoU,anonymous,FR,1,0,NA,49,3,213,1,2,1,1,2,1,1,1,1,2,2,1,1,1,Ceux qui ont envie de comprendre la science,NA,1,6,1,4,5,2,3,3,4,2,2,2,2,2,2,3,4,5,3,3,3,2,3,4,3,3,3,4,4,3,3,5,3,2,1,1,4,1,3,1,1,3,3,3,1,5,5,7,2,4,4,2,1,1,1,1,3,3,1,1,1,5,2,2,2,3,2,3,2,3,1,5,5,5,3,4,5,5,5,5,4,4,4,41000,99,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,2,1,1,2,1,1,1,1,1,2,1,1,2,5,5,1,1,2,1,1,2,5,5,2,236591981814948,213,1,2.6666666666666665,3.6666666666666665,3.3333333333333335,2.4,5,3.1666666666666665,41000,10.621327345686446,5
2023-02-21 16:03:30,2023-02-21 16:09:57,0,100,386,1,2023-02-21 16:09:57,R_2af37oLsP2PsfY2,anonymous,FR,1,1,NA,27,4,213,4,4,2,2,2,4,3,3,7,4,5,2,2,2,homme,NA,3,4,1,3,3,3,3,3,3,3,3,2,2,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,2,2,3,2,2,4,3,1,3,5,5,6,3,4,2,3,3,4,2,3,3,2,4,4,3,2,3,3,3,2,3,3,2,2,3,2,2,2,2,4,4,3,2,3,2,3,40000,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,3,5,3,2,3,2,2,3,4,3,4,2,2,2,2,2,3,3,4,2,2,2,3,5,236591981815977,213,1,3,3,3,2.4,3,3,40000,10.596634733096073,6
2023-02-21 16:25:00,2023-02-21 16:33:25,0,100,505,1,2023-02-21 16:33:26,R_OdPZBUVHQwiPY2d,anonymous,FR,1,0,NA,22,4,213,1,4,5,3,4,4,5,1,3,5,3,2,1,1,je ne sais pas,NA,4,4,5,4,5,3,2,4,4,3,3,1,1,2,1,5,5,5,4,4,3,3,3,4,3,3,3,3,2,2,3,5,4,4,4,4,5,5,1,4,1,2,2,3,1,10,8,10,1,2,3,4,1,2,1,3,4,5,3,2,2,5,2,1,1,5,3,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,60000,99,1,1,2,4,4,4,4,3,3,4,4,4,4,3,3,4,5,5,4,3,3,1,1,5,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981818071,213,1,2.6666666666666665,3.6666666666666665,2.6666666666666665,2,5,3.1666666666666665,60000,11.002099841204238,7
2023-02-21 16:54:10,2023-02-21 17:12:29,0,100,1099,1,2023-02-21 17:12:30,R_2Bfih7SAIFkERab,anonymous,FR,1,1,NA,36,4,213,6,4,5,4,1,1,4,1,1,4,4,3,4,1,NA,"Citation des sources, du détail des études qu'il mène et confrontation de ses résultats par ses pairs.",5,4,3,4,4,5,1,3,3,2,5,5,3,5,4,4,5,5,3,3,4,3,3,4,4,3,4,4,4,3,3,5,4,3,3,4,5,3,1,2,1,2,1,1,1,8,6,8,1,4,5,5,1,5,3,3,5,5,1,1,1,5,1,1,1,5,1,3,3,3,1,5,5,5,5,5,5,5,5,1,5,5,5,48000,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,1,2,4,5,3,1,1,1,1,4,4,2,3,5,4,2,1,4,4,2,3,4,4,3,236591981818079,213,1,3,3.6666666666666665,4,4.4,5,3.3333333333333335,48000,10.778956289890028,8
2023-02-21 16:54:44,2023-02-21 17:12:50,0,100,1086,1,2023-02-21 17:12:51,R_1j8MkaSROCAu4D8,anonymous,FR,1,1,NA,39,4,213,1,4,4,2,2,1,3,2,3,2,5,3,2,1,L'espèce humaine car elle a bénéficié de découvertes scientifiques qui ont contribué à son développement et longévité,NA,4,4,1,4,5,4,2,5,3,2,5,4,5,4,4,5,2,4,4,4,4,4,2,4,4,4,3,4,4,4,2,3,4,4,3,4,3,3,2,2,2,4,2,1,1,8,3,9,2,3,4,3,2,4,3,3,4,4,1,3,2,3,2,1,2,4,2,2,3,3,1,4,4,4,3,4,4,4,4,4,4,4,4,44000,3,4,4,2,4,4,4,4,3,3,4,4,4,3,3,2,3,4,4,3,4,2,1,2,4,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981815992,213,1,4,4,4,3.8,4,4,44000,10.691944912900398,9
2023-02-21 17:01:13,2023-02-21 17:17:24,0,100,971,1,2023-02-21 17:17:25,R_2aDfbz23mmG7OE3,anonymous,FR,1,0,NA,63,3,213,3,3,2,2,2,1,2,1,1,1,3,2,2,2,"Une partie de la population, qui peuvent y accéder .",NA,4,4,1,5,4,5,3,4,3,2,4,2,3,3,3,5,5,5,4,4,2,3,3,4,4,4,3,4,3,4,3,4,3,5,5,5,5,5,4,5,4,3,4,5,1,8,10,10,4,3,4,1,3,3,1,3,2,3,1,1,1,5,4,1,1,5,2,3,1,2,1,4,5,5,4,4,5,4,5,5,3,4,5,240000,3,4,2,1,4,5,3,4,3,3,4,4,3,4,3,2,4,3,4,3,4,4,1,5,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981675692,213,1,3.6666666666666665,4,3,3.2,4,3.8333333333333335,240000,12.388394202324129,10
