StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CONSENT,DEM_GENDER,DEM_GENDER_2_TEXT,DEM_AGE,DEM_EDU,ATTCHECK_NUMBER,SCIINFO_newspapersmags,SCIINFO_tvradio,SCIINFO_newswebsitesapps,SCIINFO_videospodcasts,SCIINFO_filmsseries,SCIINFO_books,SCIINFO_socialmedia,SCIINFO_messengers,SCIINFO_museumszoos,SCIINFO_rlconversations,SCIENGAGE_conversations,SCIENGAGE_messengers,SCIENGAGE_socialmedia,SCIENGAGE_publicprotests,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_ONESELF,BENEFIT_REGION_MOST,BENEFIT_REGION_LEAST,GOALS_PRIO_health,GOALS_PRIO_energy,GOALS_PRIO_poverty,GOALS_PRIO_defense,GOALS_TACKLE_health,GOALS_TACKLE_energy,GOALS_TACKLE_poverty,GOALS_TACKLE_defense,influence_integrate,influence_advocate,influence_communicate,influence_involved,NORMPERC_outreach,influence_independent,WILLVUL_gov,WILLVUL_you,competence_expert,integrity_honest,benevolence_concerned,openness_open,competence_intelligent,integrity_ethical,benevolence_improve,openness_transparent,competence_qualified,integrity_sincere,benevolence_otherinterest,openness_otherviews,trust_method,TRUST_PEW,OUTSPOKEN_othersthink,OUTSPOKEN_isolate,OUTSPOKEN_against,SCIPOP_common,SCIPOP_good,SCIPOP_advantage,SCIPOP_cahoots,SCIPOP_influence,SCIPOP_involved,SCIPOP_lifeexp,SCIPOP_rely,ATTCHECK_RES,SDO_allgroupsconsider,SDO_notpushequality,SDO_equalityideal,SDO_superiordominate,CLIM_TRUST,CLIM_EMO_helpless,CLIM_EMO_anxious,CLIM_EMO_optimistic,CLIM_EMO_angry,CLIM_EMO_guilty,CLIM_EMO_ashamed,CLIM_EMO_depressed,CLIM_EMO_pessimistic,CLIM_EMO_indifferent,CLIM_GOV_concerns,CLIM_GOV_doingenough,CLIM_GOV_dismisspeople,CLIM_GOV_science,CLIM_GOV_futuregens,CLIM_GOV_trustworthy,CLIM_GOV_lying,CLIM_POLSUPPORT_fueltax,CLIM_POLSUPPORT_publictransport,CLIM_POLSUPPORT_sustenergy,CLIM_POLSUPPORT_protection,CLIM_POLSUPPORT_foodtax,CLIM_WEATHERPAST_floods,CLIM_WEATHERPAST_heatwaves,CLIM_WEATHERPAST_heavystorms,CLIM_WEATHERPAST_wildfires,CLIM_WEATHERPAST_heavyrain,CLIM_WEATHERPAST_droughts,CLIM_WEATHERFUTU_floods,CLIM_WEATHERFUTU_heatwaves,CLIM_WEATHERFUTU_heavystorms,CLIM_WEATHERFUTU_wildfires,CLIM_WEATHERFUTU_heavyrain,CLIM_WEATHERFUTU_droughts,DEM_INCOME,DEM_POL_conservative,DEM_POL_right,DEM_RELIGIOUS,DEM_RESIDENCE,disciplines_trust_general,disciplines_trust_biology,disciplines_trust_physics,disciplines_trust_climate,disciplines_trust_economics,disciplines_trust_sociology,disciplines_consensus_general,disciplines_consensus_biology,disciplines_consensus_physics,disciplines_consensus_climate,disciplines_consensus_economics,disciplines_consensus_sociology,disciplines_precision_general,disciplines_precision_biology,disciplines_precision_physics,disciplines_precision_climate,disciplines_precision_economics,disciplines_precision_sociology,CT_climate...140,CT_vaccine...141,CT_lantian...142,VJS_1,VJS_2,subjective_status,CT_climate...146,Q122_5...147,CT_vaccine...148,Q122_6...149,CT_climate...150,Q122_5...151,CT_vaccine...152,Q122_6...153,CT_climate...154,Q122_5...155,CT_vaccine...156,Q122_6...157,ATT_AI _P1...158,ATT_AI _P2...159,ATT_AI _P3...160,ATT_AI _N1...161,ATT_AI _N2...162,ATT_AI _N3...163,ATT_TRUST_AI_11,ATT_TRUST_AI_12,ATT_AI _P1...166,ATT_AI _P2...167,ATT_AI _P3...168,ATT_AI _N1...169,ATT_AI _N2...170,ATT_AI _N3...171,CT_lantian...172,ID,attcheck_number,attcheck_res,id,benevolence,competence,integrity,openness,influence_policy,influence_lifestyle,trust_composite,trust_composite_reduced,education_numeric,education,gender,age,religious,residence,income,income_log,date
2023-02-21 15:19:13,2023-02-21 15:29:14,0,100,600,1,2023-02-21 15:29:14,R_32VXnZ71AvC7qlT,anonymous,FR,1,1,NA,38,4,213,5,5,5,4,4,2,3,3,2,5,5,4,2,2,les scientifiques à travers leurs publications et leurs travails,NA,4,4,3,4,4,3,4,4,3,3,3,4,4,4,5,5,3,4,5,4,5,4,3,4,5,4,4,4,4,3,4,4,4,4,3,5,4,3,4,2,4,3,1,4,1,7,5,8,9,4,4,4,2,5,2,1,3,4,1,2,3,4,3,2,2,4,3,4,2,3,2,2,4,4,4,2,5,5,5,5,5,5,5,68000,4,4,1,2,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,1,1,1,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981817036,213,1,2,3.6666666666666665,4,4.666666666666667,3.6666666666666665,4,4,4,3.8333333333333335,4,"Higher education (e.g., university degree or higher education diploma)",Man,38,Not religious at all (1),Urban,68000,11.127262984158243,"February 21, 2023"
2023-02-21 15:42:49,2023-02-21 16:02:29,0,100,1179,1,2023-02-21 16:02:29,R_2z7sBx5c5R5OtZS,anonymous,FR,1,0,NA,35,3,213,2,3,1,2,1,1,3,1,2,2,3,3,3,3,NA,Il faut que son idée a fait ses preuves,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,5,1,1,10,10,10,10,5,5,1,1,1,1,1,1,5,1,5,5,1,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,18000,1,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,9,7,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981683919,213,1,4,5,5,4.666666666666667,5,5,5,4.916666666666667,5,3,"Secondary education (e.g., high school)",Woman,35,Not religious at all (1),Rural,18000,9.798127036878302,"February 21, 2023"
2023-02-21 16:25:00,2023-02-21 16:33:25,0,100,505,1,2023-02-21 16:33:26,R_OdPZBUVHQwiPY2d,anonymous,FR,1,0,NA,22,4,213,1,4,5,3,4,4,5,1,3,5,3,2,1,1,je ne sais pas,NA,4,4,5,4,5,3,2,4,4,3,3,1,1,2,1,5,5,5,4,4,3,3,3,4,3,3,3,3,2,2,3,5,4,4,4,4,5,5,1,4,1,2,2,3,1,10,8,10,1,2,3,4,1,2,1,3,4,5,3,2,2,5,2,1,1,5,3,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,60000,99,1,1,2,4,4,4,4,3,3,4,4,4,4,3,3,4,5,5,4,3,3,1,1,5,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981818071,213,1,7,2.6666666666666665,3.6666666666666665,2.6666666666666665,3,2,5,3,3.1666666666666665,4,"Higher education (e.g., university degree or higher education diploma)",Woman,22,Not religious at all (1),Urban,60000,11.002099841204238,"February 21, 2023"
2023-02-21 16:54:44,2023-02-21 17:12:50,0,100,1086,1,2023-02-21 17:12:51,R_1j8MkaSROCAu4D8,anonymous,FR,1,1,NA,39,4,213,1,4,4,2,2,1,3,2,3,2,5,3,2,1,L'espèce humaine car elle a bénéficié de découvertes scientifiques qui ont contribué à son développement et longévité,NA,4,4,1,4,5,4,2,5,3,2,5,4,5,4,4,5,2,4,4,4,4,4,2,4,4,4,3,4,4,4,2,3,4,4,3,4,3,3,2,2,2,4,2,1,1,8,3,9,2,3,4,3,2,4,3,3,4,4,1,3,2,3,2,1,2,4,2,2,3,3,1,4,4,4,3,4,4,4,4,4,4,4,4,44000,3,4,4,2,4,4,4,4,3,3,4,4,4,3,3,2,3,4,4,3,4,2,1,2,4,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981815992,213,1,9,4,4,4,2.3333333333333335,3.8,4,3.5833333333333335,4,4,"Higher education (e.g., university degree or higher education diploma)",Man,39,(4),Urban,44000,10.691944912900398,"February 21, 2023"
2023-02-21 17:01:13,2023-02-21 17:17:24,0,100,971,1,2023-02-21 17:17:25,R_2aDfbz23mmG7OE3,anonymous,FR,1,0,NA,63,3,213,3,3,2,2,2,1,2,1,1,1,3,2,2,2,"Une partie de la population, qui peuvent y accéder .",NA,4,4,1,5,4,5,3,4,3,2,4,2,3,3,3,5,5,5,4,4,2,3,3,4,4,4,3,4,3,4,3,4,3,5,5,5,5,5,4,5,4,3,4,5,1,8,10,10,4,3,4,1,3,3,1,3,2,3,1,1,1,5,4,1,1,5,2,3,1,2,1,4,5,5,4,4,5,4,5,5,3,4,5,240000,3,4,2,1,4,5,3,4,3,3,4,4,3,4,3,2,4,3,4,3,4,4,1,5,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981675692,213,1,10,3.6666666666666665,4,3,3,3.2,4,3.4166666666666665,3.8333333333333335,3,"Secondary education (e.g., high school)",Woman,63,(2),Rural,240000,12.388394202324129,"February 21, 2023"
2023-02-21 19:21:36,2023-02-21 19:53:38,0,100,1922,1,2023-02-21 19:53:39,R_riqHqm8Pz2dZABj,anonymous,FR,1,1,NA,54,3,213,2,5,5,2,2,3,3,1,1,1,3,6,6,1,NA,leurs métier et leurs publications et leurs situation dans leurs métier,5,4,1,5,5,5,4,5,5,4,5,4,3,2,2,4,3,5,3,4,4,3,3,4,4,5,4,4,4,4,3,4,5,2,1,2,3,2,2,2,1,2,3,2,1,9,3,9,1,3,4,1,4,3,1,1,1,1,1,3,3,3,4,4,3,4,3,3,3,3,4,3,4,3,3,2,2,2,2,2,3,2,3,1100,99,5,3,2,5,5,4,2,2,3,4,4,4,2,2,3,4,4,4,3,2,3,2,2,6,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981819124,213,1,14,4,4,4,3.3333333333333335,2.8,4,3.8333333333333335,4,3,"Secondary education (e.g., high school)",Man,54,(3),Urban,1100,7.003065458786462,"February 21, 2023"
2023-02-21 19:05:44,2023-02-21 19:57:17,0,100,3092,1,2023-02-21 19:57:17,R_2QhQLQhVVzgR9q3,anonymous,FR,1,0,NA,33,4,213,1,1,1,1,1,1,1,1,1,1,3,1,1,1,NA,"Les études, son ethique",2,4,1,4,4,4,5,5,5,2,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,2,3,1,6,7,7,7,3,4,3,2,4,4,4,4,4,2,1,1,5,1,1,1,5,2,3,3,3,1,4,4,4,4,4,4,5,5,5,5,5,5,39000,99,99,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,5,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981685979,213,1,15,4,4,4,4,4.6,4,4,4,4,"Higher education (e.g., university degree or higher education diploma)",Woman,33,Not religious at all (1),Rural,39000,10.571316925111784,"February 21, 2023"
2023-02-21 20:18:36,2023-02-21 20:41:19,0,100,1362,1,2023-02-21 20:41:21,R_1GCWD1Cauyf1MZX,anonymous,FR,1,0,NA,21,3,213,1,5,4,1,1,1,6,1,1,1,4,4,4,2,NA,Les études effectuées,4,4,1,3,5,3,2,5,2,3,1,2,1,4,5,5,4,5,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,3,1,4,3,2,1,10,3,10,1,4,5,5,1,5,5,4,5,4,1,1,1,5,1,1,1,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,61000,1,1,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,2,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981817037,213,1,17,4,4.333333333333333,4,3.3333333333333335,3.2,5,3.9166666666666665,4.166666666666667,3,"Secondary education (e.g., high school)",Woman,21,(2),Rural,61000,11.018629143155449,"February 21, 2023"
2023-02-21 20:24:39,2023-02-21 20:50:12,0,100,1533,1,2023-02-21 20:50:13,R_1rrEO1AsJxfJUoB,anonymous,FR,1,1,NA,65,4,213,5,6,4,3,3,1,3,2,2,5,6,2,4,1,La planète entière,NA,5,2,5,5,5,5,5,4,3,2,3,3,3,3,4,5,3,5,4,3,3,4,3,3,3,3,3,4,3,3,3,5,3,4,4,4,3,2,3,3,3,3,2,3,1,10,1,10,1,2,3,3,3,5,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,NA,4,4,4,1,4,4,4,3,3,4,3,4,4,2,3,4,4,4,4,3,3,4,2,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981815984,213,1,18,3.3333333333333335,3.3333333333333335,3,3,3.2,5,3.1666666666666665,3.3333333333333335,4,"Higher education (e.g., university degree or higher education diploma)",Man,65,(4),Rural,NA,NA,"February 21, 2023"
2023-02-21 15:33:15,2023-02-21 21:48:42,0,100,22527,1,2023-02-21 21:48:43,R_3iIse5yrNPN1iJx,anonymous,FR,1,0,NA,37,4,213,2,4,4,3,1,1,4,1,2,1,2,1,2,1,NA,.,5,6,1,5,4,4,3,5,4,3,2,4,4,5,5,4,4,5,4,4,4,4,4,4,3,4,4,5,4,4,3,3,3,4,4,4,3,2,3,2,3,2,4,4,1,8,8,10,1,4,3,4,2,4,2,2,2,4,1,2,2,3,2,2,3,2,1,3,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,25000,4,4,2,2,4,5,5,3,3,4,4,3,4,3,3,3,4,4,4,3,2,3,1,1,3,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981682889,213,1,20,4,4.333333333333333,3.6666666666666665,3.6666666666666665,4.4,4,3.9166666666666665,4.166666666666667,4,"Higher education (e.g., university degree or higher education diploma)",Woman,37,(2),Urban,25000,10.126631103850338,"February 21, 2023"
